dataset,objective,acquisition,baseline,error_model,jitter_iteration,jitter_std,oracle_model,delta_l2_mean,delta_l2_std,final_simple_regret_mean,final_simple_regret_std,final_cum_regret_mean,final_cum_regret_std,final_avg_regret_mean,final_avg_regret_std,auc_simple_regret_mean,auc_simple_regret_std,runs
ehmi,composite,logei,False,gaussian,0,0.018236,extra_trees,0.6173106365437913,0.09726339086969904,0.010460654761914512,0.009403213453336376,13.6954927041958,1.70372100436315,0.273909854083916,0.034074420087263,5.785746372208583,2.7357439899500013,10
ehmi,composite,logei,False,gaussian,0,0.091178,extra_trees,0.6173106365437913,0.09726339086969904,0.05483826999392214,0.041919559187985816,12.515464026469374,3.2667554901721236,0.2503092805293875,0.06533510980344247,7.276466708115123,2.984375474393677,10
ehmi,composite,logei,False,gaussian,0,0.364713,extra_trees,0.6173106365437913,0.09726339086969904,0.07370439802098536,0.07984630810945866,17.671349349321652,5.45698634263629,0.353426986986433,0.10913972685272577,8.7998429096392,4.22355228300891,10
ehmi,composite,logei,False,gaussian,0,1.823566,extra_trees,0.6173106365437913,0.09726339086969904,0.2101416567460795,0.09500620156511361,33.62549481837458,9.775435176041219,0.6725098963674916,0.19550870352082433,14.408330741532296,5.515721998512495,10
ehmi,composite,logei,False,gaussian,20,0.018236,extra_trees,0.6654623198647457,0.18170927582779445,0.007786793154769623,0.009578788131808137,13.924773589664426,2.1856057580136237,0.2784954717932885,0.043712115160272486,5.412638869123891,2.0069668643393745,10
ehmi,composite,logei,False,gaussian,20,0.091178,extra_trees,0.5646987880352727,0.2139086847069108,0.03321125248017189,0.04632137928910013,12.603992510172933,3.1555705231389926,0.2520798502034587,0.06311141046277986,5.826342667073731,2.434997784091669,10
ehmi,composite,logei,False,gaussian,20,0.364713,extra_trees,0.6845470871361746,0.2981464572124093,0.03944617634682457,0.0499242658501421,12.183628034983872,4.088013944551622,0.2436725606996774,0.08176027889103243,5.861432833582777,2.45595344845117,10
ehmi,composite,logei,False,gaussian,20,1.823566,extra_trees,0.5651305983133286,0.29692755628095774,0.04058062003970138,0.052739302136483125,15.786217615609743,5.851884004320343,0.31572435231219487,0.11703768008640686,5.884705587160189,2.458316865976033,10
ehmi,composite,logei,True,none,0,0.0,extra_trees,0.6173106365437913,0.09726339086969904,0.004663090277782089,0.005758532770617116,14.336820535939584,1.263704611178688,0.28673641071879163,0.025274092223573748,5.232303451818344,1.8449956515393544,10
ehmi,composite,logei,True,none,20,0.0,extra_trees,0.655153591944714,0.21821203490177957,0.004663090277782089,0.005758532770617116,14.336820535939584,1.263704611178688,0.28673641071879163,0.025274092223573748,5.232303451818344,1.8449956515393544,10
ehmi,composite,qnei,False,gaussian,0,0.018236,extra_trees,0.6173106365437913,0.09726339086969904,0.00927473875662308,0.008524052543327464,16.512779256921657,2.5122250318782022,0.33025558513843317,0.05024450063756404,5.426498103871685,2.2058684606652847,10
ehmi,composite,qnei,False,gaussian,0,0.091178,extra_trees,0.6173106365437913,0.09726339086969904,0.013348781415350609,0.018245822704225784,13.877793762857351,2.890283095904849,0.27755587525714703,0.057805661918096995,4.826125153814253,2.41373148543068,10
ehmi,composite,qnei,False,gaussian,0,0.364713,extra_trees,0.6173106365437913,0.09726339086969904,0.04520216820989287,0.06081331693501585,24.08858333126575,7.003594929046349,0.481771666625315,0.14007189858092697,10.475676246402827,6.326509642972777,10
ehmi,composite,qnei,False,gaussian,0,1.823566,extra_trees,0.6173106365437913,0.09726339086969904,0.154605846009734,0.1100965812580353,34.39172647103722,11.39364291603968,0.6878345294207442,0.2278728583207936,14.57247528545842,7.954411209459903,10
ehmi,composite,qnei,False,gaussian,20,0.018236,extra_trees,0.5556107623212709,0.11706093888340731,0.015578733390463739,0.016173667283846303,15.785467430058281,2.2184277868611995,0.3157093486011656,0.044368555737223994,5.543372465404303,2.035711777317303,10
ehmi,composite,qnei,False,gaussian,20,0.091178,extra_trees,0.5903440529342948,0.14664891290044207,0.026815719246044534,0.05436450867216928,15.426137795955947,2.5224922605116156,0.30852275591911893,0.050449845210232304,5.955048733780246,2.603067643114861,10
ehmi,composite,qnei,False,gaussian,20,0.364713,extra_trees,0.570372004754993,0.2089922017859895,0.03555803889399387,0.05030135656676258,14.56364088338746,2.400088904856212,0.2912728176677492,0.04800177809712423,6.018874544774688,2.774693345342312,10
ehmi,composite,qnei,False,gaussian,20,1.823566,extra_trees,0.46916906823707577,0.1555072762254027,0.031800381435712045,0.03459627727668817,18.098298766203083,3.71953985567853,0.3619659753240617,0.0743907971135706,5.838241820987982,2.3653554888941852,10
ehmi,composite,qnei,True,none,0,0.0,extra_trees,0.6173106365437913,0.09726339086969904,0.02948678406085987,0.046731840887483465,17.752952383347733,1.6149489034665108,0.3550590476669547,0.03229897806933021,5.851195398442575,2.654539910429667,10
ehmi,composite,qnei,True,none,20,0.0,extra_trees,0.5203333253976495,0.1795447541757011,0.02948678406085987,0.046731840887483465,17.752952383347733,1.6149489034665108,0.3550590476669547,0.03229897806933021,5.851195398442575,2.654539910429667,10
