dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_verticalPosition,delta_excess_verticalWidth,delta_excess_horizontalWidth,delta_excess_r,delta_excess_g,delta_excess_b,delta_excess_a,delta_excess_blinkFrequency,delta_excess_volume,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
ehmi,composite,logei,extra_trees,gaussian,0.018236,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030277777777687476,1.296291057649995,0.025925821152999906,0.026840354938390654
ehmi,composite,logei,extra_trees,gaussian,0.018236,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.5,0.0,0.21710038287022904,0.0,-0.16502434694474744,-0.5,0.0,0.0,-0.35139959960994205,0.8353725455944598,-0.0010555555555562535,2.285340434854895,0.04570680869709792,-0.030951388888902365
ehmi,composite,logei,extra_trees,gaussian,0.091178,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03411111111112408,-2.4808797453702063,-0.04961759490740414,0.6550143518524001
ehmi,composite,logei,extra_trees,gaussian,0.091178,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.5,0.5,0.0,0.0,0.0,-0.5,-0.5,0.0,-0.08968477967313737,1.0040136252586511,-0.0024166666666669556,-2.5052613453483303,-0.050105226906966616,-0.04917361111112051
ehmi,composite,logei,extra_trees,gaussian,0.364713,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24663310185189413,12.683973903219577,0.25367947806439156,13.18305790895237
ehmi,composite,logei,extra_trees,gaussian,0.364713,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007222222222234009,-0.5017699790562808,-0.01003539958112562,-0.020215277777801965
ehmi,composite,logei,extra_trees,gaussian,1.823566,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30562708333337874,22.08379405588753,0.44167588111775063,17.431291358026726
ehmi,composite,logei,extra_trees,gaussian,1.823566,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.5,0.5,0.0,0.0,0.0,-0.5,0.0,-0.5,-0.5,1.118033988749895,0.0002291666666662806,-1.2141313161368252,-0.024282626322736506,0.0030937499999952323
ehmi,composite,qnei,extra_trees,gaussian,0.018236,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005708333333336313,-1.526876107804508,-0.03053752215609018,0.09329637345627084
ehmi,composite,qnei,extra_trees,gaussian,0.018236,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,-0.5,0.0,0.0,0.3356174127190673,0.0,0.0,0.10357679600604797,0.0,0.6110378060244057,0.0010097222222293922,-1.2398107005072383,-0.024796214010144813,-0.23830277777820008
ehmi,composite,qnei,extra_trees,gaussian,0.091178,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012416319444455759,-7.993624964175748,-0.159872499283515,0.20753333608869973
ehmi,composite,qnei,extra_trees,gaussian,0.091178,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,-0.5,0.0,0.0,-0.1643825872809327,0.0,0.0,0.10357679600604797,0.0,0.5364231423718144,0.011452430555579873,-4.11827422839519,-0.08236548456790382,0.051535937500108986
ehmi,composite,qnei,extra_trees,gaussian,0.364713,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010097222222293922,5.548509449404531,0.11097018898809058,8.95470004409222
ehmi,composite,qnei,extra_trees,gaussian,0.364713,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,-0.5,0.0,0.0,0.03176835759399699,0.0,0.0,0.10357679600604797,0.0,0.5116027572395389,0.0035916666666713226,-5.438661414241986,-0.10877322828483976,-0.1096097222225163
ehmi,composite,qnei,extra_trees,gaussian,1.823566,0,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077172453704188,9.755656114969295,0.19511312229938582,10.056587943673925
ehmi,composite,qnei,extra_trees,gaussian,1.823566,20,7,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,-0.5,0.0,0.0,0.3356174127190673,0.0,0.0,0.10357679600604797,0.0,0.6110378060244057,0.0016229166666725803,-7.887229982363575,-0.15774459964727153,-0.22860520833374842
ehmi,composite,logei,extra_trees,gaussian,0.018236,0,9,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006526041666666593,1.8109972336696352,0.03621994467339268,3.727950223215439
ehmi,composite,logei,extra_trees,gaussian,0.018236,20,9,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.001516613420322166,0.0,0.00530824158314791,0.0,0.0,0.09940933183278744,0.0,0.09289959693033578,0.0,0.13617278696652962,0.01605833333336637,0.9848491043872443,0.01969698208774484,1.4705462962966278
