dataset,acquisition,error_model,jitter_std,jitter_iteration,seed,ref,trt,delta,opt_z,share_removed
ehmi,logei,gaussian,0.05,0,10,0.0018005150048927,0.0040474584278248,0.0022469434229321003,,-1.2479448473499417
ehmi,logei,gaussian,0.25,0,10,0.0503644238025406,0.136394992835114,0.08603056903257339,,-1.7081614865657144
ehmi,logei,gaussian,1.0,0,10,0.1161671100787656,0.0121836428240087,-0.10398346725475689,,0.895119687356019
ehmi,logei,gaussian,5.0,0,10,0.1842717897615059,0.2523530447463527,0.06808125498484677,,-0.3694610828546303
ehmi,logei,gaussian,0.05,20,10,0.0018352198089314,-0.0032131405651403,-0.005048360374071701,,2.750820555392341
ehmi,logei,gaussian,0.25,20,10,0.0091300140412919,0.0059879849137974,-0.0031420291274944995,,0.3441428581910375
ehmi,logei,gaussian,1.0,20,10,0.0021536773212444,0.0055365601053588,0.0033828827841144,,-1.5707472752509468
ehmi,logei,gaussian,5.0,20,10,0.0095162474498833,-0.0108186721743461,-0.020334919624229397,,2.1368632679343342
ehmi,logei,gaussian,0.05,0,11,0.026409410824523,0.0022488138088344,-0.0241605970156886,,0.9148480129383948
ehmi,logei,gaussian,0.25,0,11,0.0792756273508343,0.1054030977801345,0.026127470429300206,,-0.32957759279120036
ehmi,logei,gaussian,1.0,0,11,0.2000575459813838,0.1336882781287299,-0.0663692678526539,,0.33175088461211977
ehmi,logei,gaussian,5.0,0,11,0.1117871872526068,0.133547086460289,0.021759899207682204,,-0.19465468040188827
ehmi,logei,gaussian,0.05,20,11,-2.681992337166903e-05,-0.0058994252873587,-0.005872605363987031,,
ehmi,logei,gaussian,0.25,20,11,-5.8429118773691815e-05,0.0166338900862207,0.01669231920499439,,
ehmi,logei,gaussian,1.0,20,11,0.0006839080459775,-0.0038335727969356,-0.0045174808429130995,,6.605392156859814
ehmi,logei,gaussian,5.0,20,11,0.0006839080459775,0.0310183908046084,0.0303344827586309,,-44.35462184872274
ehmi,logei,gaussian,0.05,0,12,0.0045414230988471,-0.001256430819984,-0.0057978539188311,,1.276660155338304
ehmi,logei,gaussian,0.25,0,12,0.0075280333859804,-0.0083326730313417,-0.015860706417322103,,2.106885770041854
ehmi,logei,gaussian,1.0,0,12,0.037127472004019,0.1232634390246423,0.0861359670206233,,-2.320006247969137
ehmi,logei,gaussian,5.0,0,12,0.1529583673019741,0.1652588401017279,0.012300472799753798,,-0.08041712929290035
ehmi,logei,gaussian,0.05,20,12,-0.000964880952381,0.0019855835137057,0.0029504644660867,,
ehmi,logei,gaussian,0.25,20,12,0.0027756097769681,0.0064058181880367,0.0036302084110685995,,-1.3078958148915332
