acquisition,mean_rank,mean_fragility,mean_absolute_loss,conditions
qucb,3.2937499999999997,0.047176555493476886,0.2759581655855053,8
logei,3.39375,0.056371366301430095,0.2518361352644753,8
pi,3.4375,0.050958498375047664,0.266825470549206,8
ucb,3.4625,0.05185445758996736,0.27535828860424916,8
qnei,3.54375,0.058222092657940185,0.2555826841968898,8
ei,3.86875,0.05921474726286197,0.25403581478251985,8
