dataset,error_model,jitter_std,jitter_iteration,mean,std,count,dz
hartmann_6,slip,0.01,20,-0.09824265029862671,0.28697586513530027,30,-0.3423376744671833
steering_law,slip,0.4,0,-0.017470475531792564,0.0516882184660894,30,-0.3379972467662869
yerkes_dodson,slip,0.01,20,-0.06202955957808564,0.215784762633718,30,-0.2874603323283636
branin,slip,0.05,0,-0.005571464626008437,0.019558699135222,30,-0.2848586497235466
yerkes_dodson,slip,0.01,0,-0.11329082619198087,0.4558826885211341,30,-0.24850872613630481
branin,slip,0.01,0,-0.0032715955415467666,0.014616593387879413,30,-0.22382749897521861
power_law_practice,slip,0.01,0,-0.003425144490850752,0.01700085922260437,30,-0.20146890495373757
rosenbrock,slip,0.05,20,-0.0003654647594595557,0.0018157199321200634,30,-0.20127815584027503
