dataset,floor_auc_baseline,best_learner_auc_baseline,best_learner,headroom,ceiling_free
shekel,2613.6464833560235,2114.9377578903614,logei,0.19080955616663997,False
powell,1.6720183217589635,1.34668897913572,pi,0.19457283355663058,False
rosenbrock,3.1246251851866225,2.4734559320613427,pi,0.20839915654919994,False
michalewicz,296.3130727909528,225.97501767696934,qnei,0.23737749553698073,False
schwefel,113.2354759447224,84.69392152019145,pi,0.25205488109101015,False
rastrigin,92.27715976321426,66.95274666665193,ei,0.2744385843858379,False
moving_peaks,63.900969687189644,45.20072184420414,pi,0.2926441951433232,False
branin,4.813981998137709,3.3589009423932397,qnei,0.302261424389906,False
levy_10,46.10092171437692,31.038761604032096,ei,0.32672145263524255,False
eggholder,60.13781558413905,39.29300732289518,logei,0.34661731655483596,False
ackley,863.1040313111371,479.59114406089094,ucb,0.4443414389661158,False
hartmann_3,48.542551528555734,20.48366140321316,ei,0.5780266846672986,False
griewank,56.56838791642177,21.269900875227957,logei,0.6239966939370156,False
yerkes_dodson,79.88076929162449,25.888146692194788,qnei,0.6759151555278129,False
hartmann_6,256.66811477908914,82.66279159854332,qnei,0.6779389926571515,False
steering_law,13.92179705765506,4.360619677260937,qucb,0.6867775288490361,False
weber_fechner,30.91601451045571,8.005446901767938,logei,0.7410582499545497,False
power_law_practice,30.31827617227532,6.132062484747798,qucb,0.7977436959178013,False
stevens,58.64074583207095,11.109854252205647,ucb,0.8105437764379592,False
hicks_law,172.18078366364813,26.25131654527407,qucb,0.8475363162676997,False
