error_model,jitter_iteration,n_runs,n_benchmarks,n_cells,n_nonpositive_cells,gain_prediction,beta_c,beta_z,beta_z_lo,beta_z_hi,gain_gap,gain_gap_lo,gain_gap_hi,verdict,loglog_beta_c,loglog_beta_z,loglog_beta_z_lo,loglog_beta_z_hi,loglog_gain_gap,loglog_gain_gap_lo,loglog_gain_gap_hi,loglog_verdict,bootstrap_reps_used
slip,0,2400,20,80,11,0.26740133834238555,0.7325986616576144,1.058696700155687,0.9365547526604713,1.8042433461647356,0.7912953618133014,0.5940721224707622,1.657724899145688,neither,0.786020810137586,1.7017691986447572,1.4191956536377757,2.391038658722185,1.4877900087823432,1.088572558849991,2.1773938113122364,neither,2000
slip,20,2400,20,80,20,0.39070420107591475,0.6092957989240853,1.3376035000042108,1.2020229111398917,2.3586293827218303,0.946899298928296,0.7834566863882833,2.105051572191706,neither,0.8412064349550351,2.2646796520667576,1.80566067505514,3.808241075025085,2.105886087021793,1.5326964970443369,3.56280080033396,neither,2000
