iteration,Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.3269722766055607,0.9872768433379255,0.31871083848551673,0.7885489358200289,0.8698965116962161,0.391084806539194,0.4378818731227988,0.37274890308935305,0.10695359647277436,0.47896545416271696,0.24135214508468228,0.25714524855112975,0.1847315568344149,0.1938645489043107,0.813827670155021,0.42298418814422634,0.5582342914091104,0.5131262809475278,True,-0.04510801046158264,logei,0.0,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.5582342914091104,4.738073752743307,4.738073752743307,4.738073752743307,4.738073752743307,0.5582342914091104,4.738073752743307,opticarvis
2,0.25592050515822606,0.5909028517654116,0.6042722960584558,0.6468580270601879,0.9113563804485241,0.15020611196196842,0.3713871284423962,0.28462063751081257,0.016782052324450736,0.1815539373627295,0.3946685812986028,0.39331071008632423,0.616727944407001,0.45226652882714635,0.6073306675714749,0.2230599854133728,0.36668242954714636,0.2152074575673477,True,-0.15147497197979867,logei,0.0,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.5582342914091104,4.929625614605271,9.667699367348579,4.738073752743307,4.8338496836742895,0.5582342914091104,4.738073752743307,opticarvis
3,0.13398713179937904,0.32928937671175385,0.09610843352814702,0.365839914667796,0.46017930748995783,0.7189886438895141,0.8670248693354128,0.0518356525166741,0.9560959106658995,0.7201014252153678,0.9887735986731542,0.11877710929829022,0.37502175569829954,0.5022540119050812,0.7472234620184784,0.3110309498232615,0.4604134064348249,0.4433753011154228,True,-0.01703810531940214,logei,0.0,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.5582342914091104,4.835894637717592,14.503594005066171,4.738073752743307,4.834531335022057,0.5582342914091104,4.738073752743307,opticarvis
4,0.44990427608459893,0.2761593526006465,0.4491651627010732,0.509974007901371,0.5650279397645245,0.7041907150920405,0.24181998657881287,0.6304904817854313,0.09014617866131558,0.6110419644322421,0.4590375943814291,0.13485422157411453,0.25669475793344865,0.06487322037921994,0.3723219626078539,0.4037796818421797,0.2616746133915231,0.23837333881006345,True,-0.02330127458145964,logei,0.0,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.5582342914091104,5.034633430760895,19.538227435827068,4.738073752743307,4.884556858956767,0.5582342914091104,4.738073752743307,opticarvis
5,0.4887823985103782,0.06985739658056511,0.7156829698612962,0.318933607129104,0.28180362257344105,0.8913654203826432,0.6011123336801122,0.6586733536551221,0.531422441488708,0.21619706499395308,0.15086429423376224,0.18414657885742036,0.3406843204351936,0.17005881864777384,0.47778324535359273,0.9673686969994443,0.639034168524079,0.4716787689938382,True,-0.1673553995302408,logei,0.0,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.639034168524079,4.657273875628339,24.195501311455406,4.657273875628339,4.8391002622910815,0.5582342914091104,4.738073752743307,opticarvis
6,0.3791333776102983,1.0,0.005644052311561034,0.9689104490864517,0.8665062759440185,0.5957969617214494,0.5422273599873304,0.42063124969014204,0.21437809902731658,0.7645933616179456,0.059763548481867906,0.13460216845534784,0.0,0.0,1.0,0.6317546177496808,0.3383257576733662,0.3376332074343111,True,-0.000692550239055123,logei,0.4156049999874085,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.639034168524079,4.9579822864790515,29.153483597934457,4.657273875628339,4.8589139329890765,0.5582342914091104,4.738073752743307,opticarvis
7,0.3791333776102983,1.0,0.005644052311561034,0.9689104490864517,0.8665062759440185,0.5957969617214494,0.5422273599873304,0.42063124969014204,0.21437809902731658,0.7645933616179456,0.059763548481867906,0.13460216845534784,0.0,0.0,1.0,0.6317546177496808,0.3383257576733662,0.3571805849642116,True,0.018854827290845422,logei,0.0,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.639034168524079,4.9579822864790515,34.111465884413505,4.657273875628339,4.873066554916215,0.5582342914091104,4.738073752743307,opticarvis
8,0.18067401917029435,1.0,0.28220640494642135,0.7026933889359712,0.8644199558202006,0.2939596839077677,0.6499764569757334,0.11783016094587306,0.38790162946165324,0.40921446996679717,0.4770079546553524,0.3054352402075288,0.0,0.37490383754205353,1.0,0.31731274243604085,0.46505744170439894,0.6025178198375157,True,0.1374603781331168,logei,0.7569820999924559,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.639034168524079,4.831250602448018,38.94271648686152,4.657273875628339,4.86783956085769,0.46505744170439894,4.831250602448018,opticarvis
9,0.18067401917029435,1.0,0.28220640494642135,0.7026933889359712,0.8644199558202006,0.2939596839077677,0.6499764569757334,0.11783016094587306,0.38790162946165324,0.40921446996679717,0.4770079546553524,0.3054352402075288,0.0,0.37490383754205353,1.0,0.31731274243604085,0.46505744170439894,0.40088147562400894,True,-0.06417596608039,logei,0.0,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.639034168524079,4.831250602448018,43.77396708930954,4.657273875628339,4.8637741210343926,0.5582342914091104,4.738073752743307,opticarvis
10,0.20099244824027002,1.0,0.2926353018107314,1.0,1.0,0.0,0.5603419925851746,0.112341531225335,0.0,0.20088271709416833,0.0,0.4606742203551342,0.0,0.030556817400698866,1.0,0.4016208475769609,0.3027210764721459,0.2837646551825704,True,-0.01895642128957553,logei,0.8658915999985766,False,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,0.093427,0,gradient_boosting,composite,learned,0.008728604329,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",5.2963080441524175,0.639034168524079,4.9935869676802715,48.76755405698981,4.657273875628339,4.876755405698981,0.5582342914091104,4.738073752743307,opticarvis
