dataset,objective,acquisition,error_model,jitter_iteration,jitter_std,oracle_model,delta_excess_l2_norm_mean,final_simple_regret_excess_true_mean,final_cum_regret_excess_true_mean,final_avg_regret_excess_true_mean,auc_simple_regret_excess_true_mean,delta_excess_l2_norm_std,final_simple_regret_excess_true_std,final_cum_regret_excess_true_std,final_avg_regret_excess_true_std,auc_simple_regret_excess_true_std,runs
opticarvis,composite,logei,gaussian,0,0.007815,extra_trees,0.0,0.015171997531789671,0.6626462706983937,0.013252925413967876,0.29046061449902166,0.0,0.0589431905415582,1.9519838354153907,0.039039676708307824,1.1788485606447892,10
opticarvis,composite,logei,gaussian,0,0.039076,extra_trees,0.0,0.017219854057979524,-0.3831493148292239,-0.007662986296584478,-0.19618881919188827,0.0,0.05541239737262992,1.8474374624370977,0.036948749248741954,1.843638537250752,10
opticarvis,composite,logei,gaussian,0,0.156303,extra_trees,0.0,0.09554771527084009,3.551167425377232,0.07102334850754463,2.32795122866716,0.0,0.08192095125463796,4.488219714029024,0.08976439428058049,2.7973538066541246,10
opticarvis,composite,logei,gaussian,0,0.781517,extra_trees,0.0,0.14012386702032553,9.260136966536198,0.18520273933072395,2.945185416894067,0.0,0.08153532668753422,4.909824428773948,0.09819648857547895,2.9922405495683484,10
opticarvis,composite,logei,gaussian,20,0.007815,extra_trees,0.43811984887166744,0.003103223018048229,-0.12721508848770888,-0.0025443017697541924,-0.17163826839866408,0.3570362390397048,0.049256571550225746,1.1560545337614783,0.023121090675229567,1.2374253515934808,10
opticarvis,composite,logei,gaussian,20,0.039076,extra_trees,0.5807977677362588,0.041202461597045326,0.31338714689083885,0.006267742937816778,0.3526891845285274,0.3883121876842533,0.04405870622254406,1.1209379708210765,0.02241875941642154,1.1386278742841724,10
opticarvis,composite,logei,gaussian,20,0.156303,extra_trees,0.643897132341249,0.07470284290555108,0.8120790775156443,0.016241581550312884,0.7749280568004531,0.2559624305748544,0.04852397922440144,1.6283386302240592,0.032566772604481174,1.163503687456414,10
opticarvis,composite,logei,gaussian,20,0.781517,extra_trees,0.951147626851441,0.09305488469092646,2.833977357569069,0.05667954715138138,1.2844637755261785,0.35686492713736706,0.05196657015315625,2.404858585419849,0.04809717170839699,1.51845873084056,10
opticarvis,composite,qnei,gaussian,0,0.007815,extra_trees,0.0,0.028034672958214935,0.45739109557049334,0.00914782191140987,0.45169551289638504,0.0,0.055008265383575124,1.2086542425882707,0.0241730848517654,1.139943119899032,10
opticarvis,composite,qnei,gaussian,0,0.039076,extra_trees,0.0,0.019030869708995292,-0.07032079433380574,-0.0014064158866761212,-0.10912097226459991,0.0,0.05299392193558793,0.8562796130125633,0.017125592260251267,0.6251891742789705,10
opticarvis,composite,qnei,gaussian,0,0.156303,extra_trees,0.0,0.09485342626509326,5.098665993707998,0.10197331987415995,2.5661657264600257,0.0,0.0623458214019844,1.9967510185691764,0.03993502037138352,1.540786362262334,10
opticarvis,composite,qnei,gaussian,0,0.781517,extra_trees,0.0,0.1371240551811334,8.335623162427435,0.16671246324854871,3.6712366060506105,0.0,0.07700499938014733,4.0879039235263255,0.08175807847052648,2.4452103311089095,10
opticarvis,composite,qnei,gaussian,20,0.007815,extra_trees,0.37736145079956496,0.009858098884140843,0.2661456515008737,0.005322913030017468,0.28916702783713255,0.23034471129547254,0.05769536622231708,1.3054245405918792,0.026108490811837578,1.065672537007022,10
opticarvis,composite,qnei,gaussian,20,0.039076,extra_trees,0.3804143304313215,0.014262327363994576,0.10825478920872182,0.0021650957841744256,0.453398761786057,0.17875924044719319,0.04129629505533011,1.0269523739067596,0.020539047478135196,0.6598342852771711,10
opticarvis,composite,qnei,gaussian,20,0.156303,extra_trees,0.6810183639049676,0.05617016805725147,1.4884835247068944,0.029769670494137878,1.0084201070875163,0.36336322740705645,0.051285806853025896,1.1777652406998143,0.02355530481399628,1.008766808929893,10
opticarvis,composite,qnei,gaussian,20,0.781517,extra_trees,1.0955472322543454,0.0877246456552709,4.068425815928909,0.08136851631857817,1.5757322805011338,0.3848466535210805,0.06059558299059064,1.943701374551856,0.038874027491037105,1.432387968278408,10
all,composite,logei,gaussian,0,0.007815,extra_trees,0.0,0.015171997531789671,0.6626462706983937,0.013252925413967876,0.29046061449902166,0.0,0.0589431905415582,1.9519838354153907,0.039039676708307824,1.1788485606447892,10
all,composite,logei,gaussian,0,0.039076,extra_trees,0.0,0.017219854057979524,-0.3831493148292239,-0.007662986296584478,-0.19618881919188827,0.0,0.05541239737262992,1.8474374624370977,0.036948749248741954,1.843638537250752,10
all,composite,logei,gaussian,0,0.156303,extra_trees,0.0,0.09554771527084009,3.551167425377232,0.07102334850754463,2.32795122866716,0.0,0.08192095125463796,4.488219714029024,0.08976439428058049,2.7973538066541246,10
all,composite,logei,gaussian,0,0.781517,extra_trees,0.0,0.14012386702032553,9.260136966536198,0.18520273933072395,2.945185416894067,0.0,0.08153532668753422,4.909824428773948,0.09819648857547895,2.9922405495683484,10
all,composite,logei,gaussian,20,0.007815,extra_trees,0.43811984887166744,0.003103223018048229,-0.12721508848770888,-0.0025443017697541924,-0.17163826839866408,0.3570362390397048,0.049256571550225746,1.1560545337614783,0.023121090675229567,1.2374253515934808,10
all,composite,logei,gaussian,20,0.039076,extra_trees,0.5807977677362588,0.041202461597045326,0.31338714689083885,0.006267742937816778,0.3526891845285274,0.3883121876842533,0.04405870622254406,1.1209379708210765,0.02241875941642154,1.1386278742841724,10
all,composite,logei,gaussian,20,0.156303,extra_trees,0.643897132341249,0.07470284290555108,0.8120790775156443,0.016241581550312884,0.7749280568004531,0.2559624305748544,0.04852397922440144,1.6283386302240592,0.032566772604481174,1.163503687456414,10
all,composite,logei,gaussian,20,0.781517,extra_trees,0.951147626851441,0.09305488469092646,2.833977357569069,0.05667954715138138,1.2844637755261785,0.35686492713736706,0.05196657015315625,2.404858585419849,0.04809717170839699,1.51845873084056,10
all,composite,qnei,gaussian,0,0.007815,extra_trees,0.0,0.028034672958214935,0.45739109557049334,0.00914782191140987,0.45169551289638504,0.0,0.055008265383575124,1.2086542425882707,0.0241730848517654,1.139943119899032,10
all,composite,qnei,gaussian,0,0.039076,extra_trees,0.0,0.019030869708995292,-0.07032079433380574,-0.0014064158866761212,-0.10912097226459991,0.0,0.05299392193558793,0.8562796130125633,0.017125592260251267,0.6251891742789705,10
all,composite,qnei,gaussian,0,0.156303,extra_trees,0.0,0.09485342626509326,5.098665993707998,0.10197331987415995,2.5661657264600257,0.0,0.0623458214019844,1.9967510185691764,0.03993502037138352,1.540786362262334,10
all,composite,qnei,gaussian,0,0.781517,extra_trees,0.0,0.1371240551811334,8.335623162427435,0.16671246324854871,3.6712366060506105,0.0,0.07700499938014733,4.0879039235263255,0.08175807847052648,2.4452103311089095,10
all,composite,qnei,gaussian,20,0.007815,extra_trees,0.37736145079956496,0.009858098884140843,0.2661456515008737,0.005322913030017468,0.28916702783713255,0.23034471129547254,0.05769536622231708,1.3054245405918792,0.026108490811837578,1.065672537007022,10
