delta_Trajectory,delta_TrajectoryAlpha,delta_TrajectorySize,delta_EgoTrajectory,delta_EgoTrajectoryAlpha,delta_EgoTrajectorySize,delta_PedestrianIntention,delta_PedestrianIntentionSize,delta_SemanticSegmentation,delta_SemanticSegmentationAlpha,delta_CarStatus,delta_CarStatusAlpha,delta_CoveredArea,delta_CoveredAreaAlpha,delta_CoveredAreaSize,delta_OccludedCars,delta_l2_norm,iteration,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,final_inference_simple_regret_true,auc_simple_regret_true,auc_inference_simple_regret_true,acq_opt_failures,acquisition,objective,jitter_std,jitter_iteration,iterations,seed,run_id,error_model,oracle_model,baseline,xi,kappa,runtime_sec,y_opt,dataset,param_columns
-0.07105177144733466,-0.39637399157251396,0.28556145757293905,-0.14169090875984103,0.041459868752308005,-0.24087869457722555,-0.06649474468040262,-0.08812826557854048,-0.09017154414832362,-0.29741151679998745,0.15331643621392055,0.1361654615351945,0.43199638757258607,0.25840197992283565,-0.20649700258354609,-0.19992420273085354,0.9001925376410522,0.0,1.3531077180920121,3.9432003260604054,241.1727010657297,4.823454021314594,3.9432003260604054,218.14077626477948,218.14077626477948,0.0,logei,composite,0.0,0,50,8,a8d82ff1-35d0-4607-a2e0-8a05344bbbde,none,gradient_boosting,True,0.01,2.0,34.95201000000816,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.2962987051540469,0.4025603539665042,-0.013385580900456495,-0.2221544682222355,-0.010850694098792135,-0.5523818457213463,0.15931594379171699,0.14426543826248794,0.38981460509564786,0.0,0.0,-0.14402379442333146,0.07070008716002904,-0.13065920062999067,-0.10061493556755496,0.6419563792136761,1.125973817310633,20.0,1.3531077180920121,3.9432003260604054,241.1727010657297,4.823454021314594,3.9432003260604054,218.14077626477948,218.14077626477948,0.0,logei,composite,0.0,20,50,8,a8d82ff1-35d0-4607-a2e0-8a05344bbbde,none,gradient_boosting,True,0.01,2.0,34.95201000000816,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.07105177144733466,-0.39637399157251396,0.28556145757293905,-0.14169090875984103,0.041459868752308005,-0.24087869457722555,-0.06649474468040262,-0.08812826557854048,-0.09017154414832362,-0.29741151679998745,0.15331643621392055,0.1361654615351945,0.43199638757258607,0.25840197992283565,-0.20649700258354609,-0.19992420273085354,0.9001925376410522,0.0,1.0568287010130835,4.239479343139334,243.46715313974684,4.869343062794937,4.239479343139334,216.89122537009308,216.89122537009308,0.0,logei,composite,0.018685,0,50,8,664569f6-f1fb-4574-97ce-14c5e2132ebc,gaussian,gradient_boosting,False,0.01,2.0,50.4456979999959,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.2980996327857742,0.3959723333751849,-0.014780896098559926,-0.22205960771233946,-0.00960447396251951,-0.544087835593058,0.15840542234223087,0.14210542346294386,0.39006997166063195,0.0,0.0,-0.145079727692548,0.07068349875830385,-0.1300861145568467,-0.10128456601631597,0.6492465406599335,1.1240539890707035,20.0,0.9799956078668727,4.3163124362855445,243.61444528080497,4.8722889056161,4.333153040254931,221.29498132117243,221.3202422271265,0.0,logei,composite,0.018685,20,50,8,2e6f89de-b8fd-4ea0-b0b7-a76b9e68563b,gaussian,gradient_boosting,False,0.01,2.0,43.73148339999898,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.07105177144733466,-0.39637399157251396,0.28556145757293905,-0.14169090875984103,0.041459868752308005,-0.24087869457722555,-0.06649474468040262,-0.08812826557854048,-0.09017154414832362,-0.29741151679998745,0.15331643621392055,0.1361654615351945,0.43199638757258607,0.25840197992283565,-0.20649700258354609,-0.19992420273085354,0.9001925376410522,0.0,2.4701091957676082,2.8261988483848093,214.41934623216315,4.288386924643263,2.8261988483848093,187.91803356805616,188.59743373857356,0.0,logei,composite,0.093427,0,50,8,43ac83bb-a7e8-42fc-b1bd-8715d67c643f,gaussian,gradient_boosting,False,0.01,2.0,35.196221699996386,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.2992109925408257,0.40322964866046096,-0.017458323036840806,-0.22313503739967633,-0.009610007026395861,-0.5520507576720053,0.1569945853534691,0.14164049760330655,0.3902040198165381,0.0,0.0,-0.14630739051560293,0.07124290876282788,-0.1302215234543777,-0.10348509083149848,0.6418408379649909,1.1270067343950807,20.0,1.1741784676457425,4.1221295765066746,241.49216839366716,4.829843367873343,4.1221295765066746,216.1357890620557,216.1357890620557,0.0,logei,composite,0.093427,20,50,8,da988e88-d2d9-4ba7-99d2-e6f539b68825,gaussian,gradient_boosting,False,0.01,2.0,39.01669259999471,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.07105177144733466,-0.39637399157251396,0.28556145757293905,-0.14169090875984103,0.041459868752308005,-0.24087869457722555,-0.06649474468040262,-0.08812826557854048,-0.09017154414832362,-0.29741151679998745,0.15331643621392055,0.1361654615351945,0.43199638757258607,0.25840197992283565,-0.20649700258354609,-0.19992420273085354,0.9001925376410522,0.0,1.3619311373528749,3.9343769067995424,234.0530927587204,4.681061855174408,3.9694166377889664,208.97977112471202,214.76841119601133,0.0,logei,composite,0.373709,0,50,8,14f752dd-2834-4a70-b348-154523fc956a,gaussian,gradient_boosting,False,0.01,2.0,30.921673199991346,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.32230996255191635,0.46659489174904467,0.0,-0.26416417850586127,-0.012891299160072922,-0.6775941581679841,0.1435801306291944,0.2045221593926242,0.3952250909148723,0.0,0.0,-0.16887230175847984,0.07501702088908899,-0.16050959725418798,-0.15870166111217315,0.6543606139531966,1.2580172717019225,20.0,1.974185019302819,3.3221230248495983,224.86105169682284,4.497221033936457,3.6840756589822137,200.7422365666461,203.94474325731696,0.0,logei,composite,0.373709,20,50,8,24c5455a-089d-436b-9805-58d898636f77,gaussian,gradient_boosting,False,0.01,2.0,26.142633399998886,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
-0.07105177144733466,-0.39637399157251396,0.28556145757293905,-0.14169090875984103,0.041459868752308005,-0.24087869457722555,-0.06649474468040262,-0.08812826557854048,-0.09017154414832362,-0.29741151679998745,0.15331643621392055,0.1361654615351945,0.43199638757258607,0.25840197992283565,-0.20649700258354609,-0.19992420273085354,0.9001925376410522,0.0,0.7201753679025679,4.576132676249849,246.35897832276277,4.927179566455255,5.135416197380422,225.04071850210514,243.82247088664155,0.0,logei,composite,1.868543,0,50,8,43927a92-49ed-461d-8991-265fff84696b,gaussian,gradient_boosting,False,0.01,2.0,16.765367600004538,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
0.07392050828114816,0.0,0.0,0.03401552879916625,-0.2653433136648219,-0.11483839041503485,-0.0474658703572261,0.2045221593926242,-0.027131791709751482,0.0,0.0,0.17401386005891323,-0.14936098561443129,-0.08611416461562169,0.0036127964036675175,-0.3228270877589139,0.5470559771806411,20.0,1.0395577716543156,4.256750272498102,256.0708606827113,5.121417213654227,5.2854053852825675,224.44048110976433,246.5723595682066,0.0,logei,composite,1.868543,20,50,8,d4dd1fd1-7887-46c8-b523-6bd6a236e52f,gaussian,gradient_boosting,False,0.01,2.0,19.091844500013394,5.2963080441524175,opticarvis,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars"
