delta_x0,delta_x1,delta_l2_norm,iteration,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,final_inference_simple_regret_true,auc_simple_regret_true,auc_inference_simple_regret_true,acq_opt_failures,acquisition,objective,jitter_std,jitter_iteration,iterations,seed,run_id,error_model,oracle_model,baseline,xi,kappa,runtime_sec,y_opt,dataset,param_columns
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.8704546952227057,0.7770723417097507,83.1820013989034,1.6636400279780679,0.7770723417097507,48.77531015189159,48.77531015189159,0.0,logei,composite,0.0,0,50,10,181f7b0e-cc91-4bbf-bc50-19d2b8ae51db,none,gradient_boosting,True,0.01,2.0,9.932931500021368,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,86.99218708917009,1.7398437417834018,1.174964959919941,54.61739698994467,58.23881607077616,0.0,logei,composite,0.25839,0,50,10,f2522a83-2b37-4458-87e6-c14063481d79,gaussian,gradient_boosting,False,0.01,2.0,9.866587000025902,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,85.68530142341085,1.713706028468217,1.5059255513984355,54.61739698994467,72.26917569616151,0.0,logei,composite,1.033559,0,50,10,dd4ffc51-c246-40c1-9e26-7d09b9d16ac2,gaussian,gradient_boosting,False,0.01,2.0,8.233267900010105,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,158.09896320625134,3.161979264125027,4.511553743290696,54.61739698994467,213.84029044524274,0.0,logei,composite,5.167794,0,50,10,7441576a-0014-4a48-bfa1-40454e30ad70,gaussian,gradient_boosting,False,0.01,2.0,7.333505699993111,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,2.131017285483346,0.5165097514491106,96.97984426906233,1.9395968853812464,0.5165097514491106,40.86599002320467,40.86599002320467,0.0,qnei,composite,0.0,0,50,10,9a011df5-bf4e-44d5-a2c1-0c86a6a8e2c8,none,gradient_boosting,True,0.01,2.0,10.83668220002437,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5748469153139055,1.0726801216185509,99.11097863512985,1.982219572702597,1.282395123331726,53.71524337446167,61.91471201686265,0.0,qnei,composite,0.25839,0,50,10,bcc342ab-fe81-425b-a6cd-52468b952e89,gaussian,gradient_boosting,False,0.01,2.0,10.182040100044105,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,109.4384994730987,2.188769989461974,1.3353692324337778,54.61739698994467,84.94862593431117,0.0,qnei,composite,1.033559,0,50,10,0897238c-1272-41e7-8064-831e23ad7b8c,gaussian,gradient_boosting,False,0.01,2.0,11.050939099979587,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,126.6278702440831,2.532557404881662,1.5920125526950624,54.61739698994467,73.38442040843526,0.0,qnei,composite,5.167794,0,50,10,700ee8d7-e5a9-4c70-a215-e94f1a6d2407,gaussian,gradient_boosting,False,0.01,2.0,10.317009900056291,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,2.0837906631686893,0.5637363737637671,89.14594630069892,1.7829189260139784,0.5637363737637671,43.90550843215505,43.90550843215505,0.0,ucb,composite,0.0,0,50,10,12c03967-315f-47ac-9a44-296ea346b903,none,gradient_boosting,True,0.01,2.0,8.822707100014668,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.997905769365837,0.6496212675666193,95.85089912199705,1.917017982439941,0.6496212675666193,51.588822323723534,70.29022121831942,0.0,ucb,composite,0.25839,0,50,10,30553703-4f3c-4b91-b628-bf909427a88f,gaussian,gradient_boosting,False,0.01,2.0,8.53444269997999,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,106.80899576180272,2.1361799152360543,2.383567511559213,54.61739698994467,87.19495518258897,0.0,ucb,composite,1.033559,0,50,10,668b3dbd-0798-42e5-95aa-5a0282c62809,gaussian,gradient_boosting,False,0.01,2.0,8.513289700029418,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,133.39718713411438,2.6679437426822874,3.706619067731732,54.61739698994467,179.85014398790312,0.0,ucb,composite,5.167794,0,50,10,22d9e820-69b7-4013-9053-bf2c9e59d94e,gaussian,gradient_boosting,False,0.01,2.0,8.25815899996087,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.8704546952227057,0.7770723417097507,82.89833864326295,1.657966772865259,0.7770723417097507,48.77531015189159,48.77531015189159,0.0,ei,composite,0.0,0,50,10,b23c11f4-45b2-45f7-b4a1-a9248d73dc9c,none,gradient_boosting,True,0.01,2.0,9.360418300027959,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.7775565097504777,0.8699705271819786,86.32777314712439,1.7265554629424877,1.3704403971671693,50.82500846036447,68.44074369906907,0.0,ei,composite,0.25839,0,50,10,b633aaf1-ea41-4b45-9449-8b2062d98f57,gaussian,gradient_boosting,False,0.01,2.0,8.021798699977808,2.6475270369324564,iso_branin,"x0,x1"
-1.2755682435444466,-0.5839968699712661,1.4028993862979984,0.0,1.5328862820356264,1.11464075489683,90.13590538053795,1.802718107610759,1.6658873632687023,54.61739698994467,81.84077429352384,0.0,ei,composite,1.033559,0,50,10,4f30f079-c816-423d-ac45-4e32d9895e1b,gaussian,gradient_boosting,False,0.01,2.0,7.510047300020233,2.6475270369324564,iso_branin,"x0,x1"
