dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_branin,composite,logei,gradient_boosting,gaussian,0.25839,0,10,"x0,x1",0.0,0.0,0.0,0.3375684131870793,3.8101856902666924,0.07620371380533397,5.842086838053085
iso_branin,composite,logei,gradient_boosting,gaussian,1.033559,0,10,"x0,x1",0.0,0.0,0.0,0.3375684131870793,2.5033000245074533,0.0500660004901492,5.842086838053085
iso_branin,composite,logei,gradient_boosting,gaussian,5.167794,0,10,"x0,x1",0.0,0.0,0.0,0.3375684131870793,74.91696180734795,1.498339236146959,5.842086838053085
iso_branin,composite,qnei,gradient_boosting,gaussian,0.25839,0,10,"x0,x1",0.0,0.0,0.0,0.5561703701694403,2.1311343660675277,0.04262268732135066,12.849253351257005
iso_branin,composite,qnei,gradient_boosting,gaussian,1.033559,0,10,"x0,x1",0.0,0.0,0.0,0.5981310034477194,12.458655204036376,0.24917310408072746,13.751406966740007
iso_branin,composite,qnei,gradient_boosting,gaussian,5.167794,0,10,"x0,x1",0.0,0.0,0.0,0.5981310034477194,29.648025975020772,0.5929605195004157,13.751406966740007
iso_branin,composite,ucb,gradient_boosting,gaussian,0.25839,0,10,"x0,x1",0.0,0.0,0.0,0.08588489380285225,6.7049528212981215,0.13409905642596254,7.683313891568481
iso_branin,composite,ucb,gradient_boosting,gaussian,1.033559,0,10,"x0,x1",0.0,0.0,0.0,0.550904381133063,17.663049461103796,0.35326098922207594,10.71188855778962
iso_branin,composite,ucb,gradient_boosting,gaussian,5.167794,0,10,"x0,x1",0.0,0.0,0.0,0.550904381133063,44.25124083341545,0.885024816668309,10.71188855778962
iso_branin,composite,ei,gradient_boosting,gaussian,0.25839,0,10,"x0,x1",0.0,0.0,0.0,0.09289818547222795,3.4294345038614438,0.06858869007722879,2.049698308472884
iso_branin,composite,ei,gradient_boosting,gaussian,1.033559,0,10,"x0,x1",0.0,0.0,0.0,0.3375684131870793,7.237566737275003,0.14475133474550006,5.842086838053085
iso_branin,composite,ei,gradient_boosting,gaussian,5.167794,0,10,"x0,x1",0.0,0.0,0.0,-0.022904512051764803,10.75695949430748,0.21513918988614966,-7.315174933164727
iso_branin,composite,random,gradient_boosting,gaussian,0.25839,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,1.033559,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,5.167794,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,0.25839,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,1.033559,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,5.167794,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,logei,gradient_boosting,gaussian,0.25839,0,9,"x0,x1",0.0,0.0,0.0,-1.0528149333298829,-9.101334797742226,-0.18202669595484444,-39.36360100285037
iso_branin,composite,logei,gradient_boosting,gaussian,1.033559,0,9,"x0,x1",0.0,0.0,0.0,-0.36103055955408125,1.061338831952952,0.021226776639059253,-8.22503900090301
iso_branin,composite,logei,gradient_boosting,gaussian,5.167794,0,9,"x0,x1",0.0,0.0,0.0,-0.10238313061239435,12.284060472690186,0.2456812094538039,-3.121766149922891
iso_branin,composite,qnei,gradient_boosting,gaussian,0.25839,0,9,"x0,x1",0.0,0.0,0.0,0.3481674820696481,6.7181083655077884,0.13436216731015582,2.8430426930648167
iso_branin,composite,qnei,gradient_boosting,gaussian,1.033559,0,9,"x0,x1",0.0,0.0,0.0,0.7126004249813065,16.57690315548888,0.3315380631097775,12.183601404464909
iso_branin,composite,qnei,gradient_boosting,gaussian,5.167794,0,9,"x0,x1",0.0,0.0,0.0,0.7667345982255558,51.609028449407845,1.032180568988157,22.227494961567487
iso_branin,composite,ucb,gradient_boosting,gaussian,0.25839,0,9,"x0,x1",0.0,0.0,0.0,0.5918353056823087,1.7103654951144307,0.034207309902288596,21.458426830422667
iso_branin,composite,ucb,gradient_boosting,gaussian,1.033559,0,9,"x0,x1",0.0,0.0,0.0,1.020150758627739,20.83191356640961,0.4166382713281922,34.47508254578415
iso_branin,composite,ucb,gradient_boosting,gaussian,5.167794,0,9,"x0,x1",0.0,0.0,0.0,0.47130695313605475,20.11829363297909,0.40236587265958157,18.929968968600335
iso_branin,composite,ei,gradient_boosting,gaussian,0.25839,0,9,"x0,x1",0.0,0.0,0.0,-0.7862836567013842,-8.5241961561956,-0.17048392312391192,-19.36162706113062
iso_branin,composite,ei,gradient_boosting,gaussian,1.033559,0,9,"x0,x1",0.0,0.0,0.0,-0.30503234630254283,0.11924549901630144,0.0023849099803263663,-11.688669635195083
iso_branin,composite,ei,gradient_boosting,gaussian,5.167794,0,9,"x0,x1",0.0,0.0,0.0,0.06431901894191672,62.027676036875874,1.2405535207375178,1.6871994720137877
iso_branin,composite,random,gradient_boosting,gaussian,0.25839,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,1.033559,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,5.167794,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,0.25839,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,1.033559,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,5.167794,0,9,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,logei,gradient_boosting,gaussian,0.25839,0,11,"x0,x1",0.0,0.0,0.0,-0.1606225287191323,-14.82258084425834,-0.29645161688516697,-4.183484474991829
iso_branin,composite,logei,gradient_boosting,gaussian,1.033559,0,11,"x0,x1",0.0,0.0,0.0,-0.22976587059164855,-9.716742561301473,-0.19433485122602967,-5.857208587479036
iso_branin,composite,logei,gradient_boosting,gaussian,5.167794,0,11,"x0,x1",0.0,0.0,0.0,0.30887197626916185,42.08369965651099,0.8416739931302195,11.961277334769946
iso_branin,composite,qnei,gradient_boosting,gaussian,0.25839,0,11,"x0,x1",0.0,0.0,0.0,-0.3282093852017378,-7.230730271501827,-0.14461460543003657,-7.754404254794849
iso_branin,composite,qnei,gradient_boosting,gaussian,1.033559,0,11,"x0,x1",0.0,0.0,0.0,-0.1860332833856535,5.64900683043534,0.11298013660870687,1.229185022948272
iso_branin,composite,qnei,gradient_boosting,gaussian,5.167794,0,11,"x0,x1",0.0,0.0,0.0,0.0406733310046532,32.1246305508361,0.642492611016722,8.909159535233627
iso_branin,composite,ucb,gradient_boosting,gaussian,0.25839,0,11,"x0,x1",0.0,0.0,0.0,0.3449846569814139,1.4863227824114773,0.02972645564822951,20.545366238316475
iso_branin,composite,ucb,gradient_boosting,gaussian,1.033559,0,11,"x0,x1",0.0,0.0,0.0,0.5118728479582468,4.777623930080367,0.09555247860160732,20.85840450482651
iso_branin,composite,ucb,gradient_boosting,gaussian,5.167794,0,11,"x0,x1",0.0,0.0,0.0,0.5534756335016215,26.677251642083974,0.5335450328416793,20.270741527143414
iso_branin,composite,ei,gradient_boosting,gaussian,0.25839,0,11,"x0,x1",0.0,0.0,0.0,0.15556279631166126,-15.638338950230917,-0.31276677900461847,6.1938610811858865
iso_branin,composite,ei,gradient_boosting,gaussian,1.033559,0,11,"x0,x1",0.0,0.0,0.0,-0.07803285568413765,-2.2574513933885356,-0.04514902786777064,-2.1248442280570856
iso_branin,composite,ei,gradient_boosting,gaussian,5.167794,0,11,"x0,x1",0.0,0.0,0.0,0.23118506380005943,49.796149752456344,0.9959229950491268,8.672662986263177
iso_branin,composite,random,gradient_boosting,gaussian,0.25839,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,1.033559,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,5.167794,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,0.25839,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,1.033559,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,5.167794,0,11,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,logei,gradient_boosting,gaussian,0.25839,0,8,"x0,x1",0.0,0.0,0.0,0.03468843699030666,6.285193932686653,0.125703878653733,7.96344743435823
iso_branin,composite,logei,gradient_boosting,gaussian,1.033559,0,8,"x0,x1",0.0,0.0,0.0,0.7349543703638974,22.348476181680184,0.44696952363360354,31.310786864872696
iso_branin,composite,logei,gradient_boosting,gaussian,5.167794,0,8,"x0,x1",0.0,0.0,0.0,0.6569451164369717,62.22308279878446,1.2444616559756894,29.027660739183474
iso_branin,composite,qnei,gradient_boosting,gaussian,0.25839,0,8,"x0,x1",0.0,0.0,0.0,0.22113878608588844,-1.5119978013436395,-0.030239956026872683,16.871439175582907
iso_branin,composite,qnei,gradient_boosting,gaussian,1.033559,0,8,"x0,x1",0.0,0.0,0.0,0.5475943317367571,17.695033221949203,0.35390066443898416,24.224899637707438
iso_branin,composite,qnei,gradient_boosting,gaussian,5.167794,0,8,"x0,x1",0.0,0.0,0.0,0.5396349093898203,42.14902627325219,0.8429805254650438,26.30763154724346
iso_branin,composite,ucb,gradient_boosting,gaussian,0.25839,0,8,"x0,x1",0.0,0.0,0.0,-0.211005038009062,-9.149132039147943,-0.18298264078295912,4.694446743125496
iso_branin,composite,ucb,gradient_boosting,gaussian,1.033559,0,8,"x0,x1",0.0,0.0,0.0,-0.2707394636903422,13.729609676306382,0.2745921935261273,1.5365972044561858
iso_branin,composite,ucb,gradient_boosting,gaussian,5.167794,0,8,"x0,x1",0.0,0.0,0.0,-0.35140654129082805,24.292744099698083,0.48585488199396165,-20.352605155018594
iso_branin,composite,ei,gradient_boosting,gaussian,0.25839,0,8,"x0,x1",0.0,0.0,0.0,0.3110266326233537,12.414250350662414,0.2482850070132483,17.720116534662736
iso_branin,composite,ei,gradient_boosting,gaussian,1.033559,0,8,"x0,x1",0.0,0.0,0.0,0.23996445820777468,13.966635881450614,0.27933271762901235,19.691105228650628
iso_branin,composite,ei,gradient_boosting,gaussian,5.167794,0,8,"x0,x1",0.0,0.0,0.0,0.6191869299186668,62.81438215298846,1.256287643059769,26.390670645950408
iso_branin,composite,random,gradient_boosting,gaussian,0.25839,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,1.033559,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,random,gradient_boosting,gaussian,5.167794,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_branin,composite,sobol,gradient_boosting,gaussian,0.25839,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
