detector,target_false_alarm,params,threshold,tune_detection,tune_false_alarm,false_alarm_rate,detection_rate,median_delay,n_changed,n_steady
cusum,0.05,"{""kappa"": 0.25}",3454.617938103612,0.3503125,0.05,0.04176470588235294,0.36875,9.0,3200,3400
glr,0.05,{},1658.3987994259378,0.3503125,0.05,0.04176470588235294,0.3684375,8.0,3200,3400
bocpd,0.05,"{""hazard"": 0.01}",0.9714297565804867,0.2190625,0.05,0.052941176470588235,0.23,2.0,3200,3400
cusum,0.1,"{""kappa"": 0.25}",1766.1478494705523,0.419375,0.1,0.09352941176470589,0.454375,8.0,3200,3400
glr,0.1,{},821.1030738766161,0.4190625,0.1,0.09352941176470589,0.4553125,7.0,3200,3400
bocpd,0.1,"{""hazard"": 0.01}",0.8894585772662508,0.30875,0.1,0.10470588235294118,0.3215625,2.0,3200,3400
cusum,0.2,"{""kappa"": 0.25}",803.2928192444127,0.5275,0.2,0.21029411764705883,0.56375,6.0,3200,3400
glr,0.2,{},353.27952685531017,0.5275,0.2,0.21029411764705883,0.5596875,6.0,3200,3400
bocpd,0.2,"{""hazard"": 0.01}",0.6607461318396981,0.441875,0.2,0.21176470588235294,0.450625,2.0,3200,3400
