iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.24904007775011222,0.24904007775011222,0.24904007775011222,0.0,False,True,0.0,logei,0.0,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.24904007775011222,2.8058608644056156,2.8058608644056156,2.8058608644056156,2.8058608644056156,0.24904007775011222,2.8058608644056156,hartmann_3
2,0.22520718999059186,0.30016628491122543,0.8735534453962619,1.1754030797677335,1.1754030797677335,1.1754030797677335,0.0,False,True,0.0,logei,0.0,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1754030797677335,1.879497862387994,4.685358726793609,1.879497862387994,2.3426793633968046,1.1754030797677335,1.879497862387994,hartmann_3
3,0.005265304565574724,0.8212284183827663,0.7970694287520462,1.1880648068824795,1.1880648068824795,1.1880648068824795,0.0,False,True,0.0,logei,0.0,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1880648068824795,1.866836135273248,6.552194862066857,1.866836135273248,2.184064954022286,1.1880648068824795,1.866836135273248,hartmann_3
4,0.4679349528437208,0.3030324268193135,0.2784256121007733,-0.26232363504763334,-0.26232363504763334,-0.26232363504763334,0.0,False,True,0.0,logei,0.0,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1880648068824795,3.317224577203361,9.869419439270217,1.866836135273248,2.4673548598175543,1.1880648068824795,1.866836135273248,hartmann_3
5,0.2548695876541246,0.4450763058826466,0.5045482589579533,-0.3085779726034354,-0.3085779726034354,-0.3085779726034354,0.0,False,True,0.0,logei,0.0,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1880648068824795,3.363478914759163,13.23289835402938,1.866836135273248,2.646579670805876,1.1880648068824795,1.866836135273248,hartmann_3
6,0.0,0.6380661071668018,0.9587223611488866,1.825020395566819,1.825020395566819,1.825020395566819,0.0,False,True,0.0,logei,0.2008600999834016,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.825020395566819,1.2298805465889087,14.46277890061829,1.2298805465889087,2.4104631501030482,1.825020395566819,1.2298805465889087,hartmann_3
7,0.0,1.0,1.0,-0.6369908231132015,,-0.6369908231132015,0.0,False,True,,logei,0.14388449996476993,False,True,-0.26232363504763334,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.825020395566819,3.691891765268929,18.154670665887217,1.2298805465889087,2.593524380841031,1.825020395566819,1.2298805465889087,hartmann_3
8,0.0,0.5721867087092024,0.8834794044091308,2.9439902049662483,2.9439902049662483,2.9439902049662483,0.0,False,True,0.0,logei,0.28222630004165694,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.9439902049662483,0.1109107371894793,18.265581403076695,0.1109107371894793,2.283197675384587,2.9439902049662483,0.1109107371894793,hartmann_3
9,0.0,0.5637116686449068,0.8312603045096182,2.9968035705317484,2.9968035705317484,2.9968035705317484,0.0,False,True,0.0,logei,0.21052389999385923,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.9968035705317484,0.05809737162397921,18.323678774700674,0.05809737162397921,2.035964308300075,2.9968035705317484,0.05809737162397921,hartmann_3
10,0.5440678799267046,0.5566958468852985,0.8465994825450369,2.9430678274918516,2.9430678274918516,2.9430678274918516,0.0,False,True,0.0,logei,0.31802130001597106,False,False,,7,d3725fad-173b-4f0e-88d0-9f61e5bb8c76,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.9968035705317484,0.11183311466387602,18.43551188936455,0.05809737162397921,1.843551188936455,2.9968035705317484,0.05809737162397921,hartmann_3
