iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.5137940632577207,0.5137940632577207,0.5137940632577207,0.0,False,True,0.0,ucb,0.0,False,False,,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,2.541106878898007,2.541106878898007,2.541106878898007,2.541106878898007,0.5137940632577207,2.541106878898007,hartmann_3
2,0.028689008371944547,0.14792608457745593,0.9282110229603695,-0.31376576698332603,,-0.31376576698332603,0.0,False,True,,ucb,0.0,False,True,0.5137940632577207,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.3686667091390534,5.90977358803706,2.541106878898007,2.95488679401853,0.5137940632577207,2.541106878898007,hartmann_3
3,0.07042057615419683,0.12977394939929798,0.9483284532917751,-0.4727011274378231,,-0.4727011274378231,0.0,False,True,,ucb,0.0,False,True,0.5137940632577207,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.527602069593551,9.43737565763061,2.541106878898007,3.14579188587687,0.5137940632577207,2.541106878898007,hartmann_3
4,0.6218835927963828,0.368993123729791,0.5113900218032627,-0.6166682040543563,-0.6166682040543563,-0.6166682040543563,0.0,False,True,0.0,ucb,0.0,False,False,,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.671569146210084,13.108944803840695,2.541106878898007,3.2772362009601737,0.5137940632577207,2.541106878898007,hartmann_3
5,0.6628429525167993,0.2753088157611293,0.13796807286695534,-0.6066610395455705,-0.6066610395455705,-0.6066610395455705,0.0,False,True,0.0,ucb,0.0,False,False,,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.661561981701298,16.770506785541993,2.541106878898007,3.354101357108399,0.5137940632577207,2.541106878898007,hartmann_3
6,0.0,1.0,0.0,-0.9870929751322833,-0.9870929751322833,-0.9870929751322833,0.0,False,True,0.0,ucb,0.2873074999661185,False,False,,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,4.041993917288011,20.812500702830004,2.541106878898007,3.468750117138334,0.5137940632577207,2.541106878898007,hartmann_3
7,0.0930703058886097,0.19841791974836123,0.0,-0.8959834722750875,,-0.8959834722750875,0.0,False,True,,ucb,0.2557439000229351,False,True,-0.9870929751322833,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.9508844144308153,24.763385117260817,2.541106878898007,3.537626445322974,0.5137940632577207,2.541106878898007,hartmann_3
8,0.0,1.0,0.7764602383921527,0.021604168491669417,,0.021604168491669417,0.0,False,True,,ucb,0.41724989999784157,False,True,-0.9870929751322833,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.033296773664058,27.796681890924877,2.541106878898007,3.4745852363656096,0.5137940632577207,2.541106878898007,hartmann_3
9,0.1392123409342142,0.4256333489591292,1.0,0.8039637080857878,,0.8039637080857878,0.0,False,True,,ucb,0.20901009999215603,False,True,-0.9870929751322833,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.8039637080857878,2.25093723406994,30.047619124994817,2.25093723406994,3.3386243472216464,0.5137940632577207,2.541106878898007,hartmann_3
10,0.0,0.6030224080786915,0.5042485946507143,0.5185957490362143,0.5185957490362143,0.5185957490362143,0.0,False,True,0.0,ucb,0.3679777999641374,False,False,,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.8039637080857878,2.5363051931195133,32.58392431811433,2.25093723406994,3.2583924318114326,0.5185957490362143,2.5363051931195133,hartmann_3
11,0.0,0.0303188213865059,0.777371203359379,-0.6444818306039112,-0.6444818306039112,-0.6444818306039112,0.0,False,True,0.0,ucb,0.2736255999770947,False,False,,11,5d15169b-06f9-4e3a-a494-dcdaf7030180,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.8039637080857878,3.699382772759639,36.28330709087397,2.25093723406994,3.2984824628067244,0.5185957490362143,2.5363051931195133,hartmann_3
