iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.0033679477896715,0.6524516488288785,2.6026363654825047,0.4689836211867622,1.6110232157240438,-1.0005901198454061,-1.20274266202416,True,-0.20215254217875378,logei,0.0,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-1.0005901198454061,9.048311286534384,9.048311286534384,9.048311286534384,9.048311286534384,-1.0005901198454061,9.048311286534384,michalewicz
2,0.4270040294696573,2.1646719429357737,2.644428466875382,1.3367759402838328,3.0062717024781365,-0.9041066659867205,-0.6020502086214001,True,0.3020564573653204,logei,0.0,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.9041066659867205,8.951827832675699,18.000139119210083,8.951827832675699,9.000069559605041,-0.9041066659867205,8.951827832675699,michalewicz
3,2.5928597954643946,1.0625347409922794,1.8088051076493177,2.3665676041036434,2.598423652312292,-0.4821873194693632,-0.20707797619664498,True,0.27510934327271824,logei,0.0,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,8.529908486158341,26.530047605368424,8.529908486158341,8.843349201789474,-0.4821873194693632,8.529908486158341,michalewicz
4,2.9324834426054185,0.45551426842114484,2.3423093136775615,0.43778531524264847,2.847944080472264,-0.9783677662708578,-1.0610513959065524,True,-0.08268362963569464,logei,0.0,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,9.026088932959835,35.55613653832826,8.529908486158341,8.889034134582065,-0.4821873194693632,8.529908486158341,michalewicz
5,0.7103594437025119,2.680531730054245,0.9623259560190263,3.0468119599852646,1.6268241612762053,-0.1892230366634753,0.3395324713496054,True,0.5287555080130807,logei,0.0,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.236944203352454,43.79308074168071,8.236944203352454,8.758616148336142,-0.1892230366634753,8.236944203352454,michalewicz
6,0.0,1.8898268365535815,0.0,3.141592653589793,3.141592653589793,-1.0456938927158135,-1.0682426631428608,True,-0.022548770427047282,logei,0.415820199996233,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,9.093415059404792,52.8864958010855,8.236944203352454,8.814415966847584,-0.1892230366634753,8.236944203352454,michalewicz
7,1.1068849655258406,2.657809890805801,1.317134907672791,2.9702507846528756,1.480662449596087,1.44516168565994,1.3719675714014015,True,-0.07319411425853861,logei,0.41434190003201365,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,1.44516168565994,6.602559481029038,59.48905528211454,6.602559481029038,8.498436468873505,1.44516168565994,6.602559481029038,michalewicz
8,1.4410446495350178,2.6045298745735064,1.0865878386686043,3.141592653589793,1.3048057437569598,-0.6269204059209924,-0.47675286377743,True,0.15016754214356243,logei,0.39709370001219213,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,1.44516168565994,8.674641572609971,68.16369685472452,6.602559481029038,8.520462106840565,1.44516168565994,6.602559481029038,michalewicz
9,1.0098137736409698,2.7541749859762175,1.7949938193493473,2.8109921981341612,1.4830356105811207,-0.4139381866899084,-0.27970032582999066,True,0.13423786085991773,logei,0.5557564999908209,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,1.44516168565994,8.461659353378886,76.62535620810341,6.602559481029038,8.513928467567046,1.44516168565994,6.602559481029038,michalewicz
10,0.998164878021212,2.6470126339113276,1.2365810923153058,2.95932014490002,1.5522195485944497,1.3311061115020735,1.171834274054119,True,-0.15927183744795448,logei,0.5848771999590099,False,1.3719675714014015,10,aa195459-e836-47e5-befc-39da8301ef03,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,1.44516168565994,6.716615055186905,83.34197126329032,6.602559481029038,8.334197126329032,1.44516168565994,6.602559481029038,michalewicz
