delta_verticalPosition,delta_verticalWidth,delta_horizontalWidth,delta_r,delta_g,delta_b,delta_a,delta_blinkFrequency,delta_volume,delta_l2_norm,iteration,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,auc_simple_regret_true,acquisition,objective,jitter_std,jitter_iteration,iterations,seed,run_id,error_model,oracle_model,baseline,xi,kappa,runtime_sec,y_opt,dataset,param_columns,delta_Trajectory,delta_TrajectoryAlpha,delta_TrajectorySize,delta_EgoTrajectory,delta_EgoTrajectoryAlpha,delta_EgoTrajectorySize,delta_PedestrianIntention,delta_PedestrianIntentionSize,delta_SemanticSegmentation,delta_SemanticSegmentationAlpha,delta_CarStatus,delta_CarStatusAlpha,delta_CoveredArea,delta_CoveredAreaAlpha,delta_CoveredAreaSize,delta_OccludedCars
0.0,0.0,0.0,0.0,0.0,-0.4514329321459519,-0.1615542948007992,0.0,0.0859459865831087,0.4871120969594361,10.0,5.3986944444445015,0.0,16.397465939154635,0.3279493187830927,3.1252663690479086,logei,composite,0.0,10,50,10,19682f7d-dd3a-4914-8f18-0502763a2432,none,extra_trees,True,0.01,2.0,51.172741499962285,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.17104197172416957,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.5,0.8827544143708892,20.0,5.3986944444445015,0.0,16.397465939154635,0.3279493187830927,3.1252663690479086,logei,composite,0.0,20,50,10,19682f7d-dd3a-4914-8f18-0502763a2432,none,extra_trees,True,0.01,2.0,51.172741499962285,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.1566739014692231,0.0,0.5,-0.22509189586997636,0.0,0.2639106750164223,0.5,0.0,-0.5,0.945971414671475,40.0,5.3986944444445015,0.0,16.397465939154635,0.3279493187830927,3.1252663690479086,logei,composite,0.0,40,50,10,19682f7d-dd3a-4914-8f18-0502763a2432,none,extra_trees,True,0.01,2.0,51.172741499962285,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,-0.4514329321459519,-0.1615542948007992,0.0,0.0859459865831087,0.4871120969594361,10.0,5.39983333333339,0.0,13.067774007937526,0.26135548015875054,3.1252663690479086,logei,composite,0.05,10,50,10,485243c7-d885-40f0-bbe0-6af3cef8c2e3,gaussian,extra_trees,False,0.01,2.0,41.053929100045934,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.17104197172416957,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.5,0.8827544143708892,20.0,5.39983333333339,0.0,12.748353736773314,0.25496707473546626,3.1252663690479086,logei,composite,0.05,20,50,10,7c7ff98f-615a-4e9d-b843-a7cc16800698,gaussian,extra_trees,False,0.01,2.0,43.40763629996218,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.1566739014692231,0.0,0.5,-0.22509189586997636,0.0,0.2639106750164223,0.5,0.0,-0.5,0.945971414671475,40.0,5.3986944444445015,0.0,14.698985582011769,0.2939797116402354,3.1252663690479086,logei,composite,0.05,40,50,10,87ab9809-bc96-4cac-a840-de8ae79364eb,gaussian,extra_trees,False,0.01,2.0,46.67770850006491,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,-0.4514329321459519,-0.1615542948007992,0.0,0.0859459865831087,0.4871120969594361,10.0,5.399888888888946,0.0,13.819242228837199,0.276384844576744,3.1252663690479086,logei,composite,0.5,10,50,10,79c16a67-24bf-417c-be21-c19425a8f911,gaussian,extra_trees,False,0.01,2.0,44.044678399921395,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.17104197172416957,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.5,0.8827544143708892,20.0,5.396741666666722,0.0,14.516774305556636,0.2903354861111327,3.1252663690479086,logei,composite,0.5,20,50,10,725ed6ce-bb3f-4fce-a18b-49900bc46f2e,gaussian,extra_trees,False,0.01,2.0,51.17558529996313,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.1566739014692231,0.0,0.5,-0.22509189586997636,0.0,0.2639106750164223,0.5,0.0,-0.5,0.945971414671475,40.0,5.3986944444445015,0.0,13.692990443122778,0.27385980886245553,3.1252663690479086,logei,composite,0.5,40,50,10,f5cf7dbc-3f93-4e82-bfd8-6f81c255c16e,gaussian,extra_trees,False,0.01,2.0,50.297505900030956,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,-0.4514329321459519,-0.1615542948007992,0.0,0.0859459865831087,0.4871120969594361,10.0,5.390243055555612,0.0,21.2803210474121,0.425606420948242,3.1252663690479086,logei,composite,1.0,10,50,10,fda936ce-1a76-439d-99c9-90232e88982b,gaussian,extra_trees,False,0.01,2.0,50.50109300005715,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.17104197172416957,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.5,0.8827544143708892,20.0,5.396741666666722,0.0,14.980023313493309,0.2996004662698662,3.1252663690479086,logei,composite,1.0,20,50,10,d2e6a3ff-0c47-4704-a47e-cc87bcea537e,gaussian,extra_trees,False,0.01,2.0,48.75219389994163,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
-0.1566739014692231,0.0,0.5,-0.22509189586997636,0.0,0.2639106750164223,0.5,0.0,-0.5,0.945971414671475,40.0,5.3986944444445015,0.0,18.124027347884944,0.3624805469576989,3.1252663690479086,logei,composite,1.0,40,50,10,8f527405-23d4-43ea-ae5f-50a267fc306d,gaussian,extra_trees,False,0.01,2.0,43.61912970000412,5.368851388888933,ehmi,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",,,,,,,,,,,,,,,,
