User_ID;Run;Phase;value;x0;x1
11;1;sampling;-0.7355338636356807;-380.3441123643396;-0.7394688613222797
11;2;sampling;-1.344948529724124;103.93431820631804;-482.6224554271288
11;3;sampling;-1.775327088473996;-360.5236893926851;438.4880875114184
11;4;sampling;1.7792076034180861;-439.8893300181024;-379.11147581511887
11;5;sampling;-2.1555200321544614;459.08833617077767;124.80879902349602
11;6;optimization;1.6610886943503813;-445.5298638981866;-384.51418758433937
11;7;optimization;2.5393856208335706;-455.63564861932304;-395.40403727441634
11;8;optimization;0.8309221763393687;-429.93147705393744;-383.69955387731983
11;9;optimization;2.216877817325528;-448.9774679085972;-375.7166129619609
11;10;optimization;1.5461711298294047;-449.5756850493893;-348.1096576673811
11;11;optimization;1.302150928230159;-454.546313359498;-379.1487500346885
11;12;optimization;1.5925477186306356;-455.6496980128799;-378.8349027544676
11;13;optimization;3.518357490300077;-454.7940263558419;-378.7955564814959
11;14;optimization;1.875172607874907;-454.2930951722278;-378.6563800860805
11;15;optimization;1.5686517556987924;-453.8465600517448;-378.39110529082615
11;16;optimization;1.5190133077948957;-453.2989824888737;-377.8746241366116
11;17;optimization;1.8902594285066248;-452.6879749675768;-377.1819198938792
11;18;optimization;3.5063051630163713;-455.2828987251816;-380.5160549277275
11;19;optimization;3.9175011002198588;-456.28767731395646;-381.4661773884347
11;20;optimization;4.848545240670031;-458.1212688404232;-382.9187124167845
