dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_InterventionLightingTransparency,delta_excess_AuditoryAlertVolume,delta_excess_InterventionSymbolTransparency,delta_excess_LevelOfAutonomy,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
provoice,composite,logei,extra_trees,gaussian,0.014918,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,-0.08554427155852862,4.333859664798659,0.08667719329597312,-0.8607286718139591
provoice,composite,logei,extra_trees,gaussian,0.014918,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,-0.005716819344532831,0.0,0.0,0.005716819344532831,-0.04768363142705412,2.182108425146531,0.04364216850293057,0.775274763489449
provoice,composite,logei,extra_trees,gaussian,0.074591,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.19269843326752523,-1.4359547055370996,-0.028719094110742027,3.5432236922615985
provoice,composite,logei,extra_trees,gaussian,0.074591,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,-0.03427338810924374,0.0,0.0,0.03427338810924374,0.02467521497345726,0.9605464455504986,0.01921092891100995,0.14363904177650255
provoice,composite,logei,extra_trees,gaussian,0.298364,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.10308710246868147,5.20224353695869,0.10404487073917379,1.8993521575458558
provoice,composite,logei,extra_trees,gaussian,0.298364,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.021069425857783042,0.0,0.0,0.021069425857783042,-0.10887573099415437,-3.8273208503694818,-0.07654641700738973,-1.7464681523947974
provoice,composite,logei,extra_trees,gaussian,1.49182,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.08455886243386734,5.621013344999568,0.1124202668999913,0.6173510347652211
provoice,composite,logei,extra_trees,gaussian,1.49182,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",1.0,0.31930260253748366,-0.9,0.0,1.3827343027448225,0.1310926732867559,0.8140243397433125,0.016280486794866156,2.3944071591356817
provoice,composite,qnei,extra_trees,gaussian,0.014918,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,-0.1279178491261852,-2.57794381199934,-0.051558876239986784,-2.0543198819894073
provoice,composite,qnei,extra_trees,gaussian,0.014918,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.4550307711421544,0.0,0.08474720162035204,0.0,0.4628553671166667,-0.13083002645502928,-3.5824045198567163,-0.07164809039713427,-0.6646290053900614
provoice,composite,qnei,extra_trees,gaussian,0.074591,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.04204159883326142,0.7151034891605121,0.014302069783210247,1.3725021032434697
provoice,composite,qnei,extra_trees,gaussian,0.074591,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.4550307711421544,0.0,0.08820991467782435,0.0,0.4635018788890642,-0.0017370034935819678,0.661465801794364,0.013229316035887284,1.132821274163632
provoice,composite,qnei,extra_trees,gaussian,0.298364,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,-0.07054298941799098,3.715586448942176,0.07431172897884353,1.5726183447226774
provoice,composite,qnei,extra_trees,gaussian,0.298364,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.4550307711421544,0.0,0.0802334795096484,0.0,0.46205022878519264,0.05515498236331684,-1.0708326464474567,-0.02141665292894912,1.8892975265022685
provoice,composite,qnei,extra_trees,gaussian,1.49182,0,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,-0.010114417989421698,11.006029621736921,0.22012059243473847,4.508162485989281
provoice,composite,qnei,extra_trees,gaussian,1.49182,20,9,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.0015337251951877962,0.0,0.0,0.0,0.0015337251951877962,-0.031133307279143763,0.8700790572419876,0.017401581144839806,-1.0946392210504783
provoice,composite,logei,extra_trees,gaussian,0.014918,0,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.3621929814013132,-0.07589607196788961,-0.0015179214393576945,4.947108796296437
provoice,composite,logei,extra_trees,gaussian,0.014918,20,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0491191652233367,0.0,-0.05179313076271569,0.0,0.0713808152548093,0.10997023809523432,1.9145515176244388,0.03829103035248882,-0.27455842151678667
provoice,composite,logei,extra_trees,gaussian,0.074591,0,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.38403703703704184,0.7447358640506394,0.014894717281012881,5.800864858906696
provoice,composite,logei,extra_trees,gaussian,0.074591,20,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.013027484324920124,0.0,-0.012570218390937388,0.0,0.018103196906400262,0.23224537037036685,2.5506862841048488,0.051013725682097055,1.0320622795414067
provoice,composite,logei,extra_trees,gaussian,0.298364,0,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.32514087301587313,-2.725399657958704,-0.054507993159173984,4.20465194534917
provoice,composite,logei,extra_trees,gaussian,0.298364,20,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.0307374298422165,-0.010214450385058638,0.07050625481828648,0.0,0.07759031227205591,0.3594576719576723,0.12408343993966042,0.0024816687987933017,3.562809303350999
provoice,composite,logei,extra_trees,gaussian,1.49182,0,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.43754960965867506,17.648591252976658,0.3529718250595332,10.882569810794752
provoice,composite,logei,extra_trees,gaussian,1.49182,20,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.12863279764428026,-0.10633447364229287,0.13941619555255547,0.0,0.21746331299078064,0.3723085317460344,12.170671774786932,0.2434134354957388,3.9033570877425845
provoice,composite,qnei,extra_trees,gaussian,0.014918,0,8,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,-0.18780789324814062,7.527685869702417,0.15055371739404833,1.0191375211386209
