iteration,InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.6927433679651523,0.8342354002024518,0.409966082013571,0.04483817569041881,1.0445122955747959,1.0740724907906225,True,0.029560195215826646,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.0445122955747959,1.3623104557479566,1.3623104557479566,1.3623104557479566,1.3623104557479566,1.0445122955747959,1.3623104557479566,provoice
2,0.571597257033731,0.2316208840512378,0.7468942391879241,0.34535650407583973,0.6177366622574962,0.6358165529211373,True,0.01807989066364102,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.0445122955747959,1.7890860890652562,3.151396544813213,1.3623104557479566,1.5756982724066064,1.0445122955747959,1.3623104557479566,provoice
3,0.4570096756088713,0.9783440986511578,0.8033194249948276,0.8437900452639759,1.531560978835974,1.5247429710649014,True,-0.006818007771072665,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.531560978835974,0.8752617724867784,4.026658317299991,0.8752617724867784,1.342219439099997,1.531560978835974,0.8752617724867784,provoice
4,0.5551143840748602,0.9474592263273038,0.11649323743759882,0.8891839058918612,1.6644591043173618,1.6582512683579096,True,-0.006207835959452179,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.7423636470053907,4.769021964305382,0.7423636470053907,1.1922554910763454,1.6644591043173618,0.7423636470053907,provoice
5,0.3897584833499136,0.30856611509543264,0.5809548045280248,0.9446902786527566,1.4728606913338618,1.470739568678148,True,-0.0021211226557138474,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.9339620599888907,5.702984024294272,0.7423636470053907,1.1405968048588544,1.6644591043173618,0.7423636470053907,provoice
6,0.93516556429745,1.0,0.2778000114715498,0.9847545239854796,1.5632742504409116,1.5650793019770601,True,0.0018050515361485164,qnei,0.2450468000024557,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.8435485008818409,6.546532525176113,0.7423636470053907,1.0910887541960188,1.6644591043173618,0.7423636470053907,provoice
7,0.93516556429745,1.0,0.2778000114715498,0.9847545239854796,1.5632742504409116,1.546342051811017,True,-0.0169321986298947,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.8435485008818409,7.390081026057954,0.7423636470053907,1.055725860865422,1.6644591043173618,0.7423636470053907,provoice
8,0.0,1.0,0.1,0.9628299903227663,1.648872504809995,1.6325760882958642,True,-0.01629641651413083,qnei,0.23151560001133475,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.7579502465127574,8.148031272570712,0.7423636470053907,1.018503909071339,1.6644591043173618,0.7423636470053907,provoice
9,0.0,1.0,0.1,0.9628299903227663,1.648872504809995,1.6762685667490667,True,0.027396061939071625,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.7579502465127574,8.90598151908347,0.7423636470053907,0.9895535021203856,1.6644591043173618,0.7423636470053907,provoice
10,0.0,1.0,0.1,0.8751483249810965,1.7635530603655574,1.772726511139451,True,0.009173450773893643,qnei,0.4248195999971358,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.7635530603655574,0.6432696909571951,9.549251210040666,0.6432696909571951,0.9549251210040666,1.7635530603655574,0.6432696909571951,provoice
11,0.0,1.0,0.1,0.8751483249810965,1.7635530603655574,1.77841995930742,True,0.01486689894186255,qnei,0.0,False,15,e4376eb2-0d3a-4a07-a7e7-59204498ecaf,gaussian,0.014918,0,extra_trees,composite,learned,0.00022254672400000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.7635530603655574,0.6432696909571951,10.192520900997861,0.6432696909571951,0.9265928091816238,1.7635530603655574,0.6432696909571951,provoice
