dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_x4,delta_excess_x5,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_griewank,composite,logei,gradient_boosting,gaussian,0.243653,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87427821718485,32.428711692120174,0.6485742338424032,23.982258266465138
iso_griewank,composite,logei,gradient_boosting,gaussian,0.974611,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7879846551325116,53.4788981384293,1.069577962768586,32.47523363452187
iso_griewank,composite,logei,gradient_boosting,gaussian,4.873055,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3466317607035547,144.67478117365005,2.8934956234730005,40.615476109906496
iso_griewank,composite,qnei,gradient_boosting,gaussian,0.243653,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2707874196378328,4.408303943606569,0.08816607887213124,9.689367764540108
iso_griewank,composite,qnei,gradient_boosting,gaussian,0.974611,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4727371869493786,-5.595752107162923,-0.11191504214325843,13.973689784686698
iso_griewank,composite,qnei,gradient_boosting,gaussian,4.873055,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3922043104889599,124.1288051145784,2.4825761022915676,45.891873334669626
iso_griewank,composite,ucb,gradient_boosting,gaussian,0.243653,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16755344778889336,11.049782309794054,0.22099564619588108,11.825001119762476
iso_griewank,composite,ucb,gradient_boosting,gaussian,0.974611,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798300066199217,56.115841892051535,1.1223168378410309,26.4434113995124
iso_griewank,composite,ucb,gradient_boosting,gaussian,4.873055,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249716216201406,198.40357793176702,3.968071558635341,33.72775302002897
iso_griewank,composite,ei,gradient_boosting,gaussian,0.243653,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4958203000208319,19.77827071194865,0.39556541423897285,3.886980336197368
iso_griewank,composite,ei,gradient_boosting,gaussian,0.974611,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38454944250943823,22.00052960416933,0.44001059208338633,-1.2102358977167285
iso_griewank,composite,ei,gradient_boosting,gaussian,4.873055,0,10,"x0,x1,x2,x3,x4,x5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305215120496137,107.86489815363528,2.157297963072706,31.64953532397979
