dataset,objective,acquisition,baseline,error_model,jitter_iteration,jitter_std,oracle_model,delta_l2_mean,delta_l2_std,final_simple_regret_mean,final_simple_regret_std,final_cum_regret_mean,final_cum_regret_std,final_avg_regret_mean,final_avg_regret_std,auc_simple_regret_mean,auc_simple_regret_std,runs
iso_griewank,composite,ei,False,gaussian,0,0.243653,gradient_boosting,1259.9752507252028,207.35674716903534,0.9078672044211036,0.5183939865275182,120.28070191689126,13.425175977912499,2.4056140383378253,0.26850351955825,85.92936536223432,8.138801931899776,5
iso_griewank,composite,ei,False,gaussian,0,0.974611,gradient_boosting,1259.9752507252028,207.35674716903534,1.1629352249921348,0.348814025008782,137.1768935025072,22.271926217984692,2.743537870050144,0.4454385243596938,86.8747610395416,12.247787602011277,5
iso_griewank,composite,ei,False,gaussian,0,4.873055,gradient_boosting,1259.9752507252028,207.35674716903534,2.035131313716835,0.4076104327502366,201.30066357674727,25.54921807432732,4.0260132715349455,0.5109843614865466,114.28099494651069,11.320814558751778,5
iso_griewank,composite,ei,True,none,0,0.0,gradient_boosting,1259.9752507252028,207.35674716903534,0.6336971514952987,0.4161929202680153,111.58024952098567,9.259896610932827,2.2316049904197137,0.1851979322186566,76.22331171551579,10.504041701255412,5
iso_griewank,composite,logei,False,gaussian,0,0.243653,gradient_boosting,1259.9752507252028,207.35674716903534,1.3226202804020244,0.5597907203633182,125.48395046916741,20.420926773508572,2.5096790093833485,0.4084185354701715,97.33542032599392,19.760677405371485,5
iso_griewank,composite,logei,False,gaussian,0,0.974611,gradient_boosting,1259.9752507252028,207.35674716903534,1.3369600065775264,0.7427050261708766,144.6434248840814,19.01332412843547,2.892868497681628,0.38026648256870926,97.68228382838254,15.734957482366738,5
iso_griewank,composite,logei,False,gaussian,0,4.873055,gradient_boosting,1259.9752507252028,207.35674716903534,2.202865275879415,0.4853015453207038,212.99050322616458,43.16814125737672,4.2598100645232915,0.8633628251475346,114.76643606633316,16.63213346804269,5
iso_griewank,composite,logei,True,none,0,0.0,gradient_boosting,1259.9752507252028,207.35674716903534,0.6498275551389774,0.4490352223333733,106.5698676928278,15.178633853824621,2.1313973538565563,0.3035726770764924,79.23792950464255,14.622147344128985,5
iso_griewank,composite,qnei,False,gaussian,0,0.243653,gradient_boosting,1259.9752507252028,207.35674716903534,0.841192513907723,0.4238850977315673,120.23690748329773,17.600064570361457,2.404738149665955,0.352001291407229,76.05520139673408,12.24551864536142,5
iso_griewank,composite,qnei,False,gaussian,0,0.974611,gradient_boosting,1259.9752507252028,207.35674716903534,1.1617022449395393,0.6082219818241882,136.45869968288693,17.488949516018398,2.7291739936577386,0.34977899032036763,83.49159442835843,21.341697467239385,5
iso_griewank,composite,qnei,False,gaussian,0,4.873055,gradient_boosting,1259.9752507252028,207.35674716903534,1.8014157887133007,0.5181804743989145,197.95655908860414,41.937209881693164,3.959131181772082,0.8387441976338631,106.57878043717123,19.292197316380072,5
iso_griewank,composite,qnei,True,none,0,0.0,gradient_boosting,1259.9752507252028,207.35674716903534,1.020598991716047,0.41915425431653214,133.12302935579783,11.637590547189717,2.6624605871159566,0.23275181094379419,81.69762162811568,14.359152454391378,5
iso_griewank,composite,random,False,gaussian,0,0.243653,gradient_boosting,1259.9752507252028,207.35674716903534,1.5811216838059559,0.6519178972904273,178.9889565630162,16.975431261081905,3.5797791312603238,0.3395086252216381,90.74894217106423,27.942205500669438,5
iso_griewank,composite,random,False,gaussian,0,0.974611,gradient_boosting,1259.9752507252028,207.35674716903534,1.5811216838059559,0.6519178972904273,178.9889565630162,16.975431261081905,3.5797791312603238,0.3395086252216381,90.74894217106423,27.942205500669438,5
iso_griewank,composite,random,False,gaussian,0,4.873055,gradient_boosting,1259.9752507252028,207.35674716903534,1.5811216838059559,0.6519178972904273,178.9889565630162,16.975431261081905,3.5797791312603238,0.3395086252216381,90.74894217106423,27.942205500669438,5
iso_griewank,composite,random,True,none,0,0.0,gradient_boosting,1259.9752507252028,207.35674716903534,1.5811216838059559,0.6519178972904273,178.9889565630162,16.975431261081905,3.5797791312603238,0.3395086252216381,90.74894217106423,27.942205500669438,5
iso_griewank,composite,sobol,False,gaussian,0,0.243653,gradient_boosting,1259.9752507252028,207.35674716903534,1.7528530035353047,0.6459930041560225,181.35834760298377,16.283899929700716,3.627166952059676,0.3256779985940143,102.24380551542268,17.611010179646637,5
iso_griewank,composite,sobol,False,gaussian,0,0.974611,gradient_boosting,1259.9752507252028,207.35674716903534,1.7528530035353047,0.6459930041560225,181.35834760298377,16.283899929700716,3.627166952059676,0.3256779985940143,102.24380551542268,17.611010179646637,5
iso_griewank,composite,sobol,False,gaussian,0,4.873055,gradient_boosting,1259.9752507252028,207.35674716903534,1.7528530035353047,0.6459930041560225,181.35834760298377,16.283899929700716,3.627166952059676,0.3256779985940143,102.24380551542268,17.611010179646637,5
iso_griewank,composite,sobol,True,none,0,0.0,gradient_boosting,1259.9752507252028,207.35674716903534,1.7528530035353047,0.6459930041560225,181.35834760298377,16.283899929700716,3.627166952059676,0.3256779985940143,102.24380551542268,17.611010179646637,5
iso_griewank,composite,ucb,False,gaussian,0,0.243653,gradient_boosting,1259.9752507252028,207.35674716903534,0.7312526202276263,0.4572416968691273,132.0077883998434,28.411294146587043,2.6401557679968684,0.5682258829317409,85.01204873781587,10.53564124548153,5
iso_griewank,composite,ucb,False,gaussian,0,0.974611,gradient_boosting,1259.9752507252028,207.35674716903534,1.3404092366761569,0.2869305970938424,161.19860328501312,20.811104483316488,3.223972065700262,0.4162220896663299,89.97104778284536,10.401043209652686,5
iso_griewank,composite,ucb,False,gaussian,0,4.873055,gradient_boosting,1259.9752507252028,207.35674716903534,1.9255441681244225,0.6743753964634307,212.22742975663778,60.86763634966047,4.244548595132755,1.2173527269932092,104.547520814291,25.247466712034406,5
iso_griewank,composite,ucb,True,none,0,0.0,gradient_boosting,1259.9752507252028,207.35674716903534,0.5122434028283911,0.45355607963816724,107.7833339240774,14.896620019261933,2.155666678481548,0.2979324003852387,65.22211212530854,13.531972579148128,5
