iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.7339685059847834,0.9010628369925916,1.8948457972282609,2.4426953628177106,2.2496147957845927,0.595848047753563,0.595848047753563,0.595848047753563,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.451873118935415,7.451873118935415,7.451873118935415,7.451873118935415,0.595848047753563,7.451873118935415,michalewicz
2,2.8757514617751183,2.703006367468264,2.8847285896693013,0.08352783127899953,1.3736551050036934,-0.7394675715316239,-0.7394675715316239,0.19303114101745533,4.695668100534276,True,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,8.787188738220602,16.239061857156017,7.451873118935415,8.119530928578008,0.595848047753563,7.451873118935415,michalewicz
3,1.5234975350318947,0.20468794780846922,0.017674759483104676,2.6094742043030985,3.089135106907805,-1.0527126446734347,-1.0527126446734347,-1.0527126446734347,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,9.100433811362413,25.33949566851843,7.451873118935415,8.446498556172811,0.595848047753563,7.451873118935415,michalewicz
4,2.46492454909066,0.9914976055630428,2.215871184667501,0.939905061652722,2.327129991960237,1.006504808815746,1.006504808815746,1.006504808815746,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.041216357873232,32.38071202639166,7.041216357873232,8.095178006597916,1.006504808815746,7.041216357873232,michalewicz
5,0.8788518104233879,2.4585818703609696,3.1030790740952976,3.0983597811058523,2.7735945546061833,-1.0537215195984087,-1.0537215195984087,-1.0537215195984087,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101442686287387,41.48215471267905,7.041216357873232,8.29643094253581,1.006504808815746,7.041216357873232,michalewicz
6,2.8676773528072754,2.224897638568024,1.74200331604952,2.9004383719868096,0.2818975587911913,-0.8496934850369796,-0.8496934850369796,-0.8496934850369796,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.897414651725958,50.37956936440501,7.041216357873232,8.396594894067501,1.006504808815746,7.041216357873232,michalewicz
7,1.1628025430736864,1.903613333452661,1.500832734559952,2.4908364927108666,0.6128819805691004,0.15704192749359405,0.15704192749359405,0.15704192749359405,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.890679239195384,58.27024860360039,7.041216357873232,8.32432122908577,1.006504808815746,7.041216357873232,michalewicz
8,0.19557513014446096,0.3974692987288089,3.024667554187296,0.4171235107437632,0.7103088442330793,0.021407742205544675,0.021407742205544675,-1.0521648781089095,3.5511266898522735,True,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.026313424483433,66.29656202808383,7.041216357873232,8.287070253510478,1.006504808815746,7.041216357873232,michalewicz
9,1.1845575249852844,1.9585368485251353,2.4570274585116842,0.24708278687853785,2.9255687415418286,-1.02785953206131,-1.02785953206131,-1.02785953206131,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.075580698750288,75.37214272683411,7.041216357873232,8.37468252520379,1.006504808815746,7.041216357873232,michalewicz
10,2.396380877433238,1.008338514308611,0.5948040813250504,1.8722412141573657,1.8682713059628904,0.6106235524019539,0.6106235524019539,0.6106235524019539,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.437097614287024,82.80924034112114,7.041216357873232,8.280924034112115,1.006504808815746,7.041216357873232,michalewicz
11,0.8402766311695523,0.5321632170687045,2.4079279053167806,2.113271631759251,2.5140574813014784,-1.0533248929977974,-1.0533248929977974,-1.0533248929977974,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101046059686777,91.91028640080792,7.041216357873232,8.355480581891628,1.006504808815746,7.041216357873232,michalewicz
12,0.6898205207581296,2.2720266034418026,0.23437761798505113,0.0230529894856115,0.5637101877083672,0.04637055149060923,0.04637055149060923,-1.0539377057494133,3.005376361714554,True,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.001350615198369,99.9116370160063,7.041216357873232,8.325969751333858,1.006504808815746,7.041216357873232,michalewicz
13,2.4568595133396407,1.6966782596649668,1.9374359240293095,1.861476069065861,1.9976857681423468,-1.053930702886027,-1.053930702886027,1.0023857740560531,2.4103107557533217,True,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101651869575004,109.0132888855813,7.041216357873232,8.385637606583177,1.006504808815746,7.041216357873232,michalewicz
14,1.0144384719629782,2.263842133690969,0.046076242014224764,1.185070963945692,0.17173170893915446,0.06357923156290737,0.06357923156290737,0.06357923156290737,0.0,False,True,0.0,random,0.0,False,9,21bccbbd-91a1-482d-8398-48ba85495a78,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.984141935126071,116.99743082070738,7.041216357873232,8.356959344336241,1.006504808815746,7.041216357873232,michalewicz
