predictor,group,stratum,n_runs,n_landscapes,predictor_mean,pm_gain_over_opt_z,share_pm_better,share_pm_worse
sobol_r2,classical,low,105,13,-1.618186311019883,0.01186767328418317,0.44761904761904764,0.3047619047619048
sobol_r2,classical,mid,96,13,-0.20408329392000957,-0.04145248258211375,0.3854166666666667,0.3645833333333333
sobol_r2,classical,high,59,10,0.3112613654508418,0.03402320891387373,0.6101694915254238,0.23728813559322035
sobol_r2,law,low,25,6,-1.690370484188754,0.11477019401380399,0.68,0.2
sobol_r2,law,mid,28,5,-0.22261723889361468,0.04561890558748556,0.5357142857142857,0.25
sobol_r2,law,high,67,6,0.42912134780639444,0.05102790717653311,0.47761194029850745,0.208955223880597
sobol_r2,other,low,4,1,-1.0906546764655887,0.03738260537286192,0.5,0.25
sobol_r2,other,mid,9,1,-0.14254981908461717,-0.003483271410137693,0.5555555555555556,0.2222222222222222
sobol_r2,other,high,7,1,0.1303254513192161,-0.11428677603193327,0.42857142857142855,0.5714285714285714
visited_r2_pm,classical,low,96,12,0.15991312925432963,-0.03976090244026862,0.4270833333333333,0.40625
visited_r2_pm,classical,mid,91,12,0.6678882322772142,0.0045178191680836435,0.4945054945054945,0.32967032967032966
visited_r2_pm,classical,high,73,10,0.9095692544739551,0.036711805244452576,0.4657534246575342,0.1643835616438356
visited_r2_pm,law,low,22,5,-0.04800400765911352,0.024262312682549938,0.5,0.4090909090909091
visited_r2_pm,law,mid,38,5,0.6651644693650896,0.06148670786712689,0.5263157894736842,0.21052631578947367
visited_r2_pm,law,high,60,6,0.8821321607736556,0.07825313682759155,0.55,0.15
visited_r2_pm,other,low,16,1,0.29645761844307417,-0.0159901550570847,0.5625,0.25
visited_r2_pm,other,mid,4,1,0.7047230495868575,-0.10649599312749228,0.25,0.75
loo_lpd_frac_achievable,classical,low,114,11,0.3432587081235675,-0.03026846631245995,0.38596491228070173,0.38596491228070173
loo_lpd_frac_achievable,classical,mid,84,13,0.687334808415392,0.011390684803613708,0.5119047619047619,0.2976190476190476
loo_lpd_frac_achievable,classical,high,62,12,1.0024117960364956,0.02851329562889913,0.532258064516129,0.1935483870967742
loo_lpd_frac_achievable,law,low,9,4,-1.2952547285368192,0.06017962099807285,0.5555555555555556,0.2222222222222222
loo_lpd_frac_achievable,law,mid,45,6,0.718927191902636,0.07325202622234706,0.5111111111111111,0.24444444444444444
loo_lpd_frac_achievable,law,high,66,6,0.9392607071982007,0.05647721543385064,0.5454545454545454,0.19696969696969696
loo_lpd_frac_achievable,other,low,11,1,0.4213563492071089,-0.05696179597606303,0.45454545454545453,0.36363636363636365
loo_lpd_frac_achievable,other,mid,4,1,0.6863748959991719,-0.04438767213972615,0.25,0.5
loo_lpd_frac_achievable,other,high,5,1,0.8860357468039657,0.024460798174454713,0.8,0.2
