landscape,group,acquisition,seed,condition,file,dim,n_train,opt_z,injected_sd,realized_noise_sd,gp_fit_ok,gp_n_warnings,gp_kernel,noise_sd_fit,noise_sd_ratio,noise_var_standardised,target_stdv,outputscale,ls_geomean,ls_min,ls_max,ls_median,n_ls_above_1,loo_lpd,loo_lpd_trivial,loo_lpd_gain,loo_lpd_oracle,loo_lpd_frac_achievable,loo_lpd_true_latent,loo_mean_z2,loo_cov95,loo_rmse_rating,loo_rmse_true,visited_rmse_pm,visited_rmse_obs,visited_shrink_ratio,visited_r2_pm,visited_spearman_pm,visited_spearman_obs,visited_true_sd,rank_best_visited_under_pm,rank_best_visited_under_obs,pm_bias_at_best_visited,pm_mean_bias,sobol_rmse,sobol_r2,sobol_spearman,sobol_cov95,sobol_mean_post_sd,sobol_true_sd,regret_pm,regret_best_observed,regret_best_visited,pm_gain_over_opt_z,idx_pm,idx_best_observed,idx_best_visited,log_final_simple_regret_true,log_final_inference_regret_true,check_posterior_mean_err,check_posterior_var_err,check_oracle_err
ackley,classical,logei,7,clean,ackley/bo_sensor_error_ackley_value_logei_seed7_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.9944255926947093,,0.022722610461227085,6.596949828669883,,0.11548894805586292,0.09225695726726502,0.14354312696702157,0.11725078081907156,0,-2.2556198118613544,-3.320308229398208,1.0646884175368534,,,-3.3589200150700207,0.5204471514942054,0.96,1.3678425124497458,1.3678425124497458,0.5959574383498303,0.0,,0.9916724346132579,0.9936614645858344,0.9999999999999999,6.530647142599871,4,1,-2.7789359908017985,2.209706194827854e-08,1.108904622294805,-1.502775332334826,0.0888962005035477,1.0,6.480091353316068,0.7009439003338509,3.493413619271937,1.2282336793654665,1.2282336793654665,-0.11268180050766899,48,43,43,1.2282336793654665,1.2282336793654665,9.155160204058417e-15,1.6709565899541718e-15,0.0
ackley,classical,logei,8,clean,ackley/bo_sensor_error_ackley_value_logei_seed8_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.6960547251097056,,0.011916109961434641,6.376408541686523,,0.12143308884061335,0.09289055345352888,0.1441905556209827,0.12779483288707635,0,-1.8283946448964246,-3.2859436627883825,1.457549017891958,,,-2.681259490167313,0.5918782659732358,0.96,0.9049079112774989,0.9049079112774989,0.42843867481572995,0.0,,0.9953932039134455,0.9929891956782712,0.9999999999999999,6.312322407219311,6,1,-1.722624922985947,-1.7195290498150938e-07,0.8558648412865449,-0.4908839877536546,-0.08227497711146714,1.0,6.259056092828946,0.7009439003338509,3.2312360594964815,2.2510406890171524,2.2510406890171524,-0.048760002350829994,45,39,39,2.2510406890171524,2.2510406890171524,1.5879211500308546e-14,1.112719177576068e-15,0.0
ackley,classical,logei,9,clean,ackley/bo_sensor_error_ackley_value_logei_seed9_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.23335627079595592,,0.0016828845326216047,5.688428667071605,,0.09491636618676322,0.08720809965059284,0.10829933884214048,0.09284546671382246,0,-1.8579005775399826,-3.1744382953251056,1.316537717785123,,,-1.9025465523894747,0.38648514385860644,1.0,1.366903647999697,1.366903647999697,0.06611926652481133,0.0,,0.9998621377551633,0.9998079231692677,0.9999999999999999,5.6312570786952,1,1,-0.19168064586951417,-1.0674626059470338e-07,1.2107979781782396,-1.9838490753324693,-0.06115243762874798,1.0,5.6374868442633534,0.7009439003338509,3.8634309883324427,3.8634309883324427,3.8634309883324427,0.0,26,26,26,3.8634309883324427,3.8634309883324427,1.0617366600590662e-14,8.882101032725254e-16,0.0
ackley,classical,logei,10,clean,ackley/bo_sensor_error_ackley_value_logei_seed10_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.6964085867487905,,0.017051185599125853,5.333187180631436,,0.12323053064481775,0.11713340001950613,0.13083145403313456,0.12267335028731807,0,-2.1917539513919495,-3.1204317935797063,0.9286778421877568,,,-2.3375472918840274,0.38406130711050496,1.0,1.0706229880859433,1.0706229880859433,0.2796858588911764,0.0,,0.9971936535242418,0.9998079231692677,0.9999999999999999,5.279585949066314,1,1,-1.1229168195310137,5.458873736097214e-08,0.7383762719619487,-0.10965747319657537,-0.08692635614557105,1.0,5.16842716969656,0.7009439003338509,3.3960117771815916,3.3960117771815916,3.3960117771815916,0.0,38,38,38,3.3960117771815916,3.3960117771815916,4.66306448832705e-15,8.860585771354185e-16,0.0
ackley,classical,logei,11,clean,ackley/bo_sensor_error_ackley_value_logei_seed11_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.391418613397285,,0.0076815220578565074,4.465990892933499,,0.16945501637136537,0.15119049456349437,0.21638368777109293,0.15887651136465913,0,-1.234762035198974,-2.9409441554469864,1.7061821202480123,,,-1.4459529929543202,0.7613917641513812,0.98,0.7708160600775926,0.7708160600775926,0.23825538483028316,0.0,,0.9970958188117816,0.9896278511404561,0.9999999999999999,4.4211054231548985,1,1,-0.41513224711183483,-4.451949499661989e-07,0.9025188677387351,-0.6578531472833724,-0.07467598420691232,1.0,4.161811482694345,0.7009439003338509,5.574725255947088,5.574725255947088,5.574725255947088,0.0,49,49,49,5.574725255947088,5.574725255947088,1.1932560199871648e-14,1.443437605734393e-15,0.0
ackley,classical,logei,12,clean,ackley/bo_sensor_error_ackley_value_logei_seed12_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,1.472531173705999,,0.05596757997669401,6.224381931800171,,0.2086429516955257,0.1616226092488575,0.2972693747541115,0.2003218073584169,0,-2.205595196549807,-3.2624308962334134,1.0568356996836066,,,-3.149382712065561,0.5711185447920902,0.96,1.8300839501195498,1.8300839501195498,0.8309054777665441,0.0,,0.9818161976679239,0.9854021608643457,0.9999999999999999,6.161823741739293,10,1,-2.805061597358854,0.00013396737680043458,1.6231005405696652,-4.361969300214232,0.04958514534218356,1.0,5.461429261036745,0.7009439003338509,6.6040908306122965,3.701257262429227,3.701257262429227,-0.1444019997150758,32,28,28,3.701257262429227,3.701257262429227,4.566189822831788e-15,7.851783676353217e-16,0.0
ackley,classical,logei,13,clean,ackley/bo_sensor_error_ackley_value_logei_seed13_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,1.1826664516126648,,0.03915860644490622,5.9765239399660315,,0.1582726730744543,0.14190522568851832,0.17968789806003038,0.15697401041994274,0,-2.222228523149377,-3.2266686718380693,1.0044401486886922,,,-3.1797663870676627,0.5642758487828402,0.98,1.2532849555832326,1.2532849555832326,0.7513127456173586,0.0,,0.9838743172918203,0.9996158463385355,0.9999999999999999,5.916456848223213,2,1,-4.475428660511483,-4.3048742195850307e-07,0.9890494955497285,-0.9909920683019162,-0.333778467612726,1.0,5.625237610506723,0.7009439003338509,3.8392694941083967,1.0511872183951887,1.0511872183951887,-0.13869367517171963,45,34,34,1.0511872183951887,1.0511872183951887,7.727782618849346e-15,1.0008494953726912e-15,0.0
ackley,classical,logei,14,clean,ackley/bo_sensor_error_ackley_value_logei_seed14_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.858889561992296,,0.02066209570101361,5.975168273599136,,0.1282738798135938,0.11391738234745188,0.15060692224021752,0.1261292038624754,0,-2.2241872651006362,-3.2262483410475755,1.0020610759469393,,,-2.667999854387893,0.49808305671892,0.96,1.1123159164251248,1.1123159164251248,0.4443924537904834,0.0,,0.9943557402147238,0.9988475390156061,0.9999999999999999,5.915114806989731,3,1,-1.9089725474394985,-9.6732602949956e-09,0.8192059123366872,-0.36590229382871775,-0.1135399977111467,1.0,5.795307857583482,0.7009439003338509,3.6403774281603347,2.788677770433882,2.788677770433882,-0.04236795904538372,49,32,32,2.788677770433882,2.788677770433882,8.62140545400534e-15,7.743000654707955e-16,0.0
ackley,classical,logei,15,clean,ackley/bo_sensor_error_ackley_value_logei_seed15_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.5663431428875875,,0.0106699034685605,5.482762092139227,,0.14137903994048853,0.10017554491037226,0.17723509599625809,0.15085971721026567,0,-2.0331406329241664,-3.1422046670080572,1.1090640340838909,,,-2.3985168380269015,0.3963276609351704,0.98,0.9722565490617189,0.9722565490617189,0.25086788485171485,0.0,,0.9978636851576818,0.9985594237695078,0.9999999999999999,5.427657556977866,5,1,-1.3872724383209452,1.4466688300629471e-08,0.743634942390669,-0.12551958190280343,0.02841897459372854,1.0,5.221290385619044,0.7009439003338509,5.449170367653588,4.356472090439187,4.356472090439187,-0.05435648052455853,46,26,26,4.356472090439187,4.356472090439187,8.423724584114912e-15,9.990303831205994e-16,0.0
ackley,classical,logei,16,clean,ackley/bo_sensor_error_ackley_value_logei_seed16_baseline_exact.csv,4,50,20.102447153853433,0.0,0.0,True,0,RBFKernel,0.39383325827073196,,0.008649081063280214,4.23474637280198,,0.1411491959017241,0.1085750955775474,0.163991133153752,0.14993584089873008,0,-1.6022965240788483,-2.8895664590646324,1.2872699349857841,,,-1.7501864103972438,0.626921741217823,0.96,0.9455467370527069,0.9455467370527069,0.18711459522075014,0.0,,0.9980077930823437,0.99875150060024,0.9999999999999999,4.192185027538781,1,1,-0.9953942834757221,2.691398532150835e-08,0.7982528736346745,-0.29692379846055905,-0.23259613183794914,1.0,4.097689058590107,0.7009439003338509,6.043361556375441,6.043361556375441,6.043361556375441,0.0,35,35,35,6.043361556375441,6.043361556375441,1.0486795920111378e-14,1.109722993537979e-15,0.0
