estimand,rule,reference,error_model,group,cell,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,bootstrap_draws_kept,recovered_lo,recovered_hi,wilcoxon_p,recovered_cond_lo,recovered_cond_hi,n_landscapes_rule_better,n_landscapes_rule_worse,n_runs,share_runs_same_design,share_runs_rule_better,share_runs_rule_worse,wilcoxon_p_fdr
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,0.05,0.0,20,8000.0,0.014654301833373243,-0.014472279817446008,0.01620334850586961,-0.9875789363425895,1.0,-2.101669331320015,-0.26564578052133997,0.3117942810058594,-2.9015951093770807,-0.45172413725015315,11.0,9.0,8000.0,0.30025,0.2665,0.3065,0.6235885620117188
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,0.05,20.0,20,8000.0,0.0077518308148836175,-0.015209008191283558,0.01620334850586961,-1.961989180940593,1.0,-4.893063196331473,-0.5191116435892512,0.3117942810058594,-4.920431548148337,-0.9866744876286256,11.0,9.0,8000.0,0.3255,0.251125,0.307875,0.6235885620117188
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,0.25,0.0,20,8000.0,0.09050316371236106,-0.006411933275273421,0.01620334850586961,-0.07084761473810965,1.0,-0.22790999860888195,0.03569840141047229,0.8694877624511719,-0.17783457341062311,-0.01674930449461228,13.0,7.0,8000.0,0.206125,0.372625,0.33775,0.8694877624511719
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,0.25,20.0,20,8000.0,0.04076714486045973,-0.009678511913172348,0.01620334850586961,-0.23740960879896172,1.0,-0.5820365576228284,0.01978261297651585,0.8123550415039062,-0.4000621065172866,-0.1300756215057026,13.0,7.0,8000.0,0.220625,0.33725,0.33875,0.8694877624511719
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,1.0,0.0,20,8000.0,0.2969794613530121,0.007194283141098309,0.01620334850586961,0.024224850797162176,1.0,-0.02016543440553455,0.061174127339638916,0.20244979858398438,0.002139523500947728,0.052967396316138775,14.0,6.0,8000.0,0.14475,0.437375,0.375375,0.6235885620117188
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,1.0,20.0,20,8000.0,0.13606242487967404,-0.0068790059550928,0.01620334850586961,-0.050557719819973854,1.0,-0.11874233939669156,0.020006263450672815,0.5216732025146484,-0.09966122210740415,0.004804103299028243,9.0,11.0,8000.0,0.1625,0.36,0.379625,0.8346771240234375
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,5.0,0.0,20,8000.0,0.7109222754180802,0.003746672087846914,0.01620334850586961,0.005270157114775404,1.0,-0.021140199744531445,0.03440839864031464,0.7285060882568359,-0.02470129217338624,0.0352250156722412,9.0,11.0,8000.0,0.122125,0.412,0.43125,0.8694877624511719
share_of_deployed_cost,pm,best_observed,pooled,all20,condition,5.0,20.0,20,8000.0,0.4442785040156673,-0.05186107237076796,0.01620334850586961,-0.11673099621524587,1.0,-0.14491676714249663,-0.08282790667941016,0.000133514404296875,-0.18802244690047037,-0.05672304391330751,3.0,17.0,8000.0,0.148,0.3145,0.44075,0.001068115234375
share_of_deployed_cost,pm,best_observed,pooled,all20,both_onsets,0.05,,20,16000.0,0.011203066324128434,-0.014840644004364781,0.01620334850586961,-1.3246948268441445,1.0,-2.872623598639841,-0.3547362057743409,0.3117942810058594,-3.276624081389298,-0.6483974995767392,11.0,9.0,16000.0,0.312875,0.2588125,0.3071875,
share_of_deployed_cost,pm,best_observed,pooled,all20,both_onsets,0.25,,20,16000.0,0.0656351542864104,-0.008045222594222884,0.01620334850586961,-0.12257490184476687,1.0,-0.33612913339139805,0.03021183023266757,0.956329345703125,-0.24961007818279343,-0.05260734325126797,13.0,7.0,16000.0,0.213375,0.3549375,0.33825,
