landscape,group,error_model,jitter_std,jitter_iteration,headline_cell,opt_z,n_runs,n_acquisitions,n_seeds,deployed,deployed_lo,deployed_hi,search_traj,search_traj_lo,search_traj_hi,search_final,search_final_lo,search_final_hi,selection,selection_lo,selection_hi,selection_share,selection_share_lo,selection_share_hi,deployed_over_search_traj
ackley,classical,pooled,0.05,0,False,20.102447153853433,400,10,10,0.006673606090651862,-0.04805850333602068,0.06633584681032087,0.0031473552746374657,-0.04156059884380606,0.04584980089437081,0.006581589921419625,-0.057294364371279695,0.06924095674968726,9.201616923223799e-05,2.5966488489150512e-05,0.0001973023211916562,0.013788073191963008,,,2.1203853738502954
branin,classical,pooled,0.05,0,False,1.2500554659000687,400,10,10,0.0209047367852844,0.011556501329613153,0.03451009986747322,0.010354325381898235,0.0035422844126068616,0.020587983174241868,0.010463599334999234,0.002830393807833998,0.02251379911347022,0.010441137450285165,0.007269855300973725,0.014812311738073423,0.4994627560981805,0.3204829466402606,0.766669823915176,2.0189375950876274
eggholder,classical,pooled,0.05,0,False,3.2050455310550587,400,10,10,0.030642723805097725,-0.006928941812184026,0.07361464509333153,0.006610660720655288,-0.02098524389377588,0.036963887342885804,0.027478519426944122,-0.009565887106397941,0.06930585247944329,0.0031642043781535977,0.00236651356744341,0.004168822633025666,0.1032611982629038,,,4.635349642034002
griewank,classical,pooled,0.05,0,False,2.7538558156589708,400,10,10,0.019339209927126077,0.009620190812364876,0.032430148464846625,0.016350753566176754,0.0015971698188143718,0.03215246031053619,0.01383661009482994,0.005223747642797826,0.02651119804350197,0.005502599832296135,0.0043416060584013545,0.007003671908886387,0.28453074624201335,0.18551746603477184,0.49620043402220576,1.1827717816707395
hartmann_3,classical,pooled,0.05,0,False,3.0549009421557276,400,10,10,0.017266019082180565,0.005040401792982602,0.040923951150462,0.016023355348697157,-0.00033337605157956297,0.0423313088077794,0.01395962385815681,0.0018712178926284307,0.03692837933518943,0.003306395224023751,0.002729595095945562,0.0038684141617513924,0.19149725297339235,0.082016418420896,0.628919135630872,1.0775532781019206
hartmann_6,classical,pooled,0.05,0,False,7.967163963291937,400,10,10,0.02869117008933162,0.0008817230320854455,0.06413868044405507,0.042120694915063615,0.000981945050962251,0.08429697875215561,0.027187879095908526,-0.0006797397095866556,0.06367759773637394,0.0015032909934230814,0.0011635066780159682,0.0018712847901552765,0.052395597277576964,0.02114321667292273,0.31359381998451824,0.6811656395315264
hicks_law,law,pooled,0.05,0,False,5.402837764670362,400,10,10,-0.001487280676399113,-0.012828661118762835,0.01234422710800872,0.004085417989566898,-0.007421060321332257,0.01960165160778272,-0.001492580655952504,-0.013931629536209522,0.012146208020367616,5.299979553390861e-06,0.0,2.4919007346472924e-05,,,,-0.3640461466114957
levy_10,classical,pooled,0.05,0,False,2.6244803317786123,400,10,10,0.02121614342809955,-0.010149900781592643,0.03889170465384759,0.004874004605856384,-0.012059841731094013,0.0214922867152483,0.014281447487291585,-0.01489871271587441,0.032823327726766216,0.006934695940807966,0.004904593277396571,0.00919004634586882,0.32685940139447606,,,4.352918214850924
michalewicz,classical,pooled,0.05,0,False,8.047721166688978,400,10,10,0.010088606006899347,-0.04399223916684942,0.062336304736141664,0.004187443529756736,-0.026416820666976926,0.04018414336382788,0.009204197308307929,-0.04358808087054968,0.06792900582188176,0.0008844086985914176,0.00040264837873803044,0.0014761716172489573,0.08766411315761488,,,2.409251834731114
moving_peaks,other,pooled,0.05,0,False,2.9574997815819173,400,10,10,0.009776074894856483,-0.012156028131422334,0.03108418402188479,0.0026553896943692697,-0.01807268616068055,0.022506365302354336,0.004651918458034063,-0.016137272144880532,0.025840931357782922,0.005124156436822419,0.003730009318600171,0.006598923586446389,0.5241527394106205,,,3.6815970610967432
powell,classical,pooled,0.05,0,False,0.7642238834584598,400,10,10,0.024411013954456887,0.016322054177384953,0.03659707669554944,0.008585730231162058,0.0010744927908573692,0.02086123298198874,0.008252477002256458,0.0009716788714827212,0.02144573280592108,0.01615853695220043,0.013139065335351217,0.0198443204551748,0.661936328509216,0.4041374849790219,0.9443744407296081,2.8432076593621223
power_law_practice,law,pooled,0.05,0,False,1.7175746997911816,400,10,10,0.012139911083701849,0.002261108417425697,0.037207657544762324,0.011850578637716637,0.0004117389869308529,0.03275209821310854,0.00925636817224825,2.7260332008479286e-05,0.0364556186190934,0.002883542911453598,0.0010538301619075021,0.005187455347730841,0.23752586749377683,0.058758274391612,0.990659550221951,1.0244150479761687
rastrigin,classical,pooled,0.05,0,False,3.638939073438052,400,10,10,0.0009443545610998628,-0.033868772279921834,0.03609453822375593,0.0024124666549363333,-0.02596655135537091,0.029992856578230087,-0.0008627023854084714,-0.035069623287736544,0.03174212246500685,0.0018070569465083364,0.0008546159894383668,0.002877698476527749,1.9135365263696178,,,0.3914477156264715
rosenbrock,classical,pooled,0.05,0,False,1.0256232505714238,400,10,10,0.016923177939387146,0.011576339201293947,0.025366747802693775,0.005153770731868421,0.0006673715613965516,0.012898491769217335,0.004748825183386711,0.0006661475619924247,0.01231528974952102,0.01217435275600043,0.009258108868473586,0.015161434753981101,0.7193892778061347,0.49727358545529887,0.9388537243122549,3.283649743040064
schwefel,classical,pooled,0.05,0,False,4.328390371778852,400,10,10,0.02296835366939557,-0.008467563480160218,0.055619417457493166,0.014437840023452705,-0.00687330825864563,0.0329758374178167,0.02102946363260264,-0.011979402983017036,0.05457882002674853,0.0019388900367929376,0.0011653217480228184,0.0027589118480925347,0.08441571671618904,,,1.5908441728185083
shekel,classical,pooled,0.05,0,False,56.774074038018384,400,10,10,0.010316422796963542,-0.04161873883499406,0.07307815475989725,0.003044866977664928,-0.014191182929536465,0.023759824080380285,0.010241130460436154,-0.03845144588906569,0.0686440948946141,7.529233652739206e-05,3.277564884639662e-05,0.00012575122074320836,0.00729829883955057,,,3.3881357946464656
steering_law,law,pooled,0.05,0,False,1.290375177799024,400,10,10,0.016595087650455188,0.007417773238861909,0.034017898810555114,0.01095920415109578,0.0013038639505366643,0.02440216099925968,0.009583886507113093,0.0011285142171756253,0.024023158213681055,0.0070112011433420916,0.005368867107399543,0.009018924278092009,0.4224865388493312,0.2360122888688852,0.8217492333649999,1.5142602894933654
stevens,law,pooled,0.05,0,False,3.0593887562558817,400,10,10,0.00026499942704207995,-0.001039959393798915,0.0012454609939004456,0.0021664982556074703,-0.0019372044084532596,0.006689000458679283,-0.00021147739770951545,-0.0012793814916612942,0.0003198330224025834,0.00047647682475159534,4.201370187187457e-05,0.0012140348750363233,1.7980296413091277,,,0.12231693533848521
weber_fechner,law,pooled,0.05,0,False,2.153305282720616,400,10,10,0.024935674550392636,0.008558583401396367,0.05047405335947691,0.022928087940220894,0.007558244322023308,0.047148141651869764,0.019185998199250397,0.0038316628952254446,0.04417504782212246,0.005749676351142231,0.003823964906093137,0.007745325107867888,0.23058034141096445,0.12608643853485116,0.5737027961478779,1.0875601408807403
yerkes_dodson,law,pooled,0.05,0,False,3.5354125437868587,400,10,10,0.0004760316014415882,-0.05439103958812942,0.03817245193983527,-0.0022733015215816487,-0.04317239639539559,0.030614626520201447,-0.003952631713354346,-0.05887551054285503,0.037561221865326774,0.0044286633147959335,0.0036511165215963467,0.005326667072561997,9.303296884879934,,,
ackley,classical,pooled,0.05,20,False,20.102447153853433,400,10,10,0.015421530904912672,-0.010890459817277778,0.03968929956495451,0.009465509703107,-0.006853492176477447,0.02659126575090592,0.015308602420400087,-0.00951038383994344,0.03914169009636038,0.0001129284845125822,3.045941663718993e-05,0.00022360201626505806,0.0073227804171249805,,,1.6292340707073218
branin,classical,pooled,0.05,20,False,1.2500554659000687,400,10,10,0.010873459106776229,0.005773045929762025,0.01919322631131629,0.003305540955299991,0.0001805948371172483,0.009553799935377694,0.003277506744669804,0.00019013168309276162,0.01037287367712222,0.007595952362106426,0.0054912735888234965,0.010513076326607402,0.698577360480687,0.4544894793841753,0.9709397764853693,3.289464342997202
eggholder,classical,pooled,0.05,20,False,3.2050455310550587,400,10,10,0.010696876161819491,-0.015235967138184448,0.03607633310454998,0.005871201493972126,-0.006100261484870661,0.01891654790797551,0.0074202424734925885,-0.018302024547810887,0.03300907122351419,0.003276633688326901,0.0022598850920198758,0.00446027104266004,0.30631687595133944,,,1.8219228505105494
griewank,classical,pooled,0.05,20,False,2.7538558156589708,400,10,10,0.013277815857364705,0.008061173949050102,0.021273257078102775,0.007883420874149154,0.0026709516807395025,0.014776533980389674,0.007483783701320804,0.0026794951320580126,0.01433083137835922,0.005794032156043899,0.004549689637489823,0.007275947808188583,0.43636937115905006,0.29019919887381046,0.713814287140418,1.6842708348737958
hartmann_3,classical,pooled,0.05,20,False,3.0549009421557276,400,10,10,0.004277446081406521,0.0035268597868767767,0.005177025767125874,0.0009192126134478201,0.0005540895297229159,0.0015555928843223295,0.0011624985929212057,0.0007574221393393573,0.0016471723672184116,0.003114947488485315,0.0025358058052412946,0.003685531226650913,0.7282260089789488,0.6608278931563378,0.8025730577307248,4.653380533326781
hartmann_6,classical,pooled,0.05,20,False,7.967163963291937,400,10,10,0.007313574373679149,-0.005227246611236791,0.02094870575190674,0.009174786329657451,0.0008169331876672026,0.018708961134716925,0.005583390255865201,-0.007684133566689164,0.018373314543346574,0.0017301841178139475,0.0012946792744435846,0.002288294751782272,0.23657161729847362,,,0.7971383867587255
hicks_law,law,pooled,0.05,20,False,5.402837764670362,400,10,10,-0.0011430512522236337,-0.005063287512842365,0.00043134638290816523,-0.0007743239138357527,-0.00437640877346801,0.0001412781230250033,-0.0011430512522236354,-0.005432659645312027,0.0004588605357746539,2.0548886955018416e-18,0.0,5.342710608304789e-18,,,,
levy_10,classical,pooled,0.05,20,False,2.6244803317786123,400,10,10,0.015070164765010836,-0.005515111925215455,0.028759607074215297,0.0037557755543121503,-0.00875418629155759,0.014438221327362624,0.008804172405766019,-0.010579001481898099,0.022037707293368555,0.006265992359244816,0.004230425095987753,0.008389957759145427,0.4157879132013797,,,4.012530713585427
michalewicz,classical,pooled,0.05,20,False,8.047721166688978,400,10,10,-0.0058633082803328926,-0.04896473031300146,0.030600273490043822,-0.01041983115316374,-0.036902040648820515,0.013385847335037155,-0.0065025301827433156,-0.0470016351769651,0.029750433258099465,0.0006392219024104258,0.00028567131248136715,0.001089309134014729,,,,
moving_peaks,other,pooled,0.05,20,False,2.9574997815819173,400,10,10,0.015253145332210817,0.0012567926434442346,0.029493633351934005,0.005947899001224633,-0.002371903546439098,0.013928334073391276,0.009801490519155522,-0.0037715813047022816,0.02402598112235091,0.005451654813055295,0.003468172111788757,0.007516146009614137,0.3574118448568616,0.18798214401092828,1.5190497182094616,2.564459371127569
powell,classical,pooled,0.05,20,False,0.7642238834584598,400,10,10,0.018775200528185817,0.014746064438258037,0.023199298080889393,0.0008586904878788282,-0.00026025519485767517,0.002251935166534501,0.001124933630743998,-0.0003106348114352664,0.002479841310192089,0.017650266897441824,0.013269770435498315,0.022707917520252786,0.9400840683935592,0.8552082169717683,1.0207997215768587,21.864921986692867
power_law_practice,law,pooled,0.05,20,False,1.7175746997911816,400,10,10,0.0031631673105782486,0.0010711857201524794,0.005919158372619376,5.656863609916784e-05,-0.00011615850383241936,0.00038887174483779723,1.4391484187674733e-06,-0.0003171858596918865,0.0003123964234960362,0.003161728162159481,0.0010750953921271657,0.0059699419180754745,0.9995450293084547,0.9079078915082082,1.1543405404114833,55.917333856751426
rastrigin,classical,pooled,0.05,20,False,3.638939073438052,400,10,10,0.004706108757120804,-0.026411487075872465,0.035264958802694306,0.0034651112575062957,-0.01791277343669134,0.0291479050132659,0.0029503360522289994,-0.027242164006754624,0.03249011952034099,0.0017557727048918051,0.0009208780147898461,0.002727176680155096,0.3730837503989148,,,1.3581407370185294
rosenbrock,classical,pooled,0.05,20,False,1.0256232505714238,400,10,10,0.011973912211180293,0.00911574798504169,0.014631259562365388,0.0004944882622218275,-0.0002573163645017287,0.0012819290570688082,0.0008041656527833514,-0.00013721753809731594,0.0020298606598108805,0.011169746558396941,0.008623909321571284,0.013755790603904925,0.9328401913593047,0.8397198190478734,1.0090430674903224,24.2147551842369
schwefel,classical,pooled,0.05,20,False,4.328390371778852,400,10,10,0.012739047218288503,-0.008903419000078322,0.03358974987081067,0.0036284994589538926,-0.008700258509974914,0.016801438756004455,0.010675772465932714,-0.01172760804057295,0.03239701334672927,0.0020632747523557913,0.0011132828468414717,0.00318812819454659,0.16196460512319172,,,3.5108306787404646
shekel,classical,pooled,0.05,20,False,56.774074038018384,400,10,10,-0.007652131182377995,-0.04107887299911116,0.02380680742981678,-0.0005235050025583669,-0.012052781423004285,0.012884224028332976,-0.007726368147490891,-0.04107409605878151,0.022269018948750992,7.423696511289627e-05,1.9670142902194353e-05,0.00015568051259864336,,,,
steering_law,law,pooled,0.05,20,False,1.290375177799024,400,10,10,0.0078412751788769,0.004706464547430734,0.013388470856133004,0.0028069493756917637,-7.095467134662221e-05,0.008219905931811601,0.00224014232919541,-7.608800728726223e-05,0.0069270251745768745,0.005601132849681488,0.0042695961440364725,0.007325105310850364,0.7143140269799503,0.4295846618815221,1.0046314385273307,2.7935221229077003
stevens,law,pooled,0.05,20,False,3.0593887562558817,400,10,10,-0.00025303230599806834,-0.0013959986365879523,0.0001639926298402936,-0.00016588177095494392,-0.0009868971557765714,0.0,-0.0003144851381337472,-0.0013966381194217494,0.0,6.145283213567885e-05,0.0,0.0002459889447604404,,,,
weber_fechner,law,pooled,0.05,20,False,2.153305282720616,400,10,10,0.010907364317453244,0.004157894995342812,0.02329904488946029,0.006285061132663211,0.000334426476321303,0.017012896698381196,0.005497941181782925,-4.8139478178770656e-05,0.01870773954672633,0.0054094231356703205,0.0030664723086884765,0.008057561680375018,0.49594228066761453,0.22744527748881319,1.0132356923475212,1.735442836151284
yerkes_dodson,law,pooled,0.05,20,False,3.5354125437868587,400,10,10,0.007658051213740729,-0.014382857276386449,0.030087398592698454,0.005429575138149095,-0.006645298757824728,0.02229703742872659,0.003049482834865872,-0.018576765585818358,0.025961522650842277,0.004608568378874857,0.003553152757079837,0.005856736169673166,0.6017938833584412,,,1.4104328642464106
ackley,classical,pooled,0.25,0,False,20.102447153853433,400,10,10,0.03939259699474811,-0.019541989543200928,0.09974181322369947,0.020749475187326873,-0.020367975244919553,0.06389277055112864,0.03689347677801557,-0.027339753450932796,0.09643572503666054,0.0024991202167325395,0.0014155346605104688,0.003810984316478582,0.06344136734792394,,,1.8984864262402104
branin,classical,pooled,0.25,0,False,1.2500554659000687,400,10,10,0.08888329083734557,0.06528958941359154,0.12284698793582448,0.03566518089289662,0.016616443080021154,0.06539528899842036,0.03640572537625786,0.01711200703911514,0.06898530537376547,0.05247756546108772,0.042802381571678434,0.06508406599877721,0.5904097943124146,0.4407481822320248,0.7551819878394034,2.4921586996646443
