error_model,jitter_std,jitter_iteration,contrast,deployed,deployed_lo,deployed_hi,search_traj,search_traj_lo,search_traj_hi,selection_share,selection_share_lo,selection_share_hi
pooled,0.05,0,laws6_minus_classical13,-0.008901227199225639,-0.017652443594984513,0.0008460207837122956,-0.0022757089344463844,-0.010631144903608605,0.006112487134276363,0.11066048249659988,-0.1123127221917347,0.8449731149371664
pooled,0.05,20,laws6_minus_classical13,-0.0038897321923929236,-0.009182957223524855,0.001780229423091632,-0.0006407701697069669,-0.004094972941223593,0.00317945360525096,0.12006238823028859,-0.26396184526627503,0.6207453868065824
pooled,0.25,0,laws6_minus_classical13,0.01027537599288808,-0.01886182943511562,0.041799443020973125,0.02761843652804169,0.004465265886332617,0.04794045419038839,-0.036984709325778686,-0.20371631347541624,0.10573886922187956
pooled,0.25,20,laws6_minus_classical13,-0.013584706691489052,-0.032851049543520465,0.006100916590188794,-0.005453728753605174,-0.015283352422309916,0.004825183566485296,0.13208459988454568,-0.10788160959769956,0.449997209607615
pooled,1.0,0,laws6_minus_classical13,0.04805180140054288,-0.010217966169989767,0.10663031390992657,0.08079090894840513,0.02771037924137689,0.12885109588174548,-0.016356489347935377,-0.17499364433457434,0.13191901874240322
pooled,1.0,20,laws6_minus_classical13,-0.052475150737108386,-0.09759021500697254,-0.006022565978135051,-0.022629771552394727,-0.04095078492235227,-0.0034443504950624165,0.221430600255074,0.03746273455478354,0.4198896092544861
pooled,5.0,0,laws6_minus_classical13,0.011004479373855403,-0.10635755674547917,0.1271675968861939,0.0960872251396929,0.00593725590200217,0.1833020721775499,-0.0022135189387479937,-0.1452227572034783,0.15708362690753017
pooled,5.0,20,laws6_minus_classical13,-0.14358272540907152,-0.24548807402329653,-0.0375272453544974,-0.04736736289065827,-0.07925242950766238,-0.0163719880382768,0.15029673128254484,0.04707963376275341,0.2785882203408113
gaussian,0.05,0,laws6_minus_classical13,-0.009973960135670748,-0.020439746032928533,0.0008731957300503231,-0.0010421551837361508,-0.00942721451047873,0.006766303382027546,0.0963859271416958,-0.16723483622404864,0.759492397992072
gaussian,0.05,20,laws6_minus_classical13,-0.004387942095658686,-0.01001153392285595,0.0015536260123880617,-0.0017897877729963793,-0.00615681153392041,0.0026213271983730174,0.09889970113545138,-0.1900167265486953,0.4798831054046937
gaussian,0.25,0,laws6_minus_classical13,0.017162466330398363,-0.015404824515133128,0.05124678658372466,0.03404285251688204,0.010888643137697407,0.05652577956379648,-0.028657071746401752,-0.18624818620267253,0.10398797147270268
gaussian,0.25,20,laws6_minus_classical13,-0.01337157764182182,-0.03323358913131566,0.007416692879210672,-0.003893741576739407,-0.015391651526687294,0.008375513721729084,0.07844326991334238,-0.1701422093406938,0.4531332387373838
gaussian,1.0,0,laws6_minus_classical13,0.050335655311896876,-0.007769600972054243,0.11100383481681833,0.0853741518123659,0.029101726817442088,0.13732880570376169,-0.004246128260851523,-0.1576192711169863,0.1473482038646054
gaussian,1.0,20,laws6_minus_classical13,-0.05787079340696351,-0.1019249234213896,-0.011481274468005747,-0.02113471688073553,-0.03995950788629534,-0.0012869426438625704,0.2056422250797496,-0.01868402036899347,0.4326199839486847
gaussian,5.0,0,laws6_minus_classical13,0.03098740037524128,-0.0721879066070655,0.13587270819647035,0.0935666825646233,0.0054118558704519685,0.1816984679106718,0.011487560367091199,-0.13671438712002498,0.17424478538309074
gaussian,5.0,20,laws6_minus_classical13,-0.15029700848729305,-0.2551077300324296,-0.037338771871559616,-0.046932562322872705,-0.07717077970227744,-0.01731239414542469,0.1556875035939369,0.04743672563026075,0.2919645005172234
