cell,k,gain_all,gain_all_lo,gain_all_hi,gain_train,gain_test,gain_test_lo,gain_test_hi,test_landscapes_gaining,p_test,p_test_holm_over_k,recovered_all,recovered_test,p_test_holm_all_cells
pooled,2,0.009984150859336505,-0.002808290760926189,0.021954511922839412,0.008838519554339048,0.011129782164333963,-0.001740516560224857,0.023989663305561067,13,0.14290618896484375,0.42159271240234375,0.04460287680617444,0.04940624981083309,
pooled,3,0.014749334621137321,0.004335175187660687,0.026111516639121677,0.01328185482533685,0.016216814416937796,0.004286897577142748,0.029029543889440367,14,0.04844093322753906,0.2906455993652344,0.06589070661572011,0.0719881101345073,
pooled,5,0.01987085994103512,0.00687534141763493,0.032210950396866105,0.017826672863361,0.021915047018709246,0.007780931156792715,0.03683650721804318,13,0.01068878173828125,0.08551025390625,0.08877044532574649,0.09728315178460603,
pooled,8,0.021768756486725487,0.009537471251049036,0.03382127598135129,0.020845672119805612,0.02269184085364536,0.007173857935807104,0.03854331445641514,13,0.012079238891601562,0.08551025390625,0.09724904776384276,0.10073141965667227,
pooled,12,0.02073784196703346,0.006287030590893139,0.03512159414528155,0.024287076849043156,0.017188607085023767,0.0014875379205285665,0.032594915559072686,14,0.04844093322753906,0.2906455993652344,0.0926435731503937,0.07630199791909043,
pooled,16,0.02166668819908527,0.0006897347363195355,0.04108213694781637,0.02131460239993291,0.022018773998237616,-0.0015277328700600925,0.04668240211772202,13,0.10539817810058594,0.42159271240234375,0.09679307115415677,0.09774360653448644,
pooled,20,0.008548344366428581,-0.01465220151713235,0.030463316974516205,0.009020248842758576,0.008076439890098586,-0.019083270504186876,0.032532296964129515,10,0.47490501403808594,0.47490501403808594,0.03818860071770863,0.03585214884717979,
pooled,25,-0.021545679674269593,-0.050159849491963136,0.003758956070291635,-0.018893779625897715,-0.024197579722641478,-0.056367186824985774,0.003479055012656904,7,0.11398696899414062,0.42159271240234375,-0.09625248153357795,-0.10741554964350167,
pooled,30,-0.05383299159978951,-0.08885539862532645,-0.02438353049356659,-0.04900139039898373,-0.05866459280059533,-0.09843359314812827,-0.02522207631618648,4,0.000850677490234375,0.007656097412109375,-0.24049178806106303,-0.2604181720865209,
0.05sigma_from_trial_1,2,-0.014156695917880721,-0.026167875561576147,-0.0038979702870120467,-0.014597734730997857,-0.013715657104763584,-0.02559327362405835,-0.003407818997659201,7,0.07015661401800452,0.11714659358778101,-2.114182780874907,-2.822387731677368,1.0
0.05sigma_from_trial_1,3,-0.011493380535802868,-0.020635561055596687,-0.0037909111337492783,-0.012691116238557046,-0.010295644833048692,-0.01930174025918054,-0.002833303689343619,7,0.058573296793890506,0.11714659358778101,-1.7164391581051104,-2.1186226401367145,1.0
0.05sigma_from_trial_1,5,-0.011893134568679267,-0.019570808515297487,-0.004818051569108149,-0.013971715275525182,-0.009814553861833362,-0.016016831116255365,-0.003751610036672846,7,0.021801738635254905,0.06540521590576472,-1.7761390413119753,-2.0196244481720504,0.7630608522339217
0.05sigma_from_trial_1,8,-0.013217429574056356,-0.02021245544953236,-0.006516219329133024,-0.01370311449040939,-0.012731744657703322,-0.019468506044504848,-0.005940479827054757,6,0.008903385115881386,0.04451692557940693,-1.973911297875781,-2.6199196764893253,0.3739421748670182
0.05sigma_from_trial_1,12,-0.01844442257029021,-0.02732073710807868,-0.009317281754570202,-0.019914797834767035,-0.01697404730581338,-0.025137200365462554,-0.008904440335117612,6,0.012595170865161685,0.05038068346064674,-2.7545184856330267,-3.492894471399425,0.4912116637413057
0.05sigma_from_trial_1,16,-0.025310479423118714,-0.03817546034560741,-0.013280811587039821,-0.026423453179706353,-0.02419750566653107,-0.036049962852384924,-0.01255090579818053,4,0.002902103448847165,0.01741262069308299,-3.7799059951876757,-4.979327101046543,0.14220306899351107
0.05sigma_from_trial_1,20,-0.03726242575710455,-0.05754627868993348,-0.019128528196849157,-0.040000351495177354,-0.034524500019031734,-0.053865111349598,-0.01834739423283707,1,0.0005385174873341328,0.0037696224113389293,-5.564828076147126,-7.104400799154407,0.029079944316043167
0.05sigma_from_trial_1,25,-0.06098173301647021,-0.09598472293842068,-0.029460171048281757,-0.06209222942067041,-0.05987123661227001,-0.09725360974116362,-0.03141722600618404,1,0.00025021619831076065,0.0020017295864860852,-9.107105968737416,-12.320214948807326,0.014512539502024118
0.05sigma_from_trial_1,30,-0.09469978400620745,-0.1457625214462617,-0.053889935741902935,-0.09628332920373528,-0.09311623880867963,-0.14353544526353693,-0.05229360741127177,0,1.9073486328125e-06,1.71661376953125e-05,-14.142611655987935,-19.161322569246853,0.0001373291015625
0.05sigma_from_trial_21,2,-0.015484349183868906,-0.028708564147038606,-0.004946304286624085,-0.016663119643135344,-0.01430557872460247,-0.02648468303301013,-0.004470356143996903,9,0.11654426427752808,0.11654426427752808,-3.9098744020207667,-4.200319217175973,1.0
0.05sigma_from_trial_21,3,-0.013635082231791168,-0.024145926936448205,-0.004902404629485428,-0.01497223026949485,-0.012297934194087489,-0.02110112175602359,-0.004591808492720271,6,0.02977446084184663,0.05954892168369326,-3.442925392244876,-3.6108465320704184,0.8932338252553989
0.05sigma_from_trial_21,5,-0.013409558086016677,-0.022276723298187983,-0.005609003487795083,-0.013006724986439667,-0.013812391185593687,-0.024018370985917477,-0.005004658003264773,6,0.017582795345746867,0.05638941648201718,-3.3859794351283905,-4.055512415742088,0.6329806324468872
0.05sigma_from_trial_21,8,-0.014911300341959819,-0.023942961792256072,-0.006535671366542777,-0.013180661055792792,-0.016641939628126844,-0.03003277908441966,-0.006268896410860032,6,0.01000953783388119,0.050047689169405954,-3.7651767481844587,-4.886307654991147,0.41039105118912883
0.05sigma_from_trial_21,12,-0.019864636263021495,-0.03059934812600573,-0.009265987793088723,-0.01813973550367987,-0.021589537022363128,-0.037625966019864794,-0.008498249675317959,5,0.014097354120504295,0.05638941648201718,-5.015918454690589,-6.33899187098311,0.5356994565791632
0.05sigma_from_trial_21,16,-0.028308658776694258,-0.04411189335643255,-0.013289844902502476,-0.026037382143707155,-0.030579935409681357,-0.05263589380414897,-0.012655094621002732,5,0.004848166082515941,0.029088996495095647,-7.148075711302331,-8.978699347575951,0.22786380587824923
0.05sigma_from_trial_21,20,-0.04005979172162627,-0.060460658813871644,-0.021638306311597084,-0.035478448265157655,-0.044641135178094885,-0.07198141195442379,-0.02076403655567,2,0.0004633944245426167,0.00364184757855517,-10.115294633489714,-13.107265464390558,0.02549293304988619
0.05sigma_from_trial_21,25,-0.06347414169392933,-0.09821251305049665,-0.03400763455596764,-0.05621873160030975,-0.0707295517875489,-0.11084529942287383,-0.033801161044022844,2,0.00045523094731939626,0.00364184757855517,-16.027533275849592,-20.767191688971003,0.02549293304988619
0.05sigma_from_trial_21,30,-0.09666230637943948,-0.14452928188271777,-0.05154968641982791,-0.09007201017117325,-0.10325260258770572,-0.15714818260986158,-0.05718186033091928,0,0.0001318338889828333,0.0011865050008454997,-24.407708252083474,-30.316417058103013,0.008173701116935665
0.25sigma_from_trial_1,2,-0.00722586406755258,-0.018841160686418373,0.0036635379547089223,-0.006236394470101659,-0.008215333665003502,-0.022729977912648282,0.004224966795242949,10,0.7172177958043885,1.0,-0.15592029962758489,-0.19720656684139903,1.0
0.25sigma_from_trial_1,3,-0.005468279536575411,-0.013573386151135586,0.0021567804618560812,-0.005465995022800049,-0.005470564050350771,-0.015656997155105132,0.0037949144070785596,10,0.6742229461669922,1.0,-0.11799499351487419,-0.1313192134424639,1.0
0.25sigma_from_trial_1,5,-0.005263759191746024,-0.013343935076138009,0.002016484407271069,-0.0049888436157504434,-0.005538674767741605,-0.014178738336726244,0.0026401094697673226,10,0.4939012303138084,1.0,-0.11358183639655384,-0.1329541903392599,1.0
0.25sigma_from_trial_1,8,-0.008879632913715258,-0.01665735414250777,-0.0011371349910857353,-0.007375040556187927,-0.010384225271242591,-0.01985292456253794,-0.0011984917006107095,5,0.026641845703125,0.133209228515625,-0.19160546220438196,-0.24927014514006038,0.879180908203125
0.25sigma_from_trial_1,12,-0.01663380635274039,-0.02746454391597363,-0.006933246971296947,-0.01833626135295837,-0.01493135135252242,-0.02624884540483166,-0.004578037992746208,6,0.026641845703125,0.133209228515625,-0.35892566566713013,-0.3584225131447989,0.879180908203125
0.25sigma_from_trial_1,16,-0.02813209198909023,-0.0438183068130235,-0.014764355407050088,-0.030077939643682033,-0.026186244334498433,-0.042534568441466185,-0.011733670276069932,5,0.003306789231116912,0.019840735386701475,-0.6070366354920101,-0.62859276984391,0.1587258830936118
