section,problem,scheme,direction,candidate,role,metric,full_value,full_lo,full_hi,train_value,test_value,test_lo,test_hi,p_test,optimism,note,n_landscapes_test,seed_shift_mean_over_candidates,test_rank_of_selected,test_best_candidate,test_best_value,n_folds,test_median,test_p2_5,test_p97_5,test_mean,train_mean,optimism_mean,optimism_p2_5,optimism_p97_5,optimism_net_of_shift_mean,optimism_net_p2_5,optimism_net_p97_5,fixed_choice_optimism_mean,full_best_test_p2_5,full_best_test_p97_5,share_selected_k5_to_16,share_selected_full_best,share_selected_paper_choice,full_best,full_best_value,full_best_test_median,selection_regret_on_test_mean,selected_distribution,family,group,label,scope,n_landscapes,mean_gain_test,landscapes_gaining_test,p_full,p_holm_core_test,p_holm_core_full,p_holm_all_test,p_holm_all_full
0_checks,,,,,,,,,,,,,,,,"k-curve, rho = 1: 14 policies of budget_split_policies.csv reproduced, max abs difference 9.7e-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_checks,,,,,,,,,,,,,,,,"k-curve, rho = 0.5: 14 policies of budget_split_policies_rho0.5.csv reproduced, max abs difference 9.7e-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_checks,,,,,,,,,,,,,,,,"sitting variants: 19 pooled gaussian rows of end_of_study_recovery.csv reproduced (recovery and interval), max abs difference 9.7e-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_checks,,,,,,,,,,,,,,,,"main sweep: 26 pooled recoveries of hitl_remedies_recovery.csv reproduced, max abs difference 1.7e-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_checks,,,,,,,,,,,,,,,,"gross faults (spike): 16 pooled recoveries of hitl_remedies_recovery.csv reproduced, max abs difference 1.7e-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_checks,,,,,,,,,,,,,,,,"capped scale: 16 pooled recoveries of hitl_remedies_recovery.csv reproduced, max abs difference 2.2e-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_checks,,,,,,,,,,,,,,,,"ship rules: 4 gaussian >= 0.25 sigma rows of ship_rules_recovery.csv reproduced (recovery and interval), max abs difference 9.7e-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_balance,k-curve (fixed k = 8),,,,,,,,,,,,,,,"seeds 7-16 (10), runs per landscape x seed [64.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_balance,sitting variants (T k5 lcb rho1 look),,,,,,,,,,,,,,,"seeds 7-16 (10), runs per landscape x seed [24.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_balance,sitting variant rerate3x2,,,,,,,,,,,,,,,"seeds 7-11 (5), runs per landscape x seed [16.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
