estimand,method,estimate,actual_lo,actual_hi,population_value,coverage,coverage_mcse,miss_below,miss_above,mean_width,median_width,estimator_bias,bca_z0_actual,bca_accel_actual,scipy_lo,scipy_hi,n_clusters,reps,boot,boot_actual,nominal
selection_share,percentile,0.4184214875641966,0.3358319275295492,0.5022489623193562,0.4184214875641966,0.9217,0.0026864309036340396,0.0289,0.0494,0.16134518188737168,0.16143689127818187,0.0008534514131878779,-0.02594651364057141,-0.016137294426062654,0.3363104536404305,0.5046958123928161,20,10000,2000,20000,0.95
selection_share,bca,0.4184214875641966,0.3311415120823756,0.497459024792579,0.4184214875641966,0.9213,0.0026926995747762134,0.0322,0.0465,0.16177390868502303,0.1617269950186947,0.0008534514131878779,-0.02594651364057141,-0.016137294426062654,0.3311676257352464,0.5000069644613339,20,10000,2000,20000,0.95
selection_share,boot_t,0.4184214875641966,0.3252282117720165,0.5067585655229622,0.4184214875641966,0.9381,0.0024097383675411727,0.0218,0.0401,0.1767677216108314,0.17682977389566581,0.0008534514131878779,-0.02594651364057141,-0.016137294426062654,,,20,10000,2000,20000,0.95
selection_share,t,0.4184214875641966,0.3271208973911075,0.5097220777372857,0.4184214875641966,0.9466,0.0022482980229498045,0.0196,0.0338,0.17626687980911251,0.17636257647969733,0.0008534514131878779,-0.02594651364057141,-0.016137294426062654,,,20,10000,2000,20000,0.95
shortlist_m3,percentile,0.24013261856239823,0.17980572005496603,0.2994142784596105,0.24013261856239823,0.9288,0.0025715862808780117,0.0416,0.0296,0.11582037681523871,0.11616833880753791,-0.00030120208831921347,0.011154727144406013,0.012699070527716136,0.17986970990375406,0.30114399662830976,20,10000,2000,20000,0.95
shortlist_m3,bca,0.24013261856239823,0.18167530175767613,0.30171607345685986,0.24013261856239823,0.9401,0.0023730147492166996,0.0319,0.028,0.11623410422281923,0.11660838504487445,-0.00030120208831921347,0.011154727144406013,0.012699070527716136,0.181062248167295,0.3026829272673073,20,10000,2000,20000,0.95
shortlist_m3,boot_t,0.24013261856239823,0.17624387403808112,0.3100154441838262,0.24013261856239823,0.9643,0.0018554112751624626,0.0187,0.017,0.12960507357875464,0.12975627199323794,-0.00030120208831921347,0.011154727144406013,0.012699070527716136,,,20,10000,2000,20000,0.95
shortlist_m3,t,0.24013261856239823,0.17433026054998316,0.3059349765748133,0.24013261856239823,0.9461,0.0022582026038422674,0.0317,0.0222,0.12717725416957834,0.12752400476106662,-0.00030120208831921347,0.011154727144406013,0.012699070527716136,,,20,10000,2000,20000,0.95
deployed_cost,percentile,0.29697946135301206,0.26591238721685656,0.3292093391948333,0.29697946135301206,0.9269,0.002603005762575259,0.0448,0.0283,0.0611019103232019,0.06119268074219572,4.9954391107609464e-05,0.012282787382975734,0.017616455364146,0.2658708916518344,0.32990806478345175,20,10000,2000,20000,0.95
deployed_cost,bca,0.29697946135301206,0.26728054895067593,0.33069496083151234,0.29697946135301206,0.9327,0.0025054083499501637,0.0368,0.0305,0.06156219274531554,0.06168662137090203,4.9954391107609464e-05,0.012282787382975734,0.017616455364146,0.26791012420057014,0.33227441423373166,20,10000,2000,20000,0.95
deployed_cost,boot_t,0.29697946135301206,0.26515649244358785,0.3359240874849686,0.29697946135301206,0.9559,0.0020531729103999015,0.0242,0.0199,0.06868264591222738,0.06871822608999703,4.9954391107609464e-05,0.012282787382975734,0.017616455364146,,,20,10000,2000,20000,0.95
deployed_cost,t,0.29697946135301206,0.26207596137149985,0.3318829613345243,0.29697946135301206,0.946,0.0022601769842204847,0.0364,0.0176,0.06724307780452068,0.06738965848267242,4.9954391107609464e-05,0.012282787382975734,0.017616455364146,,,20,10000,2000,20000,0.95
