dataset,data_basis,quantity,estimate,ci_low,ci_high,n_participants,n_ratings,units,paper_assumption,paper_expected_value,null_expected_value,identification,sigma_f_used,method
ehmi,pipeline,design_model_lopo_r2,0.2271164428150083,-0.017758206328550016,0.363718384130734,37,735,R^2,,,,identified,0.3647132748128259,"pooled out-of-fold R^2 of the leave-one-participant-out design model (pipeline's oracle family and hyperparameters, no jitter)"
ehmi,pipeline,design_model_calibration_slope,0.7788693792841299,0.5483576448150177,0.977588516432747,37,735,slope,,,,identified,0.3647132748128259,OLS of rating on the LOPO prediction; below 1 means over-dispersed predictions
ehmi,pipeline,design_model_within_session_coef,0.2521011417136613,0.13719802161322053,0.3674631086370279,37,735,slope,,,,identified,0.3647132748128259,"b: coefficient of the LOPO prediction in the pooled within-session regression of rating on [trial, prediction]"
ehmi,pipeline,noise_nn_close_ratings,0.2692177100350348,0.17327814167971928,0.352916755705816,27,123,rating points,,,,identified,0.3647132748128259,SD of close within-rater NN pair differences / sqrt 2 (calibrate_noise_from_data.py) [n_ratings counts pairs]
ehmi,pipeline,noise_nn_close_over_sigma_f,0.7381626297348232,0.4751078549818269,0.9676553612887713,27,123,sigma_f,"sweep 0.05, 0.25, 1, 5; paper anchor 0.74-3.35",,,identified,0.3647132748128259,the paper's anchor: close-NN nugget / sigma_f [n_ratings counts pairs]
ehmi,pipeline,noise_nn_close_share_lag1_pairs,0.6585365853658537,0.5673741816693945,0.7430571483180428,27,123,share,,,,identified,0.3647132748128259,share of the nugget's close NN pairs rated on consecutive trials [n_ratings counts pairs]
ehmi,pipeline,noise_nn_close_attenuation_under_paper_ar1,0.5371322587730457,0.5130754755342294,0.5642703817130275,27,123,ratio,1 under GAUSSIAN,1.0,1.0,identified,0.3647132748128259,nugget / true SD if errors were AR(1) rho=0.8: sqrt(mean(1 - 0.8^lag)) over the nugget's pairs [n_ratings counts pairs]
ehmi,pipeline,noise_within_session_resid_sd_over_sigma_f,1.1699912710930704,0.9466251586406043,1.3865415374000698,37,735,sigma_f,,,,identified (upper bound),0.3647132748128259,"SD of within-session residuals y - b*pred (includes design-model misfit, so an upper bound)"
ehmi,pipeline,semivar_lag1_over_sigma_f2,0.6501813519061344,0.21903009408695456,1.2323839650090391,27,234,sigma_f^2,flat in lag,,,identified (model-free),0.3647132748128259,semivariance of close design pairs rated 1 trial apart [n_ratings counts pairs]
ehmi,pipeline,semivar_lag2to3_over_sigma_f2,0.2079038733133468,0.07541938957890303,0.46320906441682813,27,234,sigma_f^2,flat in lag,,,identified (model-free),0.3647132748128259,semivariance of close design pairs rated 2-3 trials apart [n_ratings counts pairs]
ehmi,pipeline,semivar_lag4plus_over_sigma_f2,0.39497480390629736,0.09291867317942865,1.0226059991546597,27,234,sigma_f^2,flat in lag,,,identified (model-free),0.3647132748128259,semivariance of close design pairs rated >= 4 trials apart [n_ratings counts pairs]
ehmi,pipeline,semivar_ratio_lag1_to_lag4plus,1.6461337418889674,0.4121263998897912,8.395524372461749,27,234,ratio,1 (GAUSSIAN); paper_expected_value = AR(1) rho 0.8,0.3089012813509714,1.0,identified (model-free),0.3647132748128259,lag-1 over lag>=4 semivariance of close design pairs (model-free serial dependence) [n_ratings counts pairs]
ehmi,pipeline,semivar_ratio_paper_ar1_prediction,0.3089012813509714,0.2968141951827714,0.32583969112062955,27,234,ratio,AR(1),,,identified (model-free),0.3647132748128259,the same ratio implied by AR(1) with rho = 0.8 at the observed lags [n_ratings counts pairs]
ehmi,pipeline,drift_resid_median_total_over_sigma_f,1.2109562860941019,0.40124713233958,1.6122224413408976,37,735,sigma_f,DRIFT: +sigma_e (paper_expected_value = the noise anchor),0.7381626297348232,0.0,weak: design model held-out R^2 = 0.23,0.3647132748128259,median over sessions of the slope of y - b*pred on trial x session span
ehmi,pipeline,drift_resid_full_removal_median_total_over_sigma_f,-0.53999773677444,-1.3139588666167776,-0.12567169514475898,37,735,sigma_f,DRIFT: +sigma_e,0.7381626297348232,0.0,weak: design model held-out R^2 = 0.23,0.3647132748128259,as above with b = 1 (residual y - pred)
ehmi,pipeline,drift_naive_median_total_over_sigma_f,1.6686297719318088,1.0634577067593565,2.1935039255441615,37,735,sigma_f,,,,identified (raw trend; includes search progress),0.3647132748128259,as above with b = 0 (raw composite: drift + search progress)
