level,error_model,jitter_std,jitter_iteration,unit,mean_rank,mean_fragility,is_winner_by_mean_rank,is_winner_by_mean_fragility,kendall_w,friedman_p,n_landscapes,k
acquisition,ar1,0.05,0,ei,3.95,-0.000512321882933347,True,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,greedy,7.75,0.015849006146212753,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,logei,4.6,-0.00289558590455053,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,logpi,7.5,0.017654886082246204,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,pi,7.05,0.010370885887979917,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,qei,4.2,-0.00018977178249655874,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,qnei,4.15,-0.0019391980392960695,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,qpi,6.3,0.007155054708793067,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,qucb,3.95,-0.003146744004474401,False,True,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,0,ucb,5.55,0.007947665772930147,False,False,0.2573939393939396,5.227418390418353e-07,20,10
acquisition,ar1,0.05,20,ei,5.1,0.000659898771887045,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,greedy,6.4,0.0035376512410666373,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,logei,4.7,-0.002235477752749634,False,True,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,logpi,6.45,0.005257579167354308,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,pi,7.3,0.007305358401943907,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,qei,4.8,0.002054449356499243,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,qnei,4.75,0.0013011550797711355,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,qpi,6.35,0.003897418993147173,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,qucb,4.7,0.0005686768130371599,False,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.05,20,ucb,4.45,-0.0018191844589456065,True,False,0.12086049543676675,0.00968912164908358,20,10
acquisition,ar1,0.25,0,ei,4.0,0.012885883633491694,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,greedy,7.45,0.07240708160895634,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,logei,3.7,0.008346281981227655,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,logpi,8.25,0.08970677707977906,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,pi,8.5,0.08601844268453437,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,qei,4.6,0.02024920423493614,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,qnei,4.15,0.011102509387943979,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,qpi,7.85,0.07755260860519833,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,qucb,3.6,0.006842303870265183,False,False,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,0,ucb,2.9,0.004366247810124897,True,True,0.5379393939393942,6.878139184933543e-17,20,10
acquisition,ar1,0.25,20,ei,5.1,0.0032583407472128343,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,greedy,5.925,0.013301062548872578,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,logei,3.75,-0.0022134628911342677,True,True,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,logpi,7.125,0.02011148476108377,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,pi,8.15,0.026148613558631816,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,qei,5.125,0.005056037203744866,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,qnei,4.775,0.004053950859252817,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,qpi,6.5,0.013634096504369236,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,qucb,4.0,0.0005419277240958188,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,0.25,20,ucb,4.55,0.004615669368951506,False,False,0.23003215434083657,4.219092290605455e-06,20,10
acquisition,ar1,1.0,0,ei,4.85,0.08723248251727798,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,greedy,6.6,0.1527005713752596,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,logei,5.2,0.09270720261111927,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,logpi,8.45,0.19326222308982524,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,pi,8.25,0.18852256694838804,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,qei,5.15,0.09627910651929641,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,qnei,3.6,0.06710709529272724,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,qpi,7.3,0.16309908952144545,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,qucb,2.6,0.05052195960274064,True,True,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,0,ucb,3.0,0.0618968110459112,False,False,0.4802424242424245,8.396134948047228e-15,20,10
acquisition,ar1,1.0,20,ei,4.775,0.015061761062610502,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,greedy,5.825,0.03140789054560437,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,logei,4.5,0.010620186716841734,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,logpi,7.7,0.04827088339429324,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,pi,8.15,0.052282644265423436,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,qei,4.925,0.01792629421724449,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,qnei,4.575,0.014159948846179984,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,qpi,6.2,0.03462254160468614,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,qucb,4.25,0.010996539782295516,False,False,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,1.0,20,ucb,4.1,0.00696472083628371,True,True,0.23850079744816635,2.220187561244693e-06,20,10
acquisition,ar1,5.0,0,ei,5.7,0.2114780535419039,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,greedy,6.8,0.22799074096346178,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,logei,5.45,0.2019846499966394,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,logpi,6.75,0.2259510943192334,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,pi,7.4,0.24286662469405548,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,qei,5.3,0.20738307653180507,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,qnei,5.4,0.20077312240365738,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,qpi,6.05,0.22471102361137954,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,qucb,2.45,0.1629121641716332,True,True,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,0,ucb,3.7,0.17178998843898027,False,False,0.24000000000000024,1.980823625505607e-06,20,10
acquisition,ar1,5.0,20,ei,5.475,0.04103184281114435,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,greedy,5.1,0.04087024251350894,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,logei,4.425,0.03181897192285998,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,logpi,6.95,0.05915265616128755,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,pi,6.75,0.06203660584431768,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,qei,5.475,0.042096544269969574,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,qnei,4.175,0.030940682636053173,True,True,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,qpi,5.05,0.04394347033460392,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,qucb,5.825,0.052246166518972514,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,ar1,5.0,20,ucb,5.775,0.0553004538016061,False,False,0.09115200000000045,0.05884698046063249,20,10
acquisition,bias,0.05,0,ei,4.0,0.0019790067798857885,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,greedy,7.9,0.03245568763847256,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,logei,3.7,-0.004500287509526158,True,True,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,logpi,7.0,0.0244112004713274,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,pi,7.15,0.018554775860551175,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,qei,4.5,0.0027827892834508296,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,qnei,4.2,0.003738827716828664,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,qpi,6.6,0.02138140164572836,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,qucb,4.45,0.0008549125124240689,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,0,ucb,5.5,0.015246128400725412,False,False,0.2572727272727276,5.276449371995582e-07,20,10
acquisition,bias,0.05,20,ei,5.475,0.0006446100124750277,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,greedy,5.35,0.0020073923089108754,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,logei,4.575,-0.003879308951451494,False,True,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,logpi,6.9,0.007581189289303382,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,pi,7.2,0.007217418202998913,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,qei,4.625,0.000777747144211075,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,qnei,4.225,0.0009205057248915296,True,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,qpi,6.3,0.0029319195700516568,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,qucb,4.825,0.0007475546597172376,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.05,20,ucb,5.525,0.0022644747255942473,False,False,0.11934282939462619,0.010675026561533903,20,10
acquisition,bias,0.25,0,ei,4.65,0.030188656313299356,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,greedy,7.5,0.0984745064576493,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,logei,4.0,0.024914515331283277,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,logpi,8.25,0.11655055089239634,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,pi,8.55,0.12606967382092987,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,qei,3.75,0.021805344952831467,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,qnei,4.65,0.03024632601532286,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,qpi,7.8,0.12079259843128473,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,qucb,2.6,0.00526675487118476,True,True,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,0,ucb,3.25,0.017027719739332807,False,False,0.5622424242424244,8.980898398816944e-18,20,10
acquisition,bias,0.25,20,ei,4.675,0.007501568812772891,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,greedy,5.875,0.017614527608698142,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,logei,4.925,0.00432928413614163,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,logpi,8.4,0.033253143967353946,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,pi,7.575,0.03216166632447874,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,qei,4.3,0.007174693719343803,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,qnei,4.5,0.005576908879470369,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,qpi,6.15,0.01957482736379199,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,qucb,4.175,0.003642978952123516,True,True,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,0.25,20,ucb,4.425,0.00757202640849936,False,False,0.2543379734541924,6.613244120353072e-07,20,10
acquisition,bias,1.0,0,ei,5.6,0.13529438957511708,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,greedy,7.45,0.2034175962236368,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,logei,4.9,0.13180956027943297,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,logpi,8.05,0.2103925392223823,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,pi,8.2,0.21346822884066174,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,qei,3.95,0.10931092717041405,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,qnei,3.8,0.1022792095406615,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,qpi,7.65,0.20929376305492223,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,qucb,2.35,0.07667762879190719,True,True,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,0,ucb,3.05,0.0822342177549524,False,False,0.5309696969696972,1.2316685307684954e-16,20,10
acquisition,bias,1.0,20,ei,5.05,0.025564983008339676,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,greedy,5.85,0.03785300033736449,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,logei,4.45,0.01845171152571436,True,True,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,logpi,7.05,0.047610459844018946,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,pi,6.95,0.05263434170248832,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,qei,5.65,0.03104808986180031,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,qnei,4.65,0.026624410848082213,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,qpi,5.05,0.02957544880762809,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,qucb,5.0,0.026855752094792858,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,1.0,20,ucb,5.3,0.027771238883545508,False,False,0.09239690721649543,0.05481023250227651,20,10
acquisition,bias,5.0,0,ei,5.3,0.21914584321550024,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,greedy,7.7,0.256104828276448,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,logei,5.3,0.22225153244012952,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,logpi,7.55,0.2535467755700315,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,pi,7.85,0.258611155891923,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,qei,5.95,0.2351799873769803,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,qnei,4.85,0.2155820771610248,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,qpi,5.55,0.21903879058232856,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,qucb,2.75,0.1782744177506752,False,False,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,0,ucb,2.2,0.17485411741551565,True,True,0.40878787878787903,3.0094465007551116e-12,20,10
acquisition,bias,5.0,20,ei,5.175,0.047148180085441124,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,greedy,5.325,0.04916842615169771,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,logei,4.875,0.04413115535410124,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,logpi,6.425,0.061424079485636426,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,pi,6.875,0.0643207652236113,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,qei,4.725,0.045404577857236714,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,qnei,4.125,0.0430768351828052,True,True,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,qpi,5.125,0.04453888216441768,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,qucb,5.925,0.06359209272068797,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,bias,5.0,20,ucb,6.425,0.0718056425541596,False,False,0.09076495586793126,0.06015590878900902,20,10
acquisition,drift,0.05,0,ei,3.7,-0.0011347808243464717,True,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,greedy,7.1,0.019565252933283976,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,logei,3.8,-0.001174432427011708,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,logpi,6.95,0.02391663994833098,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,pi,8.25,0.04221238590339266,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,qei,5.1,0.007876578909532595,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,qnei,4.55,-0.000993260834839704,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,qpi,6.7,0.02254927703715038,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,qucb,3.9,-0.004785977540641988,False,True,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,0,ucb,4.95,0.006811039230997751,False,False,0.2875151515151521,5.033989692654419e-08,20,10
acquisition,drift,0.05,20,ei,6.55,0.007040974107122408,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,greedy,6.475,0.002680418716181013,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,logei,4.525,-0.0015988846561594086,False,True,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,logpi,6.525,0.005437367064307564,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,pi,6.625,0.011805263739078448,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,qei,4.925,0.001745401729924536,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,qnei,3.925,0.00039047811890433097,True,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,qpi,6.15,0.00277669970579926,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,qucb,4.475,0.0005953080618054709,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.05,20,ucb,4.825,0.00019192963006885237,False,False,0.13236842105263186,0.004584514612850147,20,10
acquisition,drift,0.25,0,ei,3.8,0.01574362591932708,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,greedy,7.0,0.09333436939697112,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,logei,4.2,0.01962062985923662,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,logpi,8.5,0.1276368711908175,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,pi,8.45,0.12948578173919706,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,qei,4.85,0.0282947988625434,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,qnei,3.75,0.018576989302101662,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,qpi,8.4,0.124667823733372,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,qucb,2.6,0.0011406398154512267,True,True,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,0,ucb,3.45,0.016052265310854363,False,False,0.5944242424242431,6.0031437319515665e-19,20,10
acquisition,drift,0.25,20,ei,5.65,0.006859996563700771,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,greedy,6.575,0.017919686629193642,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,logei,4.325,0.0006330747418601325,False,True,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,logpi,7.275,0.02869377974971939,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,pi,7.675,0.03089318020723248,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,qei,4.9,0.005927767126899482,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,qnei,4.05,0.004497694768777749,True,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,qpi,6.0,0.017770061050163117,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,qucb,4.075,0.0032248832687197817,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,0.25,20,ucb,4.475,0.0036952206810179035,False,False,0.21021366137908754,1.863371302535369e-05,20,10
acquisition,drift,1.0,0,ei,5.2,0.1359418466335902,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,greedy,8.0,0.20942080451053569,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,logei,4.8,0.12927989150106525,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,logpi,7.65,0.20553608576710752,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,pi,8.7,0.22577449788386175,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,qei,3.65,0.10607424937782217,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,qnei,4.05,0.12049898971478352,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,qpi,7.15,0.20076345749495159,False,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,qucb,2.95,0.09373905342946207,False,True,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,0,ucb,2.85,0.09525590451320934,True,False,0.526848484848485,1.7377606139073644e-16,20,10
acquisition,drift,1.0,20,ei,6.1,0.024985698345870524,False,False,0.16301392036257706,0.0005672112802853996,20,10
acquisition,drift,1.0,20,greedy,5.775,0.03731659510814798,False,False,0.16301392036257706,0.0005672112802853996,20,10
