arm,T,error_model,jitter_std,onset,quantity,estimate,lo,hi,n_landscapes,n_runs
main,50,ar1,0.05,0,excess,0.00502938769844112,0.0014280522498838248,0.008746175259833332,20,2000
main,50,ar1,0.05,0,bound,0.3460289878509695,0.2882900209786484,0.4089957903577972,20,2000
main,50,ar1,0.05,0,normalised,0.014534584890348019,0.004181353739503126,0.02497125324136187,20,2000
main,50,ar1,0.05,0,median_run_ratio,0.003044974135096077,0.0005790979355475204,0.009203185382496683,20,2000
main,50,ar1,0.05,0,bound_task,0.8069627164041698,0.6735473594319363,0.943049618697747,20,2000
main,50,ar1,0.05,0,normalised_task,0.006232490790717195,0.0018437043775841214,0.011015294298860823,20,2000
main,50,ar1,0.05,0,deployed,0.011937248056035838,0.007097421751818353,0.01633229476440931,20,2000
main,50,ar1,0.05,0,bound_final,0.4826932063569712,0.4061970424767386,0.5595766785427135,20,2000
main,50,ar1,0.05,0,inst_excess,-0.031633581836223154,-0.04691950849755422,-0.017350462954370174,20,2000
main,50,ar1,0.05,0,share_bound_zero,0.0045,,,20,2000
main,50,ar1,0.05,0,share_prefix_identical,1.0,,,20,2000
main,50,ar1,0.05,0,n_bound_violations,0.0,,,20,2000
main,50,ar1,0.05,0,max_violation,0.0,,,20,2000
main,50,ar1,0.05,0,share_iters_bound_binds,0.017357717354184576,,,20,2000
main,50,ar1,0.05,0,share_iters_ge90pct_bound,0.02324568117853484,,,20,2000
main,50,ar1,0.05,0,share_iters_ge50pct_bound,0.07011387322036293,,,20,2000
main,50,ar1,0.05,0,share_runs_noisy_no_gain_clean_gain,0.005,,,20,2000
main,50,ar1,0.05,0,share_runs_deployed_exceeds_bound,0.016,,,20,2000
main,50,ar1,0.05,20,excess,0.0020527525613011407,-0.0006772167557000105,0.004581214027232434,20,2000
main,50,ar1,0.05,20,bound,0.0657635979923821,0.04042189499356116,0.09362413322965624,20,2000
main,50,ar1,0.05,20,normalised,0.03121411577175152,-0.010604410052566566,0.06997608858823416,20,2000
main,50,ar1,0.05,20,median_run_ratio,0.06485149469997332,0.032028137837525214,0.12446956678030595,20,2000
main,50,ar1,0.05,20,bound_task,0.0752295265537928,0.04704741929001567,0.10573734606871556,20,2000
main,50,ar1,0.05,20,normalised_task,0.027286527715063076,-0.009323264232193323,0.0604424316643662,20,2000
main,50,ar1,0.05,20,deployed,0.00529939728572192,0.0005928153986381256,0.009436500907298471,20,2000
