error_model,jitter_std,jitter_iteration,acquisition,mean_rank_fragility,mean_fragility,median_fragility,mean_absolute_loss,n_benchmarks
misclick,0.01,0,logei,1.4,0.002494838695860751,0.00010029990059737433,0.2542946164384907,20
misclick,0.01,0,qnei,1.6,0.006017426059870429,9.947814526875589e-05,0.25168677254401456,20
misclick,0.01,20,qnei,1.475,0.0001933568207324089,0.0,0.14417696159747373,20
misclick,0.01,20,logei,1.525,0.0004038296740590145,0.0,0.15194357290003757,20
misclick,0.05,0,qnei,1.25,0.014601749877938408,0.006734581443968041,0.26027109636208257,20
misclick,0.05,0,logei,1.75,0.03385218332766527,0.014996428011232674,0.2856519610702952,20
misclick,0.05,20,logei,1.45,0.004549666729065634,0.00014234640134036522,0.15608940995504422,20
misclick,0.05,20,qnei,1.55,0.006971946445575963,0.0002629241125508767,0.15095555122231724,20
misclick,0.15,0,logei,1.3,0.05436982638074019,0.04063786152962595,0.3061696041233702,20
misclick,0.15,0,qnei,1.7,0.07312321891741289,0.05939533817105897,0.318792565401557,20
misclick,0.15,20,qnei,1.4,0.01328535151283119,0.0014454090811103573,0.15726895628957246,20
misclick,0.15,20,logei,1.6,0.01817503616003633,0.00330333659335079,0.16971477938601492,20
misclick,0.4,0,qnei,1.45,0.15275960971453456,0.10561412351983236,0.3984289561986787,20
misclick,0.4,0,logei,1.55,0.15702881047061454,0.11521104612418032,0.4088285882132445,20
misclick,0.4,20,logei,1.35,0.01920348678883225,0.0032546782075065055,0.17074323001481082,20
misclick,0.4,20,qnei,1.65,0.025276103995595968,0.007216677799069055,0.1692597087723373,20
