model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters
mediator_only,const,0.15781040332148635,0.04074854963365791,0.30291339876687473,0.002,2000,0.045231621314648085,40,20
mediator_only,frag_at_c,-0.05234255188441113,-0.12017157174777068,0.020511491870868304,0.153,2000,0.045231621314648085,40,20
mediator_only,onset_20,-0.05647693913786672,-0.17425451693614868,0.06196693815612641,0.326,2000,0.045231621314648085,40,20
descriptors_only,const,0.15781040332148627,,,,0,0.6213758124488261,40,20
descriptors_only,log_noise,-5.127526526397731e-18,,,,0,0.6213758124488261,40,20
descriptors_only,dim,0.004049864976496443,,,,0,0.6213758124488261,40,20
descriptors_only,log_opt_z,0.13282055618747957,,,,0,0.6213758124488261,40,20
descriptors_only,ruggedness,0.09437290364411872,,,,0,0.6213758124488261,40,20
descriptors_only,log_tail_ratio,0.10224463637715006,,,,0,0.6213758124488261,40,20
descriptors_only,onset_20,-0.056476939137866555,,,,0,0.6213758124488261,40,20
both,const,0.15781040332148627,,,,0,0.6443014775988829,40,20
both,frag_at_c,0.06756551770095401,,,,0,0.6443014775988829,40,20
both,log_noise,-4.088470153587007e-17,,,,0,0.6443014775988829,40,20
both,dim,0.03016389087672953,,,,0,0.6443014775988829,40,20
both,log_opt_z,0.17765665031616934,,,,0,0.6443014775988829,40,20
both,ruggedness,0.08595525570503869,,,,0,0.6443014775988829,40,20
both,log_tail_ratio,0.08718759501961246,,,,0,0.6443014775988829,40,20
both,onset_20,-0.05647693913786664,,,,0,0.6443014775988829,40,20
descriptors_interaction,const,0.1578104033214863,,,,0,0.6213758124488261,40,20
descriptors_interaction,log_noise,-6.722530278315825e-19,,,,0,0.6213758124488261,40,20
descriptors_interaction,dim,0.004049864976496457,,,,0,0.6213758124488261,40,20
descriptors_interaction,log_opt_z,0.06641027809373981,,,,0,0.6213758124488261,40,20
descriptors_interaction,ruggedness,0.09437290364411875,,,,0,0.6213758124488261,40,20
descriptors_interaction,log_tail_ratio,0.10224463637715014,,,,0,0.6213758124488261,40,20
descriptors_interaction,noise_x_opt_z,-0.0664102780937399,,,,0,0.6213758124488261,40,20
descriptors_interaction,log_noise_sq,0.0,,,,0,0.6213758124488261,40,20
descriptors_interaction,onset_20,-0.05647693913786654,,,,0,0.6213758124488261,40,20
both_interaction,const,0.15781040332148633,,,,0,0.6443014775988829,40,20
both_interaction,frag_at_c,0.06756551770095387,,,,0,0.6443014775988829,40,20
both_interaction,log_noise,-4.0240686651270594e-18,,,,0,0.6443014775988829,40,20
both_interaction,dim,0.03016389087672952,,,,0,0.6443014775988829,40,20
both_interaction,log_opt_z,0.08882832515808473,,,,0,0.6443014775988829,40,20
both_interaction,ruggedness,0.08595525570503876,,,,0,0.6443014775988829,40,20
both_interaction,log_tail_ratio,0.08718759501961247,,,,0,0.6443014775988829,40,20
both_interaction,noise_x_opt_z,-0.08882832515808467,,,,0,0.6443014775988829,40,20
both_interaction,log_noise_sq,0.0,,,,0,0.6443014775988829,40,20
both_interaction,onset_20,-0.056476939137866666,,,,0,0.6443014775988829,40,20
