dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
ackley,logei,10,misclick,0.01,0,studentt,50,10,0.01,-1.0,False,0.9
ackley,logei,10,misclick,0.01,0,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,10,misclick,0.05,0,studentt,50,10,0.01,-1.0,False,0.9
ackley,logei,10,misclick,0.05,0,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,10,misclick,0.15,0,studentt,50,10,0.01,2.0,False,1.2
ackley,logei,10,misclick,0.15,0,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,10,misclick,0.4,0,studentt,50,10,0.01,-2.0,False,0.8
ackley,logei,10,misclick,0.4,0,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,10,misclick,0.01,20,studentt,50,10,0.01,-1.0,False,0.9
ackley,logei,10,misclick,0.01,20,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,10,misclick,0.05,20,studentt,50,10,0.01,-1.0,False,0.9
ackley,logei,10,misclick,0.05,20,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,10,misclick,0.15,20,studentt,50,10,0.01,-1.0,False,0.9
ackley,logei,10,misclick,0.15,20,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,10,misclick,0.4,20,studentt,50,10,0.01,-1.0,False,0.9
ackley,logei,10,misclick,0.4,20,studentt,50,25,0.01,30.0,True,2.2
ackley,logei,11,misclick,0.01,0,studentt,50,10,0.01,7.0,False,1.7
ackley,logei,11,misclick,0.01,0,studentt,50,25,0.01,-6.0,False,0.76
ackley,logei,11,misclick,0.05,0,studentt,50,10,0.01,7.0,False,1.7
ackley,logei,11,misclick,0.05,0,studentt,50,25,0.01,-6.0,False,0.76
ackley,logei,11,misclick,0.15,0,studentt,50,10,0.01,11.0,False,2.1
ackley,logei,11,misclick,0.15,0,studentt,50,25,0.01,1.0,False,1.04
ackley,logei,11,misclick,0.4,0,studentt,50,10,0.01,26.0,False,3.6
ackley,logei,11,misclick,0.4,0,studentt,50,25,0.01,13.0,False,1.52
ackley,logei,11,misclick,0.01,20,studentt,50,10,0.01,7.0,False,1.7
ackley,logei,11,misclick,0.01,20,studentt,50,25,0.01,-6.0,False,0.76
ackley,logei,11,misclick,0.05,20,studentt,50,10,0.01,7.0,False,1.7
ackley,logei,11,misclick,0.05,20,studentt,50,25,0.01,-6.0,False,0.76
ackley,logei,11,misclick,0.15,20,studentt,50,10,0.01,7.0,False,1.7
ackley,logei,11,misclick,0.15,20,studentt,50,25,0.01,-6.0,False,0.76
ackley,logei,11,misclick,0.4,20,studentt,50,10,0.01,7.0,False,1.7
ackley,logei,11,misclick,0.4,20,studentt,50,25,0.01,-6.0,False,0.76
ackley,logei,7,misclick,0.01,0,studentt,50,10,0.01,0.0,False,1.0
ackley,logei,7,misclick,0.01,0,studentt,50,25,0.01,8.0,False,1.32
ackley,logei,7,misclick,0.05,0,studentt,50,10,0.01,0.0,False,1.0
ackley,logei,7,misclick,0.05,0,studentt,50,25,0.01,29.0,True,2.16
ackley,logei,7,misclick,0.15,0,studentt,50,10,0.01,0.0,False,1.0
