dataset,error_model,jitter_std,jitter_iteration,mean,std,count,dz
rosenbrock,misclick,0.01,20,-4.248242260649547e-07,8.956137933871187e-07,10,-0.4743386370349584
michalewicz,misclick,0.05,0,-0.2475643047773522,0.5346569444940092,10,-0.4630339273188401
rosenbrock,misclick,0.05,0,-0.0031294518984401115,0.008801637091477365,10,-0.3555533892064652
steering_law,misclick,0.01,0,-2.9646889083161138e-05,8.72212308252302e-05,10,-0.33990450263842503
powell,misclick,0.01,20,-1.0864883538539999e-05,3.435777849425621e-05,10,-0.31622776601683794
steering_law,misclick,0.01,20,-2.2732979833017807e-07,7.18879942750105e-07,10,-0.31622776601683794
levy_10,misclick,0.01,20,-0.00101842384771269,0.003220538982204563,10,-0.31622776601683794
eggholder,misclick,0.01,20,-0.00094532778560789,0.002989388937964274,10,-0.3162277660168379
schwefel,misclick,0.01,20,-0.00802913209374382,0.02539034505058705,10,-0.3162277660168379
powell,misclick,0.05,0,-0.007462319786667599,0.025061592466567223,10,-0.2977592025176579
schwefel,misclick,0.05,20,-0.01821934539687814,0.06659390317020618,10,-0.2735887901075814
powell,misclick,0.15,0,-0.00343100119700537,0.01274554007853879,10,-0.2691922959610446
eggholder,misclick,0.05,20,-0.011912495481172871,0.04599152828697786,10,-0.2590149952582854
