model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters,p_fdr
primary,const,0.4754723202453074,0.1857661097863007,0.6814489832614319,0.0005,2000,0.42913271712734136,160,20,
primary,log_noise,0.24822847547579086,0.08330033323329818,0.4623738049759428,0.0005,2000,0.42913271712734136,160,20,0.0025
primary,dim,-0.010244889097196286,-0.25165785023483767,0.1281280028242065,0.873,2000,0.42913271712734136,160,20,0.873
primary,log_opt_z,0.3802805554902081,0.10014689964765422,0.511363356785921,0.004,2000,0.42913271712734136,160,20,0.01
primary,ruggedness,0.14854394075523594,-0.22509195812786764,0.3596767562192181,0.695,2000,0.42913271712734136,160,20,0.8687499999999999
primary,log_tail_ratio,0.1977831345295186,0.005509576026422132,0.41042893344314507,0.036,2000,0.42913271712734136,160,20,0.06
primary,onset_20,-0.3359668852246715,-0.5771589538979038,-0.13233585063357914,0.0005,2000,0.42913271712734136,160,20,
sensitivity,const,0.4754723202453077,0.18392894442570204,0.7083417863613043,0.001,2000,0.443233980789557,160,20,
sensitivity,log_noise,0.2482284754757914,0.08330033323329815,0.46237380497594305,0.0005,2000,0.443233980789557,160,20,0.0035
sensitivity,dim,-0.0023925000906996085,-0.198636821624298,0.1933570619430301,0.96,2000,0.443233980789557,160,20,0.96
sensitivity,log_opt_z,0.5442922968921584,-0.13410182795935563,1.4288952398165424,0.091,2000,0.443233980789557,160,20,0.21233333333333335
sensitivity,ruggedness,0.16910513869594057,-0.17620300823158414,0.3378039809946237,0.719,2000,0.443233980789557,160,20,0.8388333333333333
sensitivity,log_tail_ratio,0.1510258068255817,-0.013704619940676644,0.4147893751670259,0.074,2000,0.443233980789557,160,20,0.21233333333333335
sensitivity,log_sparsity,0.2570639388243859,-0.07943326067581864,0.7347500638306861,0.169,2000,0.443233980789557,160,20,0.29575
sensitivity,skew,0.06546301785436376,-0.3645165158351212,0.6568012879012943,0.582,2000,0.443233980789557,160,20,0.8148
sensitivity,onset_20,-0.33596688522467216,-0.5771589538979042,-0.13233585063357903,0.0005,2000,0.443233980789557,160,20,
