error_model,variant,jitter_std,jitter_iteration,k,tolerance,budget,n_runs,n_landscapes,mean_extra,ci_low,ci_high,median_extra,mean_extra_reached,mean_multiplier,censored_fraction
misclick,studentt,0.01,0,10,0.01,50,200,20,1.4,0.5650000000000002,2.4099999999999993,0.0,1.4,1.14,0.0
misclick,studentt,0.01,0,25,0.01,50,200,20,4.49,1.724625,7.741249999999994,0.5,1.1751412429378532,1.1796,0.115
misclick,studentt,0.01,20,10,0.01,50,200,20,1.3199999999999998,0.545,2.1901249999999997,0.0,1.32,1.1320000000000001,0.0
misclick,studentt,0.01,20,25,0.01,50,200,20,3.7400000000000007,1.2548749999999997,6.650499999999998,0.0,1.1923076923076923,1.1496000000000002,0.09
misclick,studentt,0.05,0,10,0.01,50,200,20,2.8999999999999995,1.83,4.029999999999999,0.0,2.505050505050505,1.29,0.01
misclick,studentt,0.05,0,25,0.01,50,200,20,7.394999999999999,4.954875000000001,10.115,2.0,2.7349397590361444,1.2957999999999998,0.17
misclick,studentt,0.05,20,10,0.01,50,200,20,1.455,0.55475,2.490124999999999,0.0,1.0606060606060606,1.1455000000000002,0.01
misclick,studentt,0.05,20,25,0.01,50,200,20,4.36,1.675,7.5001250000000015,0.0,0.7714285714285715,1.1743999999999999,0.125
misclick,studentt,0.15,0,10,0.01,50,200,20,7.63,5.5348749999999995,9.794999999999998,1.0,4.1923076923076925,1.7630000000000001,0.09
misclick,studentt,0.15,0,25,0.01,50,200,20,14.145000000000001,11.26975,17.03074999999999,13.0,5.43609022556391,1.5657999999999999,0.335
misclick,studentt,0.15,20,10,0.01,50,200,20,1.4300000000000002,0.544875,2.4351249999999993,0.0,1.2311557788944723,1.143,0.005
misclick,studentt,0.15,20,25,0.01,50,200,20,5.1049999999999995,2.0792500000000005,8.690125,0.0,0.9707602339181286,1.2042000000000002,0.145
misclick,studentt,0.4,0,10,0.01,50,200,20,16.205000000000002,12.768625000000002,19.91525,8.0,8.281045751633988,2.6205000000000003,0.235
misclick,studentt,0.4,0,25,0.01,50,200,20,23.115000000000002,20.244749999999996,25.8505,28.0,9.08860759493671,1.9245999999999999,0.605
misclick,studentt,0.4,20,10,0.01,50,200,20,1.345,0.5398749999999999,2.2401249999999995,0.0,0.9494949494949495,1.1345,0.01
misclick,studentt,0.4,20,25,0.01,50,200,20,6.835000000000001,3.5400000000000005,10.590374999999998,1.0,0.0457516339869281,1.2734,0.235
