dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_eggholder,composite,ei,extra_trees,gaussian,3.909988,0,10,"x0,x1",0.0,0.0,0.0,0.0,41.65572895206816,0.833114579041363,0.0
iso_eggholder,composite,random,extra_trees,gaussian,0.195499,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,0.781998,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,3.909988,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.195499,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.781998,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,3.909988,0,10,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,logei,extra_trees,gaussian,0.195499,0,11,"x0,x1",0.0,0.0,0.0,-0.03681231090934389,12.852166099327775,0.25704332198655555,-5.968010921264444
iso_eggholder,composite,logei,extra_trees,gaussian,0.781998,0,11,"x0,x1",0.0,0.0,0.0,0.17022345178550902,-27.359922912050493,-0.5471984582410097,1.244382114422855
iso_eggholder,composite,logei,extra_trees,gaussian,3.909988,0,11,"x0,x1",0.0,0.0,0.0,0.3010285136173634,48.2944054219366,0.9658881084387323,3.7780244467150723
iso_eggholder,composite,qnei,extra_trees,gaussian,0.195499,0,11,"x0,x1",0.0,0.0,0.0,0.09702216812147357,-4.202312457032889,-0.08404624914065773,3.6383313045552512
iso_eggholder,composite,qnei,extra_trees,gaussian,0.781998,0,11,"x0,x1",0.0,0.0,0.0,0.09702216812147357,16.477548219481434,0.32955096438962883,3.6383313045552512
iso_eggholder,composite,qnei,extra_trees,gaussian,3.909988,0,11,"x0,x1",0.0,0.0,0.0,0.09702216812147357,18.513589766461166,0.3702717953292236,3.6383313045552512
iso_eggholder,composite,ucb,extra_trees,gaussian,0.195499,0,11,"x0,x1",0.0,0.0,0.0,-0.7274533364970344,-15.662055483608498,-0.3132411096721699,-20.067117021548675
iso_eggholder,composite,ucb,extra_trees,gaussian,0.781998,0,11,"x0,x1",0.0,0.0,0.0,-0.05329457135092319,-3.9442957183933487,-0.07888591436786685,-0.7996256778970903
iso_eggholder,composite,ucb,extra_trees,gaussian,3.909988,0,11,"x0,x1",0.0,0.0,0.0,0.05479288232938506,102.66714171439939,2.053342834287988,1.880130550578997
iso_eggholder,composite,ei,extra_trees,gaussian,0.195499,0,11,"x0,x1",0.0,0.0,0.0,-0.2981393173339191,-18.104322881113134,-0.36208645762226244,-12.683749906146524
