delta_x0,delta_x1,delta_l2_norm,iteration,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,final_inference_simple_regret_true,auc_simple_regret_true,auc_inference_simple_regret_true,acq_opt_failures,acquisition,objective,jitter_std,jitter_iteration,iterations,seed,run_id,error_model,oracle_model,baseline,xi,kappa,runtime_sec,y_opt,dataset,param_columns
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,89.59658130412083,1.7919316260824167,0.49175032196275126,24.09576577617481,24.09576577617481,0.0,logei,composite,0.0,0,50,10,ba967820-8068-4ec3-a7ee-e2ec757c996d,none,extra_trees,True,0.01,2.0,10.438772499968763,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,104.66264153438031,2.0932528306876064,0.49175032196275126,24.09576577617481,24.09576577617481,0.0,logei,composite,0.195499,0,50,10,c29ca9fe-6e7a-404f-ba58-9713577c5e1d,gaussian,extra_trees,False,0.01,2.0,9.954396399960387,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,65.66080427691874,1.3132160855383748,0.8490556083883831,24.09576577617481,42.84310749033568,0.0,logei,composite,0.781998,0,50,10,b7fe2780-c48d-4111-a2d8-2a05e922d20f,gaussian,extra_trees,False,0.01,2.0,9.134034899994731,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,150.84224434249998,3.0168448868499995,2.718713811043963,24.09576577617481,135.70439175939785,0.0,logei,composite,3.909988,0,50,10,db1825e6-b142-42d8-9465-7582101b5b71,gaussian,extra_trees,False,0.01,2.0,8.639768799999729,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.892214667308736,0.33904656333385486,124.42753985238306,2.4885507970476612,0.33904656333385486,20.201819931137955,20.201819931137955,0.0,qnei,composite,0.0,0,50,10,0d717da8-bc5a-4c89-afc9-2fdd4880be17,none,extra_trees,True,0.01,2.0,10.421962400025222,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,117.7755579572633,2.355511159145266,0.5317719304028485,24.09576577617481,24.35590623103544,0.0,qnei,composite,0.195499,0,50,10,757bbc86-d065-458f-bdc2-5cad2f72aa8d,gaussian,extra_trees,False,0.01,2.0,8.565588299999945,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,134.74036709860536,2.694807341972107,1.1677843571029252,24.09576577617481,48.237640133816214,0.0,qnei,composite,0.781998,0,50,10,621da3ec-3d72-47ae-b6ff-3d5952e2aedf,gaussian,extra_trees,False,0.01,2.0,8.855571899970528,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,170.9361788006179,3.418723576012358,2.532700938530932,24.09576577617481,123.07389262795395,0.0,qnei,composite,3.909988,0,50,10,01a018de-01b6-4b5c-a03a-93f47b5965cf,gaussian,extra_trees,False,0.01,2.0,7.8145950000034645,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,130.40666504247855,2.608133300849571,0.49175032196275126,24.09576577617481,24.09576577617481,0.0,ucb,composite,0.0,0,50,10,ef536e6d-6f40-466a-af24-23df6ed56a60,none,extra_trees,True,0.01,2.0,7.806722200009972,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,132.98695068635377,2.659739013727075,0.5434216367302049,24.09576577617481,24.948342469837797,0.0,ucb,composite,0.195499,0,50,10,99fae72a-360c-4f0d-a083-14985ba69c10,gaussian,extra_trees,False,0.01,2.0,8.267150600033347,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,107.12643294767994,2.142528658953599,0.49175032196275126,24.09576577617481,24.09576577617481,0.0,ucb,composite,0.781998,0,50,10,e1822298-451e-41ff-9d7f-c3b373f2a0bf,gaussian,extra_trees,False,0.01,2.0,9.927443699969444,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,152.72045067442647,3.0544090134885296,0.49175032196275126,24.09576577617481,24.09576577617481,0.0,ucb,composite,3.909988,0,50,10,c9a1916f-516a-4c17-b707-3ac7b50667df,gaussian,extra_trees,False,0.01,2.0,9.964229999983218,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,101.08754417176561,2.0217508834353124,0.49175032196275126,24.09576577617481,24.09576577617481,0.0,ei,composite,0.0,0,50,10,d91b4168-368f-442d-816a-2ed19d3a9a97,none,extra_trees,True,0.01,2.0,10.740774100006092,3.2312612306425907,iso_eggholder,"x0,x1"
-130.61818813895127,-59.80127948505765,143.656897156915,0.0,2.7395109086798395,0.49175032196275126,96.79117844902628,1.9358235689805254,0.6760193234063125,24.09576577617481,31.558660334639043,0.0,ei,composite,0.195499,0,50,10,f0c47b03-fa4c-4e3b-9afa-a2707a1e0913,gaussian,extra_trees,False,0.01,2.0,10.290514799999073,3.2312612306425907,iso_eggholder,"x0,x1"
