iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-380.3441123643396,-0.7394688613222797,1.567258983679182,1.567258983679182,-1.3387277521627092,850.1430099626665,True,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.567258983679182,1.6377865473758768,1.6377865473758768,1.6377865473758768,1.6377865473758768,-1.3387277521627092,4.543773283217768,eggholder
2,103.93431820631804,-482.6224554271288,0.8415968216681381,0.8415968216681381,-1.3260358375542693,459.58793083486756,True,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.567258983679182,2.3634487093869208,4.001235256762797,1.6377865473758768,2.0006176283813986,-1.3387277521627092,4.543773283217768,eggholder
3,-360.5236893926851,438.48808751141837,-0.7350220338372151,-0.7350220338372151,-0.7350220338372151,0.0,False,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.567258983679182,3.940067564892274,7.941302821655071,1.6377865473758768,2.6471009405516903,-1.3387277521627092,4.543773283217768,eggholder
4,-439.88933001810244,-379.11147581511887,2.947362293179132,2.947362293179132,2.3037211741727988,1205.9512403068077,True,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.947362293179132,0.2576832378759266,8.198986059530998,0.2576832378759266,2.0497465148827496,2.3037211741727988,0.90132435688226,eggholder
5,459.08833617077767,124.80879902349602,-0.9373089677051462,-0.9373089677051462,-0.9373089677051462,0.0,False,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.947362293179132,4.142354498760205,12.341340558291204,0.2576832378759266,2.468268111658241,2.3037211741727988,0.90132435688226,eggholder
6,-134.15104130069403,11.663382326540955,-0.4027905931048722,-0.4027905931048722,-0.4027905931048722,0.0,False,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.947362293179132,3.607836124159931,15.949176682451135,0.2576832378759266,2.6581961137418557,2.3037211741727988,0.90132435688226,eggholder
7,166.75118337720244,-230.0837726606036,-1.0515707516355006,-1.0515707516355006,0.23139130188010693,658.7288570803395,True,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.947362293179132,4.256616282690559,20.205792965141693,0.2576832378759266,2.886541852163099,2.3037211741727988,0.90132435688226,eggholder
8,-370.72069338423773,294.95254477208766,-0.5572547598759213,-0.5572547598759213,-1.3178631360355724,649.1413997434548,True,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.947362293179132,3.76230029093098,23.968093256072674,0.2576832378759266,2.9960116570090842,2.3037211741727988,0.90132435688226,eggholder
9,174.4492381209434,12.679489006756285,-1.6355165446093856,-1.6355165446093856,-0.6622714823185454,256.7486946266982,True,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.947362293179132,4.840562075664444,28.808655331737118,0.2576832378759266,3.2009617035263465,2.3037211741727988,0.90132435688226,eggholder
10,324.33811043292985,50.253075322906966,0.716341728939075,0.716341728939075,0.5079418391383349,731.2693376630831,True,True,0.0,random,0.0,False,11,e0536363-5bea-48a0-880d-a44ddb8429fa,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.947362293179132,2.4887038021159835,31.2973591338531,0.2576832378759266,3.1297359133853098,2.3037211741727988,0.90132435688226,eggholder
