error_model,variant,jitter_std,jitter_iteration,k,tolerance,budget,n_runs,n_landscapes,mean_extra,ci_low,ci_high,median_extra,mean_extra_reached,mean_multiplier,censored_fraction
gaussian,noise-self_report_conf-r0,0.25,0,10,0.01,50,200,20,7.045,4.903999999999999,9.615749999999995,1.0,3.216666666666667,1.7045,0.1
gaussian,noise-self_report_conf-r0,0.25,0,25,0.01,50,200,20,11.775000000000002,8.934750000000001,15.16525,4.5,2.323741007194245,1.4709999999999999,0.305
gaussian,noise-self_report_conf-r0,1.0,0,10,0.01,50,200,20,14.365,11.494875,17.370125,5.0,5.967320261437909,2.4365,0.235
gaussian,noise-self_report_conf-r0,1.0,0,25,0.01,50,200,20,21.494999999999997,18.88475,24.110125000000004,27.0,5.392857142857143,1.8598000000000001,0.58
