dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
ackley,logei,10,gaussian,0.25,0,noise-self_report_conf-r0,50,10,0.01,-3.0,False,0.7
ackley,logei,10,gaussian,0.25,0,noise-self_report_conf-r0,50,25,0.01,30.0,True,2.2
ackley,logei,10,gaussian,1.0,0,noise-self_report_conf-r0,50,10,0.01,11.0,False,2.1
ackley,logei,10,gaussian,1.0,0,noise-self_report_conf-r0,50,25,0.01,30.0,True,2.2
ackley,logei,11,gaussian,0.25,0,noise-self_report_conf-r0,50,10,0.01,2.0,False,1.2
ackley,logei,11,gaussian,0.25,0,noise-self_report_conf-r0,50,25,0.01,-11.0,False,0.56
ackley,logei,11,gaussian,1.0,0,noise-self_report_conf-r0,50,10,0.01,1.0,False,1.1
ackley,logei,11,gaussian,1.0,0,noise-self_report_conf-r0,50,25,0.01,-7.0,False,0.72
ackley,logei,7,gaussian,0.25,0,noise-self_report_conf-r0,50,10,0.01,-2.0,False,0.8
ackley,logei,7,gaussian,0.25,0,noise-self_report_conf-r0,50,25,0.01,10.0,False,1.4
ackley,logei,7,gaussian,1.0,0,noise-self_report_conf-r0,50,10,0.01,-1.0,False,0.9
ackley,logei,7,gaussian,1.0,0,noise-self_report_conf-r0,50,25,0.01,29.0,True,2.16
ackley,logei,8,gaussian,0.25,0,noise-self_report_conf-r0,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,0.25,0,noise-self_report_conf-r0,50,25,0.01,3.0,False,1.12
ackley,logei,8,gaussian,1.0,0,noise-self_report_conf-r0,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,1.0,0,noise-self_report_conf-r0,50,25,0.01,24.0,False,1.96
ackley,logei,9,gaussian,0.25,0,noise-self_report_conf-r0,50,10,0.01,0.0,False,1.0
ackley,logei,9,gaussian,0.25,0,noise-self_report_conf-r0,50,25,0.01,-6.0,False,0.76
