iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.5137940632577207,0.5634129436430002,True,0.04961888038527951,logei,0.0,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,2.541106878898007,2.541106878898007,2.541106878898007,2.541106878898007,0.5137940632577207,2.541106878898007,hartmann_3
2,0.028689008371944547,0.14792608457745593,0.9282110229603695,-0.31376576698332603,-0.3398945909573787,True,-0.02612882397405264,logei,0.0,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.3686667091390534,5.90977358803706,2.541106878898007,2.95488679401853,0.5137940632577207,2.541106878898007,hartmann_3
3,0.07042057615419683,0.12977394939929798,0.9483284532917751,-0.4727011274378231,-0.6096018290156275,True,-0.13690070157780443,logei,0.0,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.527602069593551,9.43737565763061,2.541106878898007,3.14579188587687,0.5137940632577207,2.541106878898007,hartmann_3
4,0.6218835927963828,0.368993123729791,0.5113900218032627,-0.6166682040543563,-1.1187244475789124,True,-0.5020562435245561,logei,0.0,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.671569146210084,13.108944803840695,2.541106878898007,3.2772362009601737,0.5137940632577207,2.541106878898007,hartmann_3
5,0.6628429525167993,0.2753088157611293,0.13796807286695534,-0.6066610395455705,-0.6160021747517065,True,-0.009341135206135998,logei,0.0,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.661561981701298,16.770506785541993,2.541106878898007,3.354101357108399,0.5137940632577207,2.541106878898007,hartmann_3
6,0.02603613979225064,0.4613793990748017,0.6305037054125225,0.5710646167935397,0.48825617272131494,True,-0.08280844407222476,logei,0.49497709999559447,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,0.5710646167935397,2.483836325362188,19.25434311090418,2.483836325362188,3.2090571851506966,0.5137940632577207,2.541106878898007,hartmann_3
7,0.0968634074861771,0.6470084128922674,0.6661505892142067,1.5616441761222914,1.3938681689047983,True,-0.1677760072174932,logei,0.6584983000066131,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,1.5616441761222914,1.4932567660334362,20.747599876937617,1.4932567660334362,2.9639428395625167,1.5616441761222914,1.4932567660334362,hartmann_3
8,0.06598721231985899,0.7791557926162371,0.6476636129281386,1.810044957120641,1.7262076281404968,True,-0.08383732898014418,logei,0.5353050999692641,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,1.810044957120641,1.2448559850350867,21.992455861972704,1.2448559850350867,2.749056982746588,1.810044957120641,1.2448559850350867,hartmann_3
9,0.09382555324373468,0.8465389622274196,1.0,0.032178628008307085,-0.02032364779428636,True,-0.052502275802593444,logei,0.6305601999629289,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,1.810044957120641,3.0227223141474204,25.015178176120124,1.2448559850350867,2.779464241791125,1.810044957120641,1.2448559850350867,hartmann_3
10,0.22363547855482452,0.8695405868380041,0.5998898840853258,2.0274708608325676,2.0568638259964245,True,0.02939296516385692,logei,0.46742609998909757,False,0,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.0274708608325676,1.02743008132316,26.042608257443284,1.02743008132316,2.6042608257443285,2.0274708608325676,1.02743008132316,hartmann_3
11,0.1971786621497951,0.9598303050967479,0.47597474130812223,1.384090070127889,0.9386101572201536,True,-0.4454799129077355,logei,0.5931016000104137,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.0274708608325676,1.6708108720278385,27.713419129471124,1.02743008132316,2.5194017390428294,2.0274708608325676,1.02743008132316,hartmann_3
12,0.33386897579816305,0.9574968105061825,0.6616181346400948,0.9997114432544024,0.7027463020530411,True,-0.2969651412013613,logei,0.5322621000232175,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.0274708608325676,2.055189498901325,29.768608628372448,1.02743008132316,2.480717385697704,2.0274708608325676,1.02743008132316,hartmann_3
13,0.2024238154265686,0.7888255661212508,0.6034689891080923,1.9803901103301949,2.176057284907578,True,0.19566717457738325,logei,0.5528852000134066,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.0274708608325676,1.0745108318255328,30.84311946019798,1.02743008132316,2.37254765078446,1.9803901103301949,1.0745108318255328,hartmann_3
14,0.0,0.8015788246092949,0.5737629085742717,2.0453566008618296,1.4811273439769426,True,-0.564229256884887,logei,0.7542096000397578,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.0453566008618296,1.009544341293898,31.85266380149188,1.009544341293898,2.275190271535134,1.9803901103301949,1.0745108318255328,hartmann_3
15,0.26204813444136765,0.7836003067568217,0.5153274529257654,1.6698389737449615,1.3877390943673216,True,-0.2820998793776399,logei,0.5824461999582127,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.0453566008618296,1.3850619684107661,33.237725769902646,1.009544341293898,2.2158483846601764,1.9803901103301949,1.0745108318255328,hartmann_3
16,0.1638461812183026,0.8196907000785548,0.5962163622389877,2.1188161173729783,1.8743049559320224,True,-0.24451116144095586,logei,0.583329799992498,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.1188161173729783,0.9360848247827493,34.17381059468539,0.9360848247827493,2.135863162167837,1.9803901103301949,1.0745108318255328,hartmann_3
17,0.3704176533890858,0.783289540998548,0.6002909949371575,1.5408085041803845,1.3036497909285734,True,-0.23715871325181115,logei,0.6575679000234231,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.1188161173729783,1.514092437975343,35.687903032660735,0.9360848247827493,2.0992884136859256,1.9803901103301949,1.0745108318255328,hartmann_3
18,0.17579769172478305,0.8044953449374423,0.6017480996002478,2.058044247258588,1.758078228306504,True,-0.2999660189520841,logei,0.48897350003244355,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.1188161173729783,0.9968566948971396,36.684759727557875,0.9360848247827493,2.0380422070865487,1.9803901103301949,1.0745108318255328,hartmann_3
19,0.1705598686914733,0.8093665403928093,0.5989836940990184,2.0837970388504714,1.7525702250274346,True,-0.33122681382303676,logei,0.5021128000225872,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.1188161173729783,0.9711039033052562,37.65586363086313,0.9360848247827493,1.981887559519112,1.9803901103301949,1.0745108318255328,hartmann_3
20,0.17960337059435819,0.8002171026830824,0.6328568976327004,1.8931591714069862,1.5367750737284116,True,-0.3563840976785746,logei,0.49501860002055764,False,1,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.1188161173729783,1.1617417707487414,38.81760540161187,0.9360848247827493,1.9408802700805936,1.9803901103301949,1.0745108318255328,hartmann_3
21,0.17034966523127196,0.8384249917363146,0.5826291952069127,2.177767606712359,1.5035057404379888,True,-0.67426186627437,logei,0.66811610001605,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.177767606712359,0.8771333354433688,39.69473873705524,0.8771333354433688,1.8902256541454876,1.9803901103301949,1.0745108318255328,hartmann_3
22,0.16468256933771624,0.8016907501825837,0.589314217452736,2.1013815565298564,1.7887030864745768,True,-0.3126784700552796,logei,0.36691660003270954,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.177767606712359,0.9535193856258712,40.64825812268111,0.8771333354433688,1.847648096485505,1.9803901103301949,1.0745108318255328,hartmann_3
23,0.16526541361340122,0.7985244692464755,0.5891606050599119,2.092670453304798,1.4040314722281475,True,-0.6886389810766507,logei,0.44362619996536523,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.177767606712359,0.9622304888509294,41.61048861153204,0.8771333354433688,1.8091516787622626,1.9803901103301949,1.0745108318255328,hartmann_3
24,0.1620854653997411,0.8116961444394499,0.5911851268626512,2.1224153779694332,1.0256098481211833,True,-1.09680552984825,logei,0.43368800001917407,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.177767606712359,0.9324855641862944,42.542974175718335,0.8771333354433688,1.772623923988264,1.9803901103301949,1.0745108318255328,hartmann_3
25,0.16148971747715754,0.7881488656266332,0.6190243758435051,1.963275756778849,1.1478493156182625,True,-0.8154264411605865,logei,0.5238517000107095,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.177767606712359,1.0916251853768786,43.63459936109521,0.8771333354433688,1.7453839744438084,1.9803901103301949,1.0745108318255328,hartmann_3
26,0.15008823454392742,0.7864779260121504,0.5840934206468038,2.0766784123060305,1.1980358675816758,True,-0.8786425447243547,logei,0.5712324999622069,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.177767606712359,0.9782225298496972,44.61282189094491,0.8771333354433688,1.7158777650363426,1.9803901103301949,1.0745108318255328,hartmann_3
27,0.1502491023213954,0.8429072640680825,0.5889147623654334,2.181254771608384,1.0977733291146952,True,-1.0834814424936887,logei,0.5543419999885373,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,0.8736461705473437,45.48646806149225,0.8736461705473437,1.684684002277491,1.9803901103301949,1.0745108318255328,hartmann_3
28,0.1635179136005591,0.7835449506337194,0.6112748419615183,1.983590782932693,1.2100477560930245,True,-0.7735430268396686,logei,0.5059144999831915,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.0713101592230345,46.557778220715285,0.8736461705473437,1.6627777935969745,1.9803901103301949,1.0745108318255328,hartmann_3
29,0.1580355108692787,0.785206419787861,0.5983385614910061,2.036447938264357,1.4517270763533676,True,-0.5847208619109896,logei,0.9737790999934077,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.0184530038913704,47.57623122460666,0.8736461705473437,1.6405596974002297,1.9803901103301949,1.0745108318255328,hartmann_3
30,0.1590806643418877,0.784164194647745,0.6002727925421847,2.0268230741342106,1.3159005110710345,True,-0.7109225630631761,logei,0.6607048999867402,False,2,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.028077868021517,48.60430909262818,0.8736461705473437,1.6201436364209392,1.9803901103301949,1.0745108318255328,hartmann_3
31,0.1606421373089428,0.7882349724574417,0.6106434513223225,2.0003750255444013,1.796386744017025,True,-0.20398828152737636,logei,0.5716738000046462,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.0545259166113263,49.6588350092395,0.8736461705473437,1.601897903523855,1.9803901103301949,1.0745108318255328,hartmann_3
32,0.16246510414043372,0.7885897138484427,0.6090731117410618,2.0059758622771513,2.329415927512948,True,0.3234400652357965,logei,0.6378708999836817,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.0489250798785763,50.70776008911808,0.8736461705473437,1.58461750278494,2.0059758622771513,1.0489250798785763,hartmann_3
33,0.1602070176202196,0.7819126472061717,0.5918001224402868,2.0400050221590473,1.885619532711742,True,-0.15438548944730535,logei,0.7673498000367545,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.0148959199966803,51.722656009114765,0.8736461705473437,1.5673532123974172,1.9803901103301949,1.0745108318255328,hartmann_3
34,0.16679218821498712,0.7898035503932656,0.620449339864701,1.95556714166662,1.9118579668936033,True,-0.043709174773016723,logei,0.7406182000413537,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.0993338004891076,52.82198980960387,0.8736461705473437,1.5535879355765845,1.9803901103301949,1.0745108318255328,hartmann_3
35,0.16279301370590454,0.786061627564143,0.5974109781458283,2.0376967530832446,1.8396693023384754,True,-0.19802745074476924,logei,0.7054222000297159,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.017204189072483,53.83919399867635,0.8736461705473437,1.5382626856764672,1.9803901103301949,1.0745108318255328,hartmann_3
36,0.16583369058235173,0.7925221512813417,0.6184904538853463,1.971055033384982,1.873304055654046,True,-0.097750977730936,logei,0.7486023000092246,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.0838459087707457,54.9230399074471,0.8736461705473437,1.525639997429086,2.1013815565298564,0.9535193856258712,hartmann_3
37,0.16513100737358222,0.7983470718946898,0.5883799399371732,2.094038598550331,1.6807354071922722,True,-0.4133031913580587,logei,0.6701975999749266,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,0.9608623436053967,55.8839022510525,0.8736461705473437,1.5103757365149324,2.1013815565298564,0.9535193856258712,hartmann_3
38,0.1667109201950195,0.7917291778538782,0.6291940717356533,1.9149548561767966,1.4580133103489632,True,-0.4569415458278334,logei,0.7131328000104986,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,1.139946085978931,57.02384833703143,0.8736461705473437,1.5006275878166166,2.0059758622771513,1.0489250798785763,hartmann_3
39,0.165312310728752,0.8058620689903574,0.5838896533101998,2.1230375781684447,2.2936072514291075,True,0.17056967326066275,logei,0.7189749000244774,False,3,11,a42f150c-743a-4912-9715-b85ec0a801a6,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2",3.0549009421557276,2.181254771608384,0.9318633639872829,57.955711701018714,0.8736461705473437,1.4860438897697106,2.0059758622771513,1.0489250798785763,hartmann_3
