iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,7.404984079401693,-4.263655818248893,2.062963001031237,5.550681658403576,4.321492592071305,8.307602409810151,7.207872983657694,8.36475258097525,-9.468245310648056,-1.2550399974098259,-0.30111346045423915,0.568215037462527,,0.568215037462527,0.0,False,True,,ucb,0.0,False,True,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,2.056265294316085,2.056265294316085,2.056265294316085,2.056265294316085,0.568215037462527,2.056265294316085,levy_10
2,-8.69691605259785,-9.887478986412141,6.612428739425141,9.666044885723512,5.692197053453592,-3.687930200434537,4.106674091789076,-4.016378536035066,4.814969657514974,-4.40505560503426,5.65181830656263,-1.043746709453171,-1.043746709453171,-1.043746709453171,0.0,False,True,0.0,ucb,0.0,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,3.6682270412317832,5.724492335547868,2.056265294316085,2.862246167773934,-1.043746709453171,3.6682270412317832,levy_10
3,9.754814937891535,9.72477098560477,7.6572513399335165,8.256201035678359,4.164138282063449,1.0899375452701747,8.46476416140441,-8.205384402913749,-2.5973690971998504,2.118778870185258,-0.4454020616262877,-0.2721350099698567,-0.2721350099698567,-0.2721350099698567,0.0,False,True,0.0,ucb,0.0,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,2.896615341748469,8.621107677296337,2.056265294316085,2.873702559098779,-0.2721350099698567,2.896615341748469,levy_10
4,5.857157609944565,-6.098272130419069,-8.754930051666731,-7.469631855201635,9.255631698343254,-7.344509255411391,-5.478033452736573,-2.458872580875626,2.468432826815919,5.641922613386054,-8.427022124614377,-1.3651369152315098,-1.3651369152315098,-1.3651369152315098,0.0,False,True,0.0,ucb,0.0,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,3.989617247010122,12.610724924306458,2.056265294316085,3.1526812310766146,-0.2721350099698567,2.896615341748469,levy_10
5,8.624749062860705,5.255834486975727,-3.580717645513869,-6.213359611435381,1.9190577557406634,1.8937845352297913,-4.650632823390415,-6.612143738873215,5.32934514960316,3.453505051614414,6.004987014651622,0.09938149183251282,0.09938149183251282,0.09938149183251282,0.0,False,True,0.0,ucb,0.0,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,2.5250988399460996,15.135823764252558,2.056265294316085,3.0271647528505117,0.09938149183251282,2.5250988399460996,levy_10
6,10.0,10.0,1.0595155315487936,-4.450651042988237,-3.3489035460439225,9.120063924217842,-2.4945316867631346,-10.0,5.725212671972422,2.7403034125495336,10.0,-2.640715635103955,,-2.640715635103955,0.0,False,True,,ucb,0.3464029000024311,False,True,-1.3651369152315098,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,5.265195966882567,20.401019731135126,2.056265294316085,3.4001699551891877,0.09938149183251282,2.5250988399460996,levy_10
7,10.0,10.0,-6.303180527938094,-9.609316492280284,5.2329183509340105,0.4524600104912159,-0.6877802264704423,-9.947493161236865,-3.5342348767850083,10.0,10.0,-4.497968319851341,,-4.497968319851341,0.0,False,True,,ucb,0.7764470000402071,False,True,-1.3651369152315098,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,7.122448651629954,27.52346838276508,2.056265294316085,3.9319240546807257,0.09938149183251282,2.5250988399460996,levy_10
8,8.697487417239776,5.800737590731933,1.7282801368647438,1.543124766178187,3.7505267982991386,0.08774390933630329,1.1419365527138001,-6.16730334072024,2.4747298256601984,1.87899021255489,1.0909171343235313,1.1446935254170194,1.1446935254170194,1.1446935254170194,0.0,False,True,0.0,ucb,0.5149559000274166,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.1446935254170194,1.4797868063615929,29.003255189126673,1.4797868063615929,3.625406898640834,1.1446935254170194,1.4797868063615929,levy_10
9,8.13050562431503,3.786197472956982,1.8082631862972511,4.563878134873896,4.984066956478563,-4.082301818160612,-2.4126589451781295,-1.4252671162017314,8.99393624899646,-3.494800625077284,0.30231964537268974,1.2566009490228378,1.2566009490228378,1.2566009490228378,0.0,False,True,0.0,ucb,0.5232426000293344,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.2566009490228378,1.3678793827557745,30.371134571882447,1.3678793827557745,3.3745705079869386,1.2566009490228378,1.3678793827557745,levy_10
10,10.0,2.7146920672785173,5.555791635222499,-1.0286815886621445,-3.427698577448256,9.178483398579262,-5.077468179973921,-8.956678282659485,6.330308674689208,1.6543178466391666,-1.0773297458386577,-0.60570087874338,-0.60570087874338,-0.60570087874338,0.0,False,True,0.0,ucb,1.0018542999750935,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.2566009490228378,3.2301812105219923,33.60131578240444,1.3678793827557745,3.360131578240444,1.2566009490228378,1.3678793827557745,levy_10
11,3.2943535711346033,3.912552544077222,-4.525784586332059,1.7383427889615277,5.113835273002931,-3.203929293792525,8.187311391116348,-3.2102873765398843,5.028032420080603,-0.8319617481865023,0.4793217230927929,1.7298493157965877,1.7298493157965877,1.7298493157965877,0.0,False,True,0.0,ucb,0.6971987000433728,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.7298493157965877,0.8946310159820245,34.49594679838646,0.8946310159820245,3.1359951634896785,1.7298493157965877,0.8946310159820245,levy_10
12,3.335829008134817,3.2398841853620635,-4.719834447904016,6.733886538983228,3.332279271784441,-5.76446660958886,4.270381704710104,-3.821652795267635,-8.327721772550191,2.1584490079109684,1.6274869793177242,1.476626435368811,,1.476626435368811,0.0,False,True,,ucb,0.6477046000072733,False,True,-0.8685283771692545,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.7298493157965877,1.1478538964098013,35.64380069479626,0.8946310159820245,2.9703167245663553,1.7298493157965877,0.8946310159820245,levy_10
13,2.7060611721090435,6.97152547700072,-2.4032520176025707,-0.05147023462938356,9.716897423195809,-1.827108722655155,10.0,-5.818760355356127,7.637145202698777,0.8287274878804407,-1.4193322100515813,-0.5613328785340692,-0.5613328785340692,-0.5613328785340692,0.0,False,True,0.0,ucb,0.592055499961134,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.7298493157965877,3.1858132103126815,38.82961390510894,0.8946310159820245,2.9868933773160724,1.7298493157965877,0.8946310159820245,levy_10
14,0.7150025729390979,4.303364651432601,-7.188673016851459,2.6628702355030134,3.164764280656015,-0.6123128707452612,10.0,-3.2995765211144774,6.370766152387014,-2.305035862288936,-4.326180098482793,0.2878276485512225,0.2878276485512225,0.2878276485512225,0.0,False,True,0.0,ucb,0.592825300002005,False,False,,9,8d1167c9-1eec-4244-b1c1-02019499b3c5,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.7298493157965877,2.3366526832273897,41.166266588336335,0.8946310159820245,2.940447613452595,1.7298493157965877,0.8946310159820245,levy_10
