iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,-1.587991309213067,-0.031504362662594376,True,1.5564869465504727,qnei,0.0,False,0,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,-1.587991309213067,2.8380467751131357,2.8380467751131357,2.8380467751131357,2.8380467751131357,-1.587991309213067,2.8380467751131357,branin
2,3.1871083848551676,7.88548935820029,-0.2758751336528205,-1.3798188382943621,True,-1.1039437046415417,qnei,0.0,False,1,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,-0.2758751336528205,1.5259305995528891,4.363977374666025,1.5259305995528891,2.1819886873330123,-1.587991309213067,2.8380467751131357,branin
3,8.69896511696216,3.9108480653919395,0.9466005748160842,-4.629472315321478,True,-5.576072890137562,qnei,0.0,False,2,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,0.9466005748160842,0.3034548910839845,4.667432265750009,0.3034548910839845,1.5558107552500031,-1.587991309213067,2.8380467751131357,branin
4,4.378818731227988,3.7274890308935307,0.7051912849198183,2.120355907474645,True,1.415164622554827,qnei,0.0,False,3,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,0.9466005748160842,0.5448641809802504,5.21229644673026,0.3034548910839845,1.303074111682565,0.7051912849198183,0.5448641809802504,branin
5,1.0695359647277436,4.789654541627169,0.5640184516399775,0.5523656109040012,True,-0.011652840735976389,qnei,0.0,False,4,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,0.9466005748160842,0.6860370142600911,5.898333460990351,0.3034548910839845,1.17966669219807,0.7051912849198183,0.5448641809802504,branin
6,3.178445424863211,2.9794800608442253,1.2240263366914432,4.603431915037853,True,3.37940557834641,qnei,0.2368859999696724,False,0,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.026029129208625434,5.924362590198976,0.026029129208625434,0.9873937650331627,1.2240263366914432,0.026029129208625434,branin
7,2.8246218202394506,1.588606024340911,1.1842819612319873,0.09883458980181015,True,-1.085447371430177,qnei,0.22854650003137067,False,1,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.0657735046680814,5.990136094867058,0.026029129208625434,0.8557337278381512,1.2240263366914432,0.026029129208625434,branin
8,2.091620726710876,3.235452179789929,1.0191780280687899,-2.8436378448209574,True,-3.8628158728897475,qnei,0.23548989999108016,False,2,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.2308774378312788,6.221013532698336,0.026029129208625434,0.777626691587292,1.2240263366914432,0.026029129208625434,branin
9,3.5000036639943723,3.3009934806762087,1.141346864809553,4.645834961376535,True,3.5044880965669813,qnei,0.18725939997239038,False,3,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.10870860109051561,6.329722133788852,0.026029129208625434,0.7033024593098725,1.141346864809553,0.10870860109051561,branin
10,3.2442518044640534,3.9369069619553856,1.1026381819687887,2.038384524268631,True,0.9357463422998422,qnei,0.19407399999909103,False,4,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.14741728393127995,6.4771394177201325,0.026029129208625434,0.6477139417720132,1.141346864809553,0.10870860109051561,branin
11,3.5583775757171843,2.747798429429655,1.1819420337391529,3.476277715649948,True,2.2943356819107947,qnei,0.19599279999965802,False,0,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.06811343216091581,6.545252849881049,0.026029129208625434,0.5950229863528226,1.141346864809553,0.10870860109051561,branin
12,3.3328197303542284,3.15758770116921,1.1912013812434008,0.7136885254110099,True,-0.4775128558323909,qnei,0.2808954999782145,False,1,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.05885408465666786,6.604106934537716,0.026029129208625434,0.5503422445448097,1.141346864809553,0.10870860109051561,branin
13,3.8469346965527897,1.3973892534968007,1.1330562459852191,-1.2185711964368435,True,-2.3516274424220627,qnei,0.2912392999860458,False,2,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.11699921991484952,6.721106154452566,0.026029129208625434,0.5170081657271205,1.141346864809553,0.10870860109051561,branin
14,3.660797768692392,4.30223257457825,0.914444176622609,3.12951961084382,True,2.215075434221211,qnei,0.27855389995966107,False,3,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.33561128927745965,7.056717443730026,0.026029129208625434,0.5040512459807162,1.141346864809553,0.10870860109051561,branin
15,3.7628108122433614,3.476491889046103,1.0360893069305837,0.07591540286939313,True,-0.9601739040611905,qnei,0.26524540001992136,False,4,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.213966158969485,7.270683602699511,0.026029129208625434,0.4847122401799674,1.141346864809553,0.10870860109051561,branin
16,3.141892101009246,0.6153668303669911,1.1182713354222455,0.5579303875188877,True,-0.5603409479033579,qnei,0.3007967000012286,False,0,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.1317841304778231,7.402467733177334,0.026029129208625434,0.46265423332358335,1.141346864809553,0.10870860109051561,branin
17,3.548287110725086,5.183517633315559,0.7211762335625307,-1.1884644180324044,True,-1.9096406515949351,qnei,0.280460000038147,False,1,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,0.528879232337538,7.931346965514871,0.026029129208625434,0.46654982150087476,1.141346864809553,0.10870860109051561,branin
18,5.05108425971109,4.637425816261297,0.09089424808054246,-4.787452498582324,True,-4.878346746662866,qnei,0.29744750005193055,False,2,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2240263366914432,1.1591612178195263,9.090508183334398,0.026029129208625434,0.5050282324074665,1.141346864809553,0.10870860109051561,branin
19,3.2971943978884437,2.4750970608414784,1.2396541288676732,2.9147748151939377,True,1.6751206863262644,qnei,0.4010609000106342,False,3,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2396541288676732,0.01040133703239543,9.100909520366793,0.01040133703239543,0.47899523791404175,1.141346864809553,0.10870860109051561,branin
20,3.015262641092627,3.3665194756654517,1.1993980579685013,2.4958242645780504,True,1.296426206609549,qnei,0.2972883000038564,False,4,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2396541288676732,0.050657407931567366,9.15156692829836,0.01040133703239543,0.457578346414918,1.141346864809553,0.10870860109051561,branin
21,0.39531249574991795,5.81705573821118,0.3577214627716336,0.9419973169847742,True,0.5842758542131405,qnei,0.2452898999908939,False,0,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2396541288676732,0.892334003128435,10.043900931426794,0.01040133703239543,0.4782809967346092,1.141346864809553,0.10870860109051561,branin
22,0.9533928207211978,7.5361699761676055,0.11189109551721298,-2.0222887096530884,True,-2.134179805170301,qnei,0.17467979999491945,False,1,8,1ea8e2f2-754b-46c4-88ac-2aa3bc478011,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1",1.2500554659000687,1.2396541288676732,1.1381643703828557,11.18206530180965,0.01040133703239543,0.5082756955368023,1.141346864809553,0.10870860109051561,branin
