iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.3269722766055607,0.9872768433379255,0.31871083848551673,-0.5371018995290565,-0.5371018995290565,-0.5371018995290565,0.0,False,True,0.0,ucb,0.0,False,False,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.5371018995290565,3.592002841684784,3.592002841684784,3.592002841684784,3.592002841684784,-0.5371018995290565,3.592002841684784,hartmann_3
2,0.7885489358200289,0.8698965116962161,0.391084806539194,-0.6314564796850167,,-0.6314564796850167,0.0,False,True,,ucb,0.0,False,True,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.5371018995290565,3.686357421840744,7.278360263525528,3.592002841684784,3.639180131762764,-0.5371018995290565,3.592002841684784,hartmann_3
3,0.4378818731227988,0.37274890308935305,0.10695359647277436,-0.7389082132097465,,-0.7389082132097465,0.0,False,True,,ucb,0.0,False,True,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.5371018995290565,3.7938091553654743,11.072169418891002,3.592002841684784,3.690723139630334,-0.5371018995290565,3.592002841684784,hartmann_3
4,0.47896545416271696,0.24135214508468228,0.25714524855112975,-0.12261625756300014,-0.12261625756300014,-0.12261625756300014,0.0,False,True,0.0,ucb,0.0,False,False,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.12261625756300014,3.1775171997187277,14.24968661860973,3.1775171997187277,3.5624216546524323,-0.12261625756300014,3.1775171997187277,hartmann_3
5,0.1847315568344149,0.1938645489043107,0.813827670155021,0.26719788296726216,0.26719788296726216,0.26719788296726216,0.0,False,True,0.0,ucb,0.0,False,False,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.26719788296726216,2.7877030591884653,17.037389677798195,2.7877030591884653,3.407477935559639,0.26719788296726216,2.7877030591884653,hartmann_3
6,0.5244685042588709,0.0,1.0,-0.8931613992420313,-0.8931613992420313,-0.8931613992420313,0.0,False,True,0.0,ucb,0.20512249995954335,False,False,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.26719788296726216,3.948062341397759,20.985452019195954,2.7877030591884653,3.497575336532659,0.26719788296726216,2.7877030591884653,hartmann_3
7,0.19301259585134903,0.1814426394805852,0.472695593877787,-0.6601702835137153,,-0.6601702835137153,0.0,False,True,,ucb,0.38475070003187284,False,True,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.26719788296726216,3.715071225669443,24.700523244865398,2.7877030591884653,3.528646177837914,0.26719788296726216,2.7877030591884653,hartmann_3
8,0.19301259251047997,0.1814424222174061,0.4726956363484992,-0.6601704208169314,,-0.6601704208169314,0.0,False,True,,ucb,0.34151540003949776,False,True,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.26719788296726216,3.715071362972659,28.415594607838056,2.7877030591884653,3.551949325979757,0.26719788296726216,2.7877030591884653,hartmann_3
9,0.19301259032335474,0.1814425715447961,0.4726956174228694,-0.6601703495323242,-0.6601703495323242,-0.6601703495323242,0.0,False,True,0.0,ucb,0.38361979997716844,False,False,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.26719788296726216,3.715071291688052,32.13066589952611,2.7877030591884653,3.570073988836234,0.26719788296726216,2.7877030591884653,hartmann_3
10,0.04302677947038643,0.2775890830257751,0.8677832262533847,0.9657327219208051,0.9657327219208051,0.9657327219208051,0.0,False,True,0.0,ucb,0.3428524999762885,False,False,8,ebbc5382-bc5c-4b53-b021-e974c3f42221,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.9657327219208051,2.0891682202349227,34.21983411976103,2.0891682202349227,3.421983411976103,0.9657327219208051,2.0891682202349227,hartmann_3
