iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.24904007775011222,0.24904007775011222,0.24904007775011222,0.0,False,True,0.0,logei,0.0,False,False,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.24904007775011222,2.8058608644056156,2.8058608644056156,2.8058608644056156,2.8058608644056156,0.24904007775011222,2.8058608644056156,hartmann_3
2,0.22520718999059186,0.30016628491122543,0.8735534453962619,1.1754030797677335,,1.1754030797677335,0.0,False,True,,logei,0.0,False,True,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1754030797677335,1.879497862387994,4.685358726793609,1.879497862387994,2.3426793633968046,0.24904007775011222,2.8058608644056156,hartmann_3
3,0.005265304565574724,0.8212284183827663,0.7970694287520462,1.1880648068824795,1.1880648068824795,1.1880648068824795,0.0,False,True,0.0,logei,0.0,False,False,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1880648068824795,1.866836135273248,6.552194862066857,1.866836135273248,2.184064954022286,1.1880648068824795,1.866836135273248,hartmann_3
4,0.4679349528437208,0.3030324268193135,0.2784256121007733,-0.26232363504763334,-0.26232363504763334,-0.26232363504763334,0.0,False,True,0.0,logei,0.0,False,False,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1880648068824795,3.317224577203361,9.869419439270217,1.866836135273248,2.4673548598175543,1.1880648068824795,1.866836135273248,hartmann_3
5,0.2548695876541246,0.4450763058826466,0.5045482589579533,-0.3085779726034354,,-0.3085779726034354,0.0,False,True,,logei,0.0,False,True,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1880648068824795,3.363478914759163,13.23289835402938,1.866836135273248,2.646579670805876,1.1880648068824795,1.866836135273248,hartmann_3
6,0.0,1.0,1.0,-0.6369908231132015,-0.6369908231132015,-0.6369908231132015,0.0,False,True,0.0,logei,0.14932120003504679,False,False,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1880648068824795,3.691891765268929,16.924790119298308,1.866836135273248,2.8207983532163845,1.1880648068824795,1.866836135273248,hartmann_3
7,0.0,0.677651820994828,0.7511795381154202,1.9962317533432337,1.9962317533432337,1.9962317533432337,0.0,False,True,0.0,logei,0.33922020002501085,False,False,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.9962317533432337,1.058669188812494,17.983459308110803,1.058669188812494,2.5690656154444005,1.9962317533432337,1.058669188812494,hartmann_3
8,0.0,0.6967288851614641,0.4121529813945382,0.2452027213609005,0.2452027213609005,0.2452027213609005,0.0,False,True,0.0,logei,0.29115369997452945,False,False,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.9962317533432337,2.809698220794827,20.79315752890563,1.058669188812494,2.599144691113204,1.9962317533432337,1.058669188812494,hartmann_3
9,0.0,0.5843751095962315,0.8180278198442225,2.89760873770619,,2.89760873770619,0.0,False,True,,logei,0.26284710003528744,False,True,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.89760873770619,0.15729220444953773,20.950449733355168,0.15729220444953773,2.327827748150574,1.9962317533432337,1.058669188812494,hartmann_3
10,0.0,0.5843751036119376,0.8180278177250374,2.8976087365529613,2.8976087365529613,2.8976087365529613,0.0,False,True,0.0,logei,0.2966411000234075,False,False,7,e7b0c0d3-9a44-45f7-abae-6e762577330c,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.89760873770619,0.15729220560276636,21.107741938957933,0.15729220444953773,2.1107741938957933,2.8976087365529613,0.15729220560276636,hartmann_3
