dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,metric,n_pairs,mean_diff,median_diff,std_diff,cohens_dz,ci95_low,ci95_high,dz_ci95_low,dz_ci95_high,t_stat,p_value_t,wilcoxon_stat,p_value_wilcoxon,p_value_t_fdr_bh,p_value_wilcoxon_fdr_bh
michalewicz,value,exact,slip,0,0.01,ei,auc_simple_regret_excess_true,5,-10.211398459412106,2.5087227820922067,22.788541665391595,-0.4480935467195739,-38.5071102168953,18.084313298071088,,,-1.0019676307439453,0.3730570439918975,6.0,0.8125,0.4466349589991772,0.896551724137931
michalewicz,value,exact,slip,0,0.01,logei,auc_simple_regret_excess_true,5,34.05945237273788,53.00975911157718,76.68388292734136,0.4441539874162281,-61.156164300614165,129.27506904608992,-0.5049855093699747,1.3460024390563623,0.9931585083402721,0.3768482466555558,4.0,0.4375,0.4466349589991772,0.56
michalewicz,value,exact,slip,0,0.01,pi,auc_simple_regret_excess_true,5,61.717040316413076,56.34952677916297,23.24220975394487,2.655386082897644,32.85802522623936,90.57605540658679,0.6727273500766657,4.609251463827747,5.9376237878660225,0.004034000228377669,0.0,0.0625,0.0645440036540427,0.24242424242424243
michalewicz,value,exact,slip,0,0.01,qnei,auc_simple_regret_excess_true,5,44.93933450356839,-1.19180116488036,81.2873922095633,0.5528450757494145,-55.99229391091548,145.87096291805227,-0.4261470582646909,1.4764866508527121,1.2361991704017115,0.2840137622029048,6.0,0.8125,0.40160989201380615,0.896551724137931
michalewicz,value,exact,slip,0,0.01,qucb,auc_simple_regret_excess_true,5,41.67028517296976,49.10683917491659,23.98763264823141,1.7371570502202967,11.885705311523601,71.45486503441592,0.25590823189449735,3.1587153277895466,3.8844012518855995,0.017774775909763403,0.0,0.0625,0.15384518733967306,0.24242424242424243
michalewicz,value,exact,slip,0,0.01,random,auc_simple_regret_excess_true,5,-1.097329958244336,3.5360660855298534,15.80414712497421,-0.0694330386554236,-20.720770465640335,18.52611054915166,-0.9430304449437497,0.8124728518840904,-0.15525699431789777,0.8841383324364367,5.0,0.625,0.8841383324364367,0.7272727272727273
michalewicz,value,exact,slip,0,0.01,sobol,auc_simple_regret_excess_true,5,-19.587267113142055,-23.148958637649514,23.051254492322393,-0.849726730476466,-48.20917992969156,9.034645703407449,,,-1.9000467316440202,0.13023183278074787,2.0,0.1875,0.2350278576069599,0.34285714285714286
michalewicz,value,exact,slip,0,0.01,ucb,auc_simple_regret_excess_true,5,-5.68043023721583,-34.15753101814738,47.43735877942265,-0.11974592142933312,-64.5816908035002,53.220830329068534,-0.9927977967546728,0.7675489060013915,-0.26776002034433766,0.8021241543494958,6.0,0.8125,0.8281885542359376,0.896551724137931
michalewicz,value,exact,slip,0,0.05,ei,auc_simple_regret_excess_true,5,46.18651660143202,25.042157990272216,41.90966285791204,1.102049347378908,-5.851202946094837,98.22423614895888,-0.07829797285397096,2.2108692755957096,2.464257255298518,0.06937329205819887,0.0,0.0625,0.2134285705888279,0.24242424242424243
michalewicz,value,exact,slip,0,0.05,logei,auc_simple_regret_excess_true,5,68.98778591538863,69.24481754520176,64.15021538482365,1.0754100434666571,-10.665227004964137,148.6407988357414,-0.09362081278438199,2.172923821326805,2.404689960877449,0.07397918537202107,1.0,0.125,0.21521217562769765,0.24242424242424243
