dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
steering_law,value,exact,gaussian,0,0.25,logei,5,2,1.2,0.19999999999999996,1.0,0.37469683542068566,0.03408351608759119,0.00764687419225889,5.082953984047343,0.0,True
steering_law,value,exact,gaussian,0,0.25,pi,5,2,1.8,0.8,2.0,2.8632593625998854,3.3286917994149494,0.05843386454285482,9.446314216520857,0.0,False
steering_law,value,exact,gaussian,0,1.0,logei,5,2,1.4,0.3999999999999999,1.2,8.048404495062249,3.0631120419464093,0.16425315296045406,12.756661643688906,0.0,True
steering_law,value,exact,gaussian,0,1.0,pi,5,2,1.6,0.6000000000000001,1.8,12.750728089888728,11.970977933746722,0.2602189406099741,19.3337829438097,0.0,False
steering_law,value,exact,gaussian,0,5.0,pi,5,2,1.2,0.19999999999999996,1.4,13.172694140625069,10.338681645948837,0.2688304926658177,19.75574899454604,0.0,True
steering_law,value,exact,gaussian,0,5.0,logei,5,2,1.8,0.8,1.6,20.063058965620886,22.04693092254564,0.40945018297185476,24.771316114247536,0.0,False
steering_law,value,exact,gaussian,20,0.25,logei,5,2,1.4,0.3999999999999999,1.0,0.0021808224733572247,0.0,7.520077494336531e-05,4.710437971100015,0.2524137594243232,True
steering_law,value,exact,gaussian,20,0.25,pi,5,2,1.6,0.6000000000000001,2.0,0.338236094588731,0.0034213409209407075,0.01166331360650796,6.9212909485097045,0.2962952232378143,False
steering_law,value,exact,gaussian,20,1.0,logei,5,2,1.2,0.19999999999999996,1.0,0.002229383490481407,0.0,7.687529277522226e-05,4.710486532117139,0.19253672658087076,True
steering_law,value,exact,gaussian,20,1.0,pi,5,2,1.8,0.8,2.0,0.29443993259253637,0.0034213409209407075,0.010153101123880572,6.877494786513509,0.11383951967235265,False
steering_law,value,exact,gaussian,20,5.0,logei,5,2,1.2,0.19999999999999996,1.0,0.002275474656004839,0.0,7.846464331051301e-05,4.7105326232826625,-0.2654930652223803,True
steering_law,value,exact,gaussian,20,5.0,pi,5,2,1.8,0.8,2.0,0.9089606076699877,0.0034213409209407075,0.031343469229999546,7.492015461590961,0.2346313334076274,False
