iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.7339685059847834,0.9010628369925916,1.8948457972282609,2.4426953628177106,2.2496147957845927,0.595848047753563,-4.2582590384034384,True,-4.8541070861570015,logei,0.0,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.451873118935415,7.451873118935415,7.451873118935415,7.451873118935415,0.595848047753563,7.451873118935415,michalewicz
2,2.8757514617751183,2.703006367468264,2.8847285896693013,0.08352783127899953,1.3736551050036934,0.19303114101745533,2.4159105838260087,True,2.222879442808553,logei,0.0,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.854690025671523,15.306563144606939,7.451873118935415,7.653281572303469,0.19303114101745533,7.854690025671523,michalewicz
3,1.5234975350318947,0.20468794780846922,0.017674759483104676,2.6094742043030985,3.089135106907805,-1.0527126446734347,4.413691042640275,True,5.46640368731371,logei,0.0,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,9.100433811362413,24.40699695596935,7.451873118935415,8.135665651989784,-1.0527126446734347,9.100433811362413,michalewicz
4,2.46492454909066,0.9914976055630428,2.215871184667501,0.939905061652722,2.327129991960237,1.006504808815746,-1.4676436754266953,True,-2.4741484842424413,logei,0.0,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.041216357873232,31.448213313842583,7.041216357873232,7.862053328460646,-1.0527126446734347,9.100433811362413,michalewicz
5,0.8788518104233879,2.4585818703609696,3.1030790740952976,3.0983597811058523,2.7735945546061833,-1.0537215195984087,-0.986679166344018,True,0.06704235325439067,logei,0.0,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101442686287387,40.54965600012997,7.041216357873232,8.109931200025994,-1.0527126446734347,9.100433811362413,michalewicz
6,0.1354638033593617,0.0,0.0,2.709239175718153,3.141592653589793,-1.0539382319151993,-0.02739895851109786,True,1.0265392734041014,logei,0.34345750004285946,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101659398604177,49.65131539873415,7.041216357873232,8.275219233122359,-1.0527126446734347,9.100433811362413,michalewicz
7,1.7252980241985478,0.0,0.0,1.5144529291469404,3.141592653589793,-1.0241785454611505,-2.7634492653912,True,-1.7392707199300497,logei,0.4900816000299528,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.07189971215013,58.723215110884276,7.041216357873232,8.389030730126326,-1.0527126446734347,9.100433811362413,michalewicz
8,1.7076959111086851,0.03562155347036791,0.0,2.8513154746196414,3.141592653589793,-1.025091994614194,3.2464461150827058,True,4.2715381096969,logei,0.35303059994475916,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.072813161303172,67.79602827218744,7.041216357873232,8.47450353402343,-1.0527126446734347,9.100433811362413,michalewicz
9,1.471957289886235,1.0579937036050033,0.0,2.615836912498477,3.1195021762077,-1.0531670177747918,-8.42593896260809,True,-7.372771944833298,logei,0.37324859999353066,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.10088818446377,76.89691645665121,7.041216357873232,8.544101828516801,-1.0527126446734347,9.100433811362413,michalewicz
10,2.3774052565942005,0.2641024332717293,0.0,2.8544783499499498,2.8703796110114776,-0.2510526497761892,0.9706546696285658,True,1.221707319404755,logei,0.5150920999585651,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.298773816465168,85.19569027311638,7.041216357873232,8.519569027311638,-1.0527126446734347,9.100433811362413,michalewicz
11,1.434354491144512,0.14684030721092048,1.3326649795489005,2.5678033113993357,3.141592653589793,0.6069556246527409,5.297899936834442,True,4.690944312181701,logei,0.5713736999896355,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.440765542036237,92.63645581515262,7.041216357873232,8.421495983195692,0.6069556246527409,7.440765542036237,michalewicz
12,1.5911218417816169,0.06268298736116266,2.569318755268106,2.470324473973815,2.382367563290883,0.07410941648194343,3.1558583174235477,True,3.081748900941604,logei,0.5426386999897659,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.973611750207035,100.61006756535966,7.041216357873232,8.384172297113304,0.6069556246527409,7.440765542036237,michalewicz
13,1.2448844787329323,0.22755879036686627,3.0331783091888718,2.7381685356123624,3.141592653589793,-1.0539307841009666,9.833996737560657,True,10.887927521661624,logei,1.6571055999957025,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101651950789945,109.7117195161496,7.041216357873232,8.439363039703816,-1.0539307841009666,9.101651950789945,michalewicz
14,1.0722206639268266,0.290391686530839,3.141592653589793,3.088165806784608,3.141592653589793,-1.0539382279134484,-1.755866259256033,True,-0.7019280313425846,logei,0.6083649999927729,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101659394602427,118.81337891075202,7.041216357873232,8.486669922196572,-1.0539307841009666,9.101651950789945,michalewicz
15,1.326715523545347,0.202407418549265,3.141592653589793,2.7199453520947876,1.8946751933918144,-1.0539241181291141,0.9222182413035891,True,1.9761423594327032,logei,0.5211592999985442,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101645284818092,127.91502419557011,7.041216357873232,8.527668279704674,-1.0539307841009666,9.101651950789945,michalewicz
16,1.5790531162645762,0.18123481686183163,3.141592653589793,2.721599657323638,3.141592653589793,-1.0517038164984953,-4.212625501633802,True,-3.160921685135307,logei,0.41652389999944717,False,1.5,9,ad4464c6-a513-4199-bc3d-7817fce7eae6,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.099424983187474,137.0144491787576,7.041216357873232,8.56340307367235,-1.0539307841009666,9.101651950789945,michalewicz
