iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.501909332093339,7.944276019391509,5.513713804903871,-5.495856200188163,-3.9966743017754913,7.471068907925236,-9.894693908688506,6.424568367655326,5.941388575040925,-0.641300943125584,-3.939351463613729,-0.44983930380907383,-0.04005937611972171,True,0.4097799276893521,logei,0.0,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.074319635587686,3.074319635587686,3.074319635587686,3.074319635587686,-0.44983930380907383,3.074319635587686,levy_10
2,-4.4314877579845335,-4.902608246917508,-1.0984738823470686,0.09096517915906688,1.0699470414898489,9.910005668687852,5.853238384275061,2.443584588823253,9.779202953637697,-5.693826035288021,-6.795759322843109,-0.6193893504772024,0.5847218047412154,True,1.2041111552184178,logei,0.0,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.2438696822558146,6.318189317843501,3.074319635587686,3.1590946589217506,-0.6193893504772024,3.2438696822558146,levy_10
3,2.250792085460615,-9.121159840772332,-9.286394424528076,0.29777640542740613,-0.675879493494218,8.343355463857044,2.5845250898202092,0.2823529319902782,-0.06253129212991482,-5.049701559453384,-9.764119489149882,0.48461625305099937,-0.0444808100912058,True,-0.5290970631422052,logei,0.0,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,2.139864078727613,8.458053396571113,2.139864078727613,2.8193511321903713,-0.6193893504772024,3.2438696822558146,levy_10
4,-6.151957120293787,3.840642417636783,-5.987865520260096,-2.609273787955866,-9.925315158958481,6.60095459603491,-6.910778378771203,-4.648013908724291,7.606643079616575,0.19581619736846356,6.943004927317386,-1.5068566253412978,-0.1167258207666999,True,1.390130804574598,logei,0.0,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,4.13133695711991,12.589390353691023,2.139864078727613,3.1473475884227557,-0.6193893504772024,3.2438696822558146,levy_10
5,2.794343338850524,4.835418947237143,-8.170087898739087,0.8228764275297742,0.15544472600699955,7.426787533857613,-2.774718819716848,1.9636813441442609,-8.814967153089928,-2.247363977785426,-3.539273074835867,1.5853975188741656,1.2523118106821833,True,-0.33308570819198224,logei,0.0,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.0390828129044467,13.62847316659547,1.0390828129044467,2.725694633319094,1.5853975188741656,1.0390828129044467,levy_10
6,3.384533171320659,10.0,-8.229619357254746,1.6544257915293643,1.213420353590196,6.790243924515953,-6.062797756682159,3.0436283458146858,-10.0,-0.4083491769711432,0.6791356626381931,-1.0512018167967847,-2.9065104290962367,True,-1.855308612299452,logei,0.44641900004353374,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,3.675682148575397,17.304155315170867,1.0390828129044467,2.8840258858618113,1.5853975188741656,1.0390828129044467,levy_10
7,4.522159923699108,3.581392456228585,-4.0902432066113565,-0.870342748563623,0.6573895367278567,7.951844725737478,-2.550624169416391,4.497036493867252,-7.188997663769847,-3.1920951936672837,-8.21725036107675,1.295599099877876,1.2523118106821833,True,-0.04328728919569258,logei,0.43772839999292046,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.3288812319007364,18.633036547071605,1.0390828129044467,2.661862363867372,1.5853975188741656,1.0390828129044467,levy_10
8,1.7986695657501093,3.3160830395595644,-10.0,4.60839677112842,1.6584613218189923,7.212928693014397,0.9308862744860853,-1.7021580201137916,-10.0,-2.7346853993138907,-1.2827061571823997,-1.0143429040093517,0.8299797274399665,True,1.8443226314493182,logei,0.350672599975951,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,3.6388232357879637,22.27185978285957,1.0390828129044467,2.783982472857446,1.5853975188741656,1.0390828129044467,levy_10
9,5.648484939980682,4.183212039466835,-10.0,-5.4084584240485425,-5.7578317768717975,7.0730615507929295,-7.800732699724754,3.3868867550882134,-10.0,-2.181431827777106,-9.017983333100865,-2.3816305513552063,-3.726345573602533,True,-1.3447150222473265,logei,1.2449491000152193,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,5.006110883133818,27.277970665993386,1.0390828129044467,3.0308856295548208,1.5853975188741656,1.0390828129044467,levy_10
10,-3.7669882618416346,4.729266635518711,-10.0,-0.23261915339103792,-2.608430798435412,8.064814946591861,-1.3993995610823615,-0.08518493809891234,-7.131257106303105,-2.217466275643332,0.4638464818404159,-0.16957922659067204,-0.34459521923355685,True,-0.1750159926428848,logei,0.7609828999848105,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,2.7940595583692844,30.07203022436267,1.0390828129044467,3.007203022436267,1.5853975188741656,1.0390828129044467,levy_10
11,5.2609123109151374,3.9247939092709436,-10.0,4.576492836513161,2.2313515464007914,6.6204756761621475,-1.3826217698107897,-0.5890042564645174,-10.0,-2.136826534586636,-2.3157798669197733,-1.3203917673433672,-2.722213084213827,True,-1.4018213168704599,logei,0.6055157000082545,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,3.9448720991219792,34.01690232348465,1.0390828129044467,3.092445665771332,1.5853975188741656,1.0390828129044467,levy_10
12,-0.821557912707559,4.726801109718605,-5.895570314367022,-2.881455887348753,-2.1730127114850357,8.475234004080274,-2.9547700848025387,3.9109309531982945,-6.573444145584879,-2.769161472214073,-4.856940604322514,0.19057902653124872,0.3732406214132355,True,0.18266159488198677,logei,0.7736997000174597,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,2.4339013052473635,36.45080362873201,1.0390828129044467,3.0375669690610008,1.5853975188741656,1.0390828129044467,levy_10
13,6.609657987137145,3.909107890155545,-4.353645750732243,0.03937735807105226,1.6473120830409382,7.5727625021017575,-3.0616025807501868,4.601250317967193,-8.180607370622202,-2.9777754110818884,-8.555421050299795,1.5564081778751842,1.1973999787722933,True,-0.35900819910289083,logei,1.1479705999954604,False,1.2523118106821833,7,2e28ff88-64ad-4ccc-8c7c-46e7b62bd654,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.0680721539034281,37.51887578263544,1.0390828129044467,2.8860673678950337,1.5853975188741656,1.0390828129044467,levy_10
