iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,379.1351848653667,-218.2991778943433,-0.7589797958595326,0.39308640856100996,True,1.1520662044205425,qnei,0.0,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,-0.7589797958595326,3.9640253269145913,3.9640253269145913,3.9640253269145913,3.9640253269145913,-0.7589797958595326,3.9640253269145913,eggholder
2,105.62370565279934,284.1949009102631,0.9657300948112961,0.8788331081677048,True,-0.08689698664359136,qnei,0.0,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,0.9657300948112961,2.2393154362437624,6.203340763158353,2.2393154362437624,3.1016703815791766,0.9657300948112961,2.2393154362437624,eggholder
3,221.26042071405084,425.3492433822797,-1.4386092571271623,-0.8393623575074262,True,0.5992468996197361,qnei,0.0,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,0.9657300948112961,4.643654788182221,10.846995551340575,2.2393154362437624,3.6156651837801914,0.9657300948112961,2.2393154362437624,eggholder
4,369.04309676327387,428.2753321459327,-0.13131650356244426,-1.2664382650021238,True,-1.1351217614396796,qnei,0.0,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,0.9657300948112961,3.336362034617503,14.183357585958078,2.2393154362437624,3.5458393964895194,0.9657300948112961,2.2393154362437624,eggholder
5,-484.77415990518045,-64.25804786738308,-0.5776674838730664,-0.38302472770657253,True,0.1946427561664939,qnei,0.0,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,0.9657300948112961,3.782713014928125,17.9660706008862,2.2393154362437624,3.5932141201772403,0.9657300948112961,2.2393154362437624,eggholder
6,-122.29196816757539,268.8383213350416,-0.6349804589475027,-0.9455958102632394,True,-0.3106153513157367,qnei,0.2744873000192456,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,0.9657300948112961,3.8400259900025615,21.806096590888764,2.2393154362437624,3.634349431814794,0.9657300948112961,2.2393154362437624,eggholder
7,140.79005290804363,226.719692043534,-0.6911368881524619,-0.6004882062088774,True,0.09064868194358444,qnei,0.2626252000336535,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,0.9657300948112961,3.8961824192075207,25.702279010096284,2.2393154362437624,3.6717541442994692,0.9657300948112961,2.2393154362437624,eggholder
8,91.3869846669371,307.4606734582976,0.9233247606981614,1.4473299719196908,True,0.5240052112215294,qnei,0.29063449997920543,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,0.9657300948112961,2.2817207703568974,27.983999780453182,2.2393154362437624,3.4979999725566477,0.9233247606981614,2.2817207703568974,eggholder
9,70.15982701154485,341.7150530370184,1.0738197090955162,1.6820757084882032,True,0.608255999392687,qnei,0.2910945999901742,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,1.0738197090955162,2.131225821959543,30.115225602412725,2.131225821959543,3.3461361780458585,1.0738197090955162,2.131225821959543,eggholder
10,81.5049918825831,465.10189545513043,-1.4710617068124636,-1.8087189514659272,True,-0.3376572446534636,qnei,0.26115649996791035,False,2.0,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,1.0738197090955162,4.676107237867522,34.79133284028025,2.131225821959543,3.4791332840280247,1.0738197090955162,2.131225821959543,eggholder
11,191.22850868077813,331.3395674767879,0.8390841931648105,1.5255265021772155,True,0.686442309012405,qnei,0.3448999000247568,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,2.365961337890248,37.157294178170496,2.131225821959543,3.377935834379136,1.0738197090955162,2.131225821959543,eggholder
12,94.61818910156985,-145.5864072662704,0.040153444351077996,0.5759984160673095,True,0.5358449717162315,qnei,0.2738871999899857,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,3.164892086703981,40.322186264874475,2.131225821959543,3.3601821887395396,1.0738197090955162,2.131225821959543,eggholder
13,4.642710679506917,-241.25080340380754,-0.6240036026186969,1.369916351471662,True,1.9939199540903587,qnei,0.24047359998803586,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,3.8290491336737555,44.15123539854823,2.131225821959543,3.3962488768114025,1.0738197090955162,2.131225821959543,eggholder
14,-215.6763246343985,-214.84305918642275,-0.002404716219133311,-0.6410024625747381,True,-0.6385977463556048,qnei,0.24019099998986349,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,3.207450247274192,47.35868564582242,2.131225821959543,3.3827632604158873,1.0738197090955162,2.131225821959543,eggholder
15,137.51754084652944,-262.9871091595715,0.2677265044018833,-0.5899242622703851,True,-0.8576507666722684,qnei,0.24993230000836775,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,2.9373190266531752,50.2960046724756,2.131225821959543,3.3530669781650397,1.0738197090955162,2.131225821959543,eggholder
16,122.33147664360797,336.25591860235147,0.8241864416578288,0.6455294391365208,True,-0.178657002521308,qnei,0.2700408000382595,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,2.38085908939723,52.67686376187282,2.131225821959543,3.2923039851170515,1.0738197090955162,2.131225821959543,eggholder
17,54.21534651960407,313.89647041874946,0.717226377622827,2.9192622899164005,True,2.2020359122935735,qnei,0.3389784999890253,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,2.487819153432232,55.16468291530506,2.131225821959543,3.244981347959121,0.717226377622827,2.487819153432232,eggholder
18,32.2887955484841,299.7458673593394,0.11993503599858014,-0.6620099860308334,True,-0.7819450220294135,qnei,0.3530420000315644,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,3.0851104950564787,58.249793410361534,2.131225821959543,3.236099633908974,0.717226377622827,2.487819153432232,eggholder
19,427.80961172757907,307.55792879230734,-0.06360454333441935,1.063642292953801,True,1.1272468362882204,qnei,0.30576010001823306,False,0.75,9,9e5aa442-4c25-4b91-8047-c277930965dc,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1",3.2050455310550587,1.0738197090955162,3.268650074389478,61.51844348475101,2.131225821959543,3.237812814986895,0.717226377622827,2.487819153432232,eggholder
