run_id,dataset,objective,acquisition,seed,oracle_model,baseline,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,auc_simple_regret_true,auc_simple_regret_true_postonset_per_iter,final_inference_simple_regret_true,auc_inference_simple_regret_true,param_columns,response_x0,response_x1
e1b97b27-21ff-4076-a95a-a6c1c7c5e398,eggholder,value,logei,10,exact,True,none,0.0,0,50,0,1,2,143.65689715691502,2.3863310798355317,0.8187144512195275,107.4632098182398,2.149264196364796,42.40632339583366,0.8654351713435441,0.8187144512195275,42.40632339583366,"x0,x1",-130.61818813895133,-59.80127948505765
e1b97b27-21ff-4076-a95a-a6c1c7c5e398,eggholder,value,logei,10,exact,True,none,0.0,20,50,0,21,22,29.45361463526898,2.3863310798355317,0.8187144512195275,107.4632098182398,2.149264196364796,42.40632339583366,0.8596120653870817,0.8187144512195275,42.40632339583366,"x0,x1",-2.89714260726214,-29.31078265410389
f1699455-9c61-4201-b47c-1ce19684eafe,eggholder,value,logei,10,exact,False,gaussian,0.05,0,50,0,1,2,143.65689715691502,2.38681769931824,0.8182278317368188,118.175034412239,2.3635006882447795,41.72298472667506,0.8514894842178583,0.8327363708735702,41.96237562243146,"x0,x1",-130.61818813895133,-59.80127948505765
22e61ff7-ea35-48a1-ad60-49aad9c19282,eggholder,value,logei,10,exact,False,gaussian,0.25,0,50,0,1,2,143.65689715691502,2.9698212066623584,0.2352243243927003,116.9017599012928,2.338035198025856,38.66880179522017,0.7891592203106157,0.3996075435668498,44.96715306647604,"x0,x1",-130.61818813895133,-59.80127948505765
084f2a69-ffbc-4027-8481-a544df44195a,eggholder,value,logei,10,exact,False,gaussian,1.0,0,50,0,1,2,143.65689715691502,2.331166856074644,0.8738786749804146,137.90070130217856,2.758014026043571,42.82005507404031,0.8738786749804145,1.9588410943829464,67.23170951059728,"x0,x1",-130.61818813895133,-59.80127948505765
e9e9834c-19dd-4beb-9fb8-5aa335e3d49a,eggholder,value,logei,10,exact,False,gaussian,5.0,0,50,0,1,2,143.65689715691502,2.383858738704023,0.8211867923510359,161.80610838455073,3.2361221676910144,42.74101725009624,0.8722656581652294,0.8738786749804146,42.82005507404031,"x0,x1",-130.61818813895133,-59.80127948505765
9f091bd1-062b-48c1-bbd9-f5572cc346d0,eggholder,value,logei,10,exact,False,gaussian,0.05,20,50,0,21,22,29.539546234908318,2.331166856074644,0.8738786749804146,108.5078311065575,2.17015662213115,42.82005507404031,0.8738786749804145,0.8907476192825556,42.91283426770209,"x0,x1",-2.615432394574384,-29.423533186102873
6b11964d-e50b-42c9-b61d-a84d64f822f0,eggholder,value,logei,10,exact,False,gaussian,0.25,20,50,0,21,22,29.650146199435248,2.331166856074644,0.8738786749804146,114.93028624770652,2.2986057249541307,42.82005507404031,0.8738786749804145,0.9751938466952548,44.99833126590938,"x0,x1",-3.1852948491270467,-29.478552650562904
9b037fe5-c2b5-4ae6-8c90-244aa7535675,eggholder,value,logei,10,exact,False,gaussian,1.0,20,50,0,21,22,30.62743079407147,2.331166856074644,0.8738786749804146,136.92054887796772,2.7384109775593544,42.82005507404031,0.8738786749804145,1.1202747196198637,48.67595437764405,"x0,x1",-4.560884196508255,-30.285934893803073
439e9bbc-ad29-40e2-8cff-6addbcb91af6,eggholder,value,logei,10,exact,False,gaussian,5.0,20,50,0,21,22,227.72794464366174,2.331166856074644,0.8738786749804146,165.99258264763208,3.3198516529526416,42.82005507404031,0.8738786749804145,2.3630985288959487,86.75204076454857,"x0,x1",7.780144144526446,-227.595004621624
