dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_rosenbrock,composite,logei,gradient_boosting,gaussian,0.295708,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.5609150033662655,-23.259387637315825,-0.4651877527463164,-15.952677520785869
iso_rosenbrock,composite,logei,gradient_boosting,gaussian,1.182833,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.2857556253381084,-32.083886191553034,-0.6416777238310607,-14.54318695705254
iso_rosenbrock,composite,logei,gradient_boosting,gaussian,5.914165,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.27814314762865355,97.96954786969438,1.9593909573938877,13.471944444124588
iso_rosenbrock,composite,qnei,gradient_boosting,gaussian,0.295708,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,-0.22480482778855904,-9.647819371891273,-0.19295638743782506,-7.668774764352634
iso_rosenbrock,composite,qnei,gradient_boosting,gaussian,1.182833,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.07738661883381948,-6.941379110860382,-0.13882758221720737,-6.583082836754045
iso_rosenbrock,composite,qnei,gradient_boosting,gaussian,5.914165,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.2342400447231252,70.28296726194694,1.4056593452389388,-1.5954805097283042
iso_rosenbrock,composite,ucb,gradient_boosting,gaussian,0.295708,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.004950208264812517,-10.055389618871189,-0.20110779237742404,-6.562363336546348
iso_rosenbrock,composite,ucb,gradient_boosting,gaussian,1.182833,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.479030194943183,5.314351736587213,0.10628703473174417,14.710015353348588
iso_rosenbrock,composite,ucb,gradient_boosting,gaussian,5.914165,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.32705204622710315,87.27496357470105,1.7454992714940207,9.36877429767123
iso_rosenbrock,composite,ei,gradient_boosting,gaussian,0.295708,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.23768486138877498,13.942717515118531,0.2788543503023706,15.105835311843919
iso_rosenbrock,composite,ei,gradient_boosting,gaussian,1.182833,0,9,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,0.6009097409747628,12.39264940790153,0.24785298815803047,17.77772674586795
