dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
powell,value,logei,0.425,1.5625,0.015465852753608745,2.380486711408483,-0.45311421757513237,5,8
powell,value,qnei,0.575,1.4375,0.01725378938817552,2.4947702205867643,0.003106988355096374,3,8
