dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
powell,value,logei,0.3375,1.45625,0.008574114734519545,2.3570882103822455,0.14366197710905051,7,8
powell,value,qnei,0.6625,1.54375,0.00760446068053745,2.3551771190703357,0.35660306740968306,2,8
