iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_f0,objective_observed_f0,objective_true_f1,objective_observed_f1,objective_true_f2,objective_observed_f2,error_applied,error_magnitude_l2,error_magnitude_f0,error_magnitude_f1,error_magnitude_f2,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.2501909332093337,2.7944276019391507,2.5513713804903873,1.4504143799811837,1.6003325698224509,416.37986339748005,381.02205058822085,0.17580867867346064,1.3711857418977622,1.4831961933141822,1.0375563724353514,-2.1569447195909826,-2.175061246976831,True,1.2758720083927675,1.1953770632243015,-0.4456398208788308,-0.018116527385848347,qlognehvi,0.0,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,416.37986339748005,996.0345025545118,996.0345025545118,996.0345025545118,996.0345025545118,416.37986339748005,996.0345025545118,vehiclesafety
2,2.747106890792524,1.0105306091311494,2.6424568367655326,2.5941388575040927,1.9358699056874416,570.5592914863878,511.4148392176637,-1.1000997439712497,-4.783755956108996,-0.6524705825900514,-0.9715708413104924,0.9629027544851393,1.5406742945462202,True,3.742321207064008,-3.683656212137746,-0.319100258720441,0.5777715400610809,qlognehvi,0.0,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,570.5592914863878,841.855074465604,1837.889577020116,841.855074465604,918.944788510058,570.5592914863878,841.855074465604,vehiclesafety
3,1.606064853638627,1.5568512242015466,1.5097391753082492,1.8901526117652931,2.0090965179159066,631.9600300935139,589.4043733469939,0.8217350347970052,0.8162498395994681,-0.11593852349200352,0.2715120982341828,0.6870031006767673,-0.47688300555693874,True,1.2266943139699562,-0.005485195197537096,0.38745062172618633,-1.163886106233706,qlognehvi,0.0,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,631.9600300935139,780.454335858478,2618.343912878594,780.454335858478,872.7813042928647,631.9600300935139,780.454335858478,vehiclesafety
4,2.1069947041489847,2.9910005668687853,2.585323838427506,2.244358458882325,2.97792029536377,634.0113710196538,595.3035333135774,-1.8834186288551953,-0.5529429879125816,-0.08242359948239085,0.41676007228719025,0.034585175658087754,-0.7869745700300134,True,1.6414354038578909,1.3304756409426137,0.4991836717695811,-0.8215597456881011,qlognehvi,0.0,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,634.0113710196538,778.4029949323381,3396.746907810932,778.4029949323381,849.186726952733,634.0113710196538,778.4029949323381,vehiclesafety
5,1.430617396471198,1.320424067715689,2.2250792085460613,1.0878840159227667,1.0713605575471923,719.9575331914443,633.2111121162376,2.146206150069214,2.684419585641452,1.2922066396029286,0.9666183629359928,-0.7715361952444528,-1.2216753415761044,True,0.7735028630804186,0.5382134355722381,-0.3255882766669358,-0.45013914633165153,qlognehvi,0.0,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,719.9575331914443,692.4568327605475,4089.2037405714796,692.4568327605475,817.8407481142959,719.9575331914443,692.4568327605475,vehiclesafety
6,1.0,1.0,3.0,1.0,3.0,886.4891610849068,1030.1539571989915,0.554236654575428,-0.14601653764664113,1.9304796049903603,2.622728915467556,0.6948680862176819,0.685966608307757,True,0.9847044619490316,-0.7002531922220692,0.6922493104771956,-0.008901477909924904,qlognehvi,6.062014700029977,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,886.4891610849068,525.9252048670851,4615.128945438564,525.9252048670851,769.188157573094,886.4891610849068,525.9252048670851,vehiclesafety
7,2.1905916260312037,1.0,3.0,1.0,3.0,886.4891610849068,1030.1539571989915,0.09345762282152344,-0.6081596299783831,1.0825036414484692,-0.23631516612922443,0.263231151312371,0.5422634545337859,True,1.519673926501401,-0.7016172527999066,-1.3188188075776937,0.27903230322141487,qlognehvi,6.433312799956184,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,886.4891610849068,525.9252048670851,5141.054150305649,525.9252048670851,734.4363071865213,886.4891610849068,525.9252048670851,vehiclesafety
8,1.0,1.0,3.0,2.573005699822461,2.426210860720876,949.0472654791653,1049.1895415159079,-1.0200428887882478,-0.8806626690158597,-0.4028662198744245,-1.9053385087973704,2.0307795404144198,2.8302928718850007,True,1.7076508401439512,0.13938021977238813,-1.502472288922946,0.7995133314705809,qlognehvi,6.662236000003759,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,949.0472654791653,463.36710047282656,5604.421250778476,463.36710047282656,700.5526563473095,949.0472654791653,463.36710047282656,vehiclesafety
9,1.0,1.0,3.0,1.5526652115199038,3.0,990.2419106152618,1124.0788169957987,-0.14635650461529598,0.2147936104056823,1.1959392726600717,1.873237561430332,1.5329788824591186,1.4727638661263753,True,0.7699274158923952,0.36115011502097827,0.6772982887702603,-0.06021501633274329,qlognehvi,8.085290399962105,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,990.2419106152618,422.1724553367301,6026.593706115206,422.1724553367301,669.6215229016896,990.2419106152618,422.1724553367301,vehiclesafety
10,2.1356543103065064,1.0,3.0,3.0,3.0,997.498436226713,1124.0788169957987,-2.4206064172442026,-4.731133998399251,-1.202473776744855,-2.0317679158678517,2.2569763070265405,2.6755551514925577,True,2.4902760331932,-2.3105275811550485,-0.8292941391229967,0.41857884446601723,qlognehvi,7.667803100019228,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,997.498436226713,414.91592972527883,6441.509635840485,414.91592972527883,644.1509635840486,990.2419106152618,422.1724553367301,vehiclesafety
11,1.0,1.8847452453776337,3.0,1.132989140338763,3.0,1049.0559063628687,1127.7310747114107,0.048371031851460286,1.2840462873957883,2.344235162634846,1.7134728647377688,-1.5839866348329377,-1.1129577568863036,True,1.4651356993373024,1.235675255544328,-0.630762297897077,0.47102887794663406,qlognehvi,8.969509700022172,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1049.0559063628687,363.3584595891232,6804.868095429609,363.3584595891232,618.6243723117826,1041.7993807514174,370.61498520057444,vehiclesafety
12,1.0,1.0,1.0,1.065008747226207,3.0,1097.4042869013656,1436.184731262375,1.9720276855088177,3.1695500188298014,1.0171213323032418,2.1999509082456914,2.1728903073261128,3.228185372313258,True,1.986653774242747,1.1975223333209837,1.1828295759424496,1.055295064987145,qlognehvi,8.950367500016,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1097.4042869013656,315.01007905062625,7119.8781744802345,315.01007905062625,593.3231812066862,1033.5756029137303,378.8387630382615,vehiclesafety
13,1.0,1.0,1.0,1.0,1.0,1139.4981812071424,1442.3823173201895,3.517557446058145,2.689501913882942,1.2765220670752464,0.8846487927870741,1.6146451671789495,3.2867080842404945,True,1.9065767821096677,-0.828055532175203,-0.3918732742881723,1.672062917061545,qlognehvi,3.5897418999811634,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1139.4981812071424,272.9161847448495,7392.794359225084,272.9161847448495,568.6764891711603,1085.1186988675145,327.2956670844774,vehiclesafety
14,1.0,1.720185107273364,1.0,1.0,3.0,1146.6712081237413,1601.1772434486802,1.7798898081872017,1.435734157136781,1.6061526498762617,3.0668794244572357,1.1425687394421362,3.0878273493067114,True,2.4568672901440842,-0.3441556510504207,1.460726774580974,1.9452586098645752,qlognehvi,4.6801698000053875,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1146.6712081237413,265.74315782825056,7658.537517053334,265.74315782825056,547.0383940752382,1028.8453512435728,383.569014708419,vehiclesafety
15,1.0,2.4305058713107974,1.0,1.0,3.0,1166.702901873126,1601.1772434486802,1.509103215534962,0.41199429465629156,2.1076243683020106,0.7421326511035351,0.9692593035533108,0.2998275031294946,True,1.8751945364222544,-1.0971089208786704,-1.3654917171984755,-0.6694318004238162,qlognehvi,4.159324799955357,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1166.702901873126,245.7114640788659,7904.2489811322,245.7114640788659,526.94993207548,1028.8453512435728,383.569014708419,vehiclesafety
16,1.0,1.4247159041427682,1.0,1.0,3.0,1167.9873813306535,1601.1772434486802,1.8925277920392503,0.9151043116228507,1.3975575242127558,2.976035777059209,1.4550784394420375,-0.021788501777841862,True,2.372358787545986,-0.9774234804163996,1.5784782528464532,-1.4768669412198794,qlognehvi,4.690261899959296,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1167.9873813306535,244.4269846213383,8148.675965753539,244.4269846213383,509.29224785959616,1028.8453512435728,383.569014708419,vehiclesafety
17,1.0,1.4561090444034699,1.6627972192720435,1.0,3.0,1167.9873813306535,1601.1772434486802,1.3833959204961872,0.544375820247466,1.3793930544258435,2.706008071282031,0.6888097449089474,1.6234085178536724,True,1.8268379780263773,-0.8390201002487212,1.3266150168561877,0.9345987729447249,qlognehvi,9.18565599998692,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1167.9873813306535,244.4269846213383,8393.102950374876,244.4269846213383,493.71193825734565,1028.8453512435728,383.569014708419,vehiclesafety
18,1.0,1.589277163825989,1.0,1.243924399091228,3.0,1167.9873813306535,1601.2545838720453,1.5205802864084905,1.4499191566742624,1.1491828497127967,2.927672963282733,1.383921461083772,1.7352432038892687,True,1.8142345620920173,-0.07066112973422811,1.7784901135699362,0.35132174280549666,qlognehvi,7.744031100010034,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1167.9873813306535,244.4269846213383,8637.529934996215,244.4269846213383,479.8627741664564,1028.8453512435728,383.569014708419,vehiclesafety
19,1.0,1.813239824891355,1.0,1.0,1.0,1173.456743427679,1601.2545838720453,3.2075363227282496,2.1966165990902056,1.8506525066283692,1.0756695669608995,0.5362998117656848,0.47366812756396537,True,1.275335239175173,-1.010919723638044,-0.7749829396674697,-0.06263168420171938,qlognehvi,8.343347200017888,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1173.456743427679,238.9576225243129,8876.487557520528,238.9576225243129,467.18355565897514,1028.8453512435728,383.569014708419,vehiclesafety
20,1.6556585296113262,1.0,1.0,1.0,2.204404025428387,1173.56526033616,1601.2545838720453,2.38271237914068,0.8999569733618491,0.7082219256500543,1.1396743280369488,1.7003831640746043,1.2440480343348712,True,1.6102659778826438,-1.4827554057788308,0.43145240238689453,-0.4563351297397331,qlognehvi,9.579158999957144,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1173.56526033616,238.84910561583183,9115.33666313636,238.84910561583183,455.76683315681805,1028.8453512435728,383.569014708419,vehiclesafety
21,1.0,1.0,1.0,1.689325055878737,3.0,1175.6910645345567,1601.2545838720453,1.1806050920543454,0.5007326785870574,0.16428888825391993,0.035695140706797274,2.2185304533932935,1.305603212365109,True,1.145512548125677,-0.679872413467288,-0.12859374754712266,-0.9129272410281846,qlognehvi,9.318338399985805,False,7,7167589a-9e22-4102-968a-a222f0714d9e,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1,x2,x3,x4",1412.4143659519918,1175.6910645345567,236.7233014174351,9352.059964553795,236.7233014174351,445.33618878827593,1028.8453512435728,383.569014708419,vehiclesafety
