dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
schwefel,value,logei,0.3732142857142857,4.0375,0.03807057088771808,103.53867723502375,-4.112765020128717,3,8
schwefel,value,sobol,0.375,4.975,-0.021960516920548737,110.65620356394592,0.0,1,8
schwefel,value,random,0.42142857142857143,5.25,0.02226920078311854,115.80207815853747,0.0,1,8
schwefel,value,qnei,0.475,3.975,0.028418641219372525,105.77752020935394,-33.741667302401524,0,8
schwefel,value,qucb,0.5714285714285714,5.8375,0.19612946699871778,121.77915797704381,12.546192697770461,1,8
schwefel,value,ei,0.5803571428571429,4.075,0.13843946157321219,104.07274841523275,15.530911072477767,1,8
schwefel,value,ucb,0.6017857142857143,4.675,0.1525093693160598,112.5574837151956,-0.2066089972101799,0,8
schwefel,value,pi,0.6017857142857144,3.175,0.2835868879031165,97.44635281946128,1.6015667681604324,1,8
