iter	Passed	Remaining
0	2	1939
1	4	1735
2	5	1562
3	7	1479
4	8	1425
5	10	1385
6	12	1362
7	13	1345
8	15	1326
9	16	1315
10	18	1303
11	19	1293
12	21	1288
13	22	1284
14	24	1280
15	26	1275
16	27	1270
17	29	1267
18	30	1265
19	32	1273
20	34	1285
21	36	1296
22	38	1306
23	40	1319
24	42	1328
25	43	1291
26	45	1300
27	47	1307
28	49	1315
29	51	1320
30	53	1325
31	55	1331
32	57	1337
33	59	1340
34	61	1345
35	63	1348
36	65	1353
37	67	1357
38	69	1361
39	71	1365
40	73	1362
41	75	1355
42	76	1346
43	77	1339
44	79	1330
45	80	1322
46	82	1314
47	83	1307
48	84	1301
49	86	1294
50	87	1288
51	89	1281
52	90	1274
53	92	1272
54	94	1275
55	96	1278
56	98	1279
57	100	1282
58	102	1283
59	104	1285
60	106	1286
61	108	1288
62	110	1290
63	112	1291
64	114	1292
65	116	1293
66	118	1294
67	120	1294
68	122	1294
69	124	1295
70	126	1295
71	128	1296
72	130	1297
73	132	1297
74	134	1298
75	136	1298
76	138	1298
77	140	1298
78	142	1298
79	144	1298
80	146	1298
81	148	1298
82	150	1298
83	152	1298
84	154	1298
85	156	1297
86	158	1298
87	160	1297
88	162	1297
89	164	1297
90	166	1297
91	168	1296
92	170	1295
93	172	1295
94	174	1292
95	175	1287
96	177	1283
97	178	1278
98	179	1273
99	181	1268
100	182	1263
101	184	1259
102	185	1255
103	186	1251
104	188	1246
105	189	1242
106	191	1237
107	192	1233
108	194	1230
109	195	1226
110	196	1221
111	198	1217
112	199	1213
113	200	1209
114	202	1205
115	203	1201
116	205	1198
117	206	1194
118	208	1190
119	209	1186
120	210	1182
121	212	1179
122	213	1176
123	215	1172
124	216	1171
125	218	1171
126	220	1170
127	223	1171
128	225	1171
129	227	1170
130	229	1170
131	231	1169
132	233	1168
133	235	1168
134	237	1167
135	239	1167
136	241	1167
137	243	1166
138	245	1165
139	247	1164
140	249	1164
141	251	1163
142	253	1163
143	255	1162
144	256	1159
145	258	1155
146	259	1152
147	260	1149
148	262	1145
149	263	1142
150	265	1139
151	266	1135
152	267	1132
153	269	1129
154	270	1127
155	272	1126
156	274	1125
157	276	1125
158	278	1124
159	281	1124
160	282	1123
161	284	1122
162	287	1121
163	289	1121
164	291	1120
165	293	1119
166	295	1118
167	297	1117
168	298	1116
169	300	1113
170	301	1110
171	303	1106
172	304	1104
173	306	1100
174	307	1097
175	308	1094
176	310	1091
177	311	1088
178	312	1085
179	314	1082
180	315	1079
181	317	1076
182	318	1073
183	319	1071
184	321	1067
185	322	1065
186	324	1062
187	325	1059
188	326	1056
189	328	1053
190	329	1050
191	330	1047
192	332	1045
193	333	1042
194	335	1039
195	336	1036
196	337	1033
197	339	1031
198	340	1028
199	341	1025
200	343	1023
201	344	1020
202	346	1017
203	347	1015
204	348	1012
205	350	1010
206	351	1007
207	353	1004
208	354	1002
209	355	999
210	357	997
211	358	994
212	360	992
213	361	989
214	362	987
215	364	985
216	365	982
217	367	980
218	368	978
219	370	975
220	371	973
221	372	970
222	374	968
223	375	966
224	377	965
225	379	964
226	381	963
227	383	961
228	384	958
229	385	956
230	387	953
231	388	951
232	390	949
233	391	946
234	392	944
235	394	942
236	395	939
237	396	937
238	398	934
239	399	932
240	401	930
241	402	928
242	404	926
243	406	926
244	408	925
245	410	924
246	412	923
247	414	923
248	416	922
249	418	921
250	420	920
251	422	919
252	424	918
253	427	918
254	429	917
255	431	916
256	433	915
257	435	914
258	437	913
259	439	912
260	441	911
261	443	910
262	445	909
263	447	908
264	449	907
265	451	906
266	453	905
267	455	904
268	457	903
269	459	902
270	461	901
271	463	899
272	465	898
273	467	897
274	468	894
275	470	892
276	471	890
277	472	887
278	474	885
279	475	883
280	476	880
281	478	878
282	479	876
283	481	874
284	482	871
285	483	869
286	485	867
287	486	864
288	487	862
289	489	860
290	490	858
291	492	856
292	493	854
293	494	851
294	496	849
295	497	847
296	498	845
297	500	842
298	502	841
299	504	840
300	506	839
301	508	838
302	510	837
303	512	836
304	514	834
305	516	833
306	518	832
307	519	830
308	520	827
309	522	825
310	523	823
311	525	821
312	526	819
313	527	816
314	529	814
315	530	812
316	532	810
317	533	808
318	534	806
319	536	804
320	537	802
321	539	800
322	540	798
323	542	796
324	543	794
325	544	792
326	546	790
327	547	788
328	549	786
329	550	783
330	551	781
331	553	779
332	554	777
333	555	775
334	557	773
335	559	772
336	561	771
337	563	770
338	565	768
339	567	767
340	569	766
341	571	765
342	573	763
343	575	762
344	577	761
345	579	760
346	581	759
347	583	757
348	585	756
349	587	755
350	589	753
351	591	752
352	593	751
353	595	749
354	597	748
355	599	747
356	601	745
357	603	744
358	605	743
359	607	741
360	609	740
361	610	739
362	612	737
363	614	736
364	616	735
365	618	733
366	620	732
367	622	731
368	624	729
369	626	728
370	628	727
371	630	725
372	632	724
373	634	722
374	635	720
375	637	718
376	638	716
377	639	714
378	641	712
379	642	710
380	644	708
381	645	706
382	646	704
383	648	702
384	649	699
385	650	698
386	652	696
387	653	694
388	655	692
389	656	690
390	657	688
391	659	686
392	660	684
393	661	681
394	663	679
395	664	677
396	665	675
