iter	RMSE
0	1.406851112
1	1.397162123
2	1.389300528
3	1.381350241
4	1.375811735
5	1.369358103
6	1.363694237
7	1.35726245
8	1.349933425
9	1.344446673
10	1.338595716
11	1.333441215
12	1.328425301
13	1.324096494
14	1.32073119
15	1.316310893
16	1.312847129
17	1.309124729
18	1.305713279
19	1.303141442
20	1.300594455
21	1.29718232
22	1.294713397
23	1.292067324
24	1.289939317
25	1.287577956
26	1.285601989
27	1.283806938
28	1.282265892
29	1.28082904
30	1.279159898
31	1.277618314
32	1.275899765
33	1.274427599
34	1.273239088
35	1.271831305
36	1.270090902
37	1.268294948
38	1.266106921
39	1.264276841
40	1.262997471
41	1.261541741
42	1.260479372
43	1.258717525
44	1.257291967
45	1.256436714
46	1.255670532
47	1.254578468
48	1.25377039
49	1.252076818
50	1.251283983
51	1.250569248
52	1.249477474
53	1.248038032
54	1.247447926
55	1.24676184
56	1.246046949
57	1.244993728
58	1.243923969
59	1.242763886
60	1.242137967
61	1.241552436
62	1.240637803
63	1.239647614
64	1.23785647
65	1.237383236
66	1.236111885
67	1.235561445
68	1.234411455
69	1.233602579
70	1.232078255
71	1.231206062
72	1.230059846
73	1.229358964
74	1.228759035
75	1.227925461
76	1.22769674
77	1.226898943
78	1.226277463
79	1.225671938
80	1.225221516
81	1.224562884
82	1.223747083
83	1.223172202
84	1.222393701
85	1.221624025
86	1.220761084
87	1.220146422
88	1.219424667
89	1.218778273
90	1.218214388
91	1.217574154
92	1.216864044
93	1.216507747
94	1.216154066
95	1.215580615
96	1.215036117
97	1.214845332
98	1.214033591
99	1.213290565
100	1.212525431
101	1.211905952
102	1.211044673
103	1.210271701
104	1.209803197
105	1.209431716
106	1.209195483
107	1.208850309
108	1.208132494
109	1.207802929
110	1.207644028
111	1.207207779
112	1.206059067
113	1.205698525
114	1.205171311
115	1.204561864
116	1.204011483
117	1.203313556
118	1.203130818
119	1.202864829
120	1.202049163
121	1.201670027
122	1.201330319
123	1.200657478
124	1.200269253
125	1.199784979
126	1.199426319
127	1.198850851
128	1.197897911
129	1.197591098
130	1.197081685
131	1.19666008
132	1.196090182
133	1.195618572
134	1.195088647
135	1.194857698
136	1.194243039
137	1.193837094
138	1.193446042
139	1.192927049
140	1.192632035
141	1.192272005
142	1.191769738
143	1.191408751
144	1.191180175
145	1.190914865
146	1.190569718
147	1.190111038
148	1.1894345
149	1.189112168
150	1.188719711
151	1.188280307
152	1.187860276
153	1.187119321
154	1.186917136
155	1.18627242
156	1.185870156
157	1.185529047
158	1.185018162
159	1.184831728
160	1.184624704
161	1.184482379
162	1.18388834
163	1.183061098
164	1.182663322
165	1.182217355
166	1.182079827
167	1.181723221
168	1.181457608
169	1.181199813
170	1.18100516
171	1.180549857
172	1.18035357
173	1.180101611
174	1.179827881
175	1.179550924
176	1.179048264
177	1.178759709
178	1.178518234
179	1.17785132
180	1.177223723
181	1.17700987
182	1.176690342
183	1.176190061
184	1.175568008
185	1.175254763
186	1.175003608
187	1.174866615
188	1.174519451
189	1.17434326
190	1.174006455
191	1.173472119
192	1.173222711
193	1.172992505
194	1.172476368
195	1.17207454
196	1.17184221
197	1.171499619
198	1.171009133
199	1.170833177
200	1.170658772
201	1.170398401
202	1.169808223
203	1.169387622
204	1.168826414
205	1.168560552
