model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters,p_fdr
primary,const,0.4780467313050072,0.22685117084785458,0.6303641564327569,0.001,2000,0.5112984314543981,160,20,
primary,log_noise,0.2893746641625675,0.08347990358076482,0.5539393209213408,0.0005,2000,0.5112984314543981,160,20,0.0025
primary,dim,-0.02999119163981571,-0.35128255284033233,0.15696336770957775,0.804,2000,0.5112984314543981,160,20,0.804
primary,log_opt_z,0.5566484442452843,0.14345601835401237,0.6782952172329111,0.001,2000,0.5112984314543981,160,20,0.0025
primary,ruggedness,0.04754357096266936,-0.3084262333427568,0.3336220891534255,0.737,2000,0.5112984314543981,160,20,0.804
primary,log_tail_ratio,0.2024685145362205,0.01836950274232967,0.4130506018187151,0.007,2000,0.5112984314543981,160,20,0.011666666666666667
primary,onset_20,-0.24038989399630312,-0.36481697879695246,-0.12510056094002098,0.0005,2000,0.5112984314543981,160,20,
sensitivity,const,0.47804673130500747,0.21379816171673416,0.6423219041200069,0.0005,2000,0.538985887279786,160,20,
sensitivity,log_noise,0.2893746641625682,0.08347990358076496,0.5539393209213408,0.0005,2000,0.538985887279786,160,20,0.0035
sensitivity,dim,-0.019753422222101615,-0.21267362426006248,0.21142670838588765,0.914,2000,0.538985887279786,160,20,0.996
sensitivity,log_opt_z,0.9293809329037419,-0.029069703068516056,1.3811959181396183,0.064,2000,0.538985887279786,160,20,0.14933333333333335
sensitivity,ruggedness,0.08396315956972797,-0.16969525590273554,0.30578557469694156,0.704,2000,0.538985887279786,160,20,0.9855999999999999
sensitivity,log_tail_ratio,0.14558263955775197,0.0020687617301041517,0.3781608478347717,0.048,2000,0.538985887279786,160,20,0.14933333333333335
sensitivity,log_sparsity,0.37845226789852116,-0.09525560583524718,0.7334711540954523,0.217,2000,0.538985887279786,160,20,0.37975000000000003
sensitivity,skew,-0.051276453904865814,-0.4683603412720695,0.5552152420255394,0.996,2000,0.538985887279786,160,20,0.996
sensitivity,onset_20,-0.24038989399630398,-0.36481697879695335,-0.12510056094002125,0.0005,2000,0.538985887279786,160,20,
